"Table 3: Life expectancy and healthy life expectancy in NHS health boards, 2015-2017",,,,,,,,,,,,
,,,,,,,,,,,,
Area code,Health board,Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)",,
S08000015,Ayrshire and Arran,female,50 to 54,32.39,32.15,32.63,19.32,18.51,20.13,59.66,,
S08000015,Ayrshire and Arran,female,55 to 59,27.89,27.66,28.12,16.06,15.28,16.84,57.58,,
S08000015,Ayrshire and Arran,female,60 to 64,23.55,23.33,23.77,13.04,12.28,13.79,55.36,,
S08000015,Ayrshire and Arran,female,65 to 69,19.40,19.19,19.60,10.27,9.55,11.00,52.95,,
S08000015,Ayrshire and Arran,female,70 to 74,15.45,15.25,15.64,7.76,7.05,8.47,50.26,,
S08000015,Ayrshire and Arran,female,75 to 79,11.96,11.78,12.14,5.66,4.94,6.38,47.35,,
S08000015,Ayrshire and Arran,female,80 to 84,8.82,8.65,9.00,3.90,3.23,4.57,44.20,,
S08000015,Ayrshire and Arran,female,85 to 89,6.30,6.12,6.48,2.57,2.01,3.13,40.80,,
S08000015,Ayrshire and Arran,female,90+,4.50,4.27,4.73,1.67,1.13,2.21,37.12,,
S08000016,Borders,male,less than 1,78.95,78.31,79.59,64.48,62.70,66.26,81.66,,
S08000016,Borders,male,1 to 4,78.11,77.50,78.73,63.60,61.82,65.39,81.43,,
S08000016,Borders,male,5 to 9,74.15,73.54,74.76,59.67,57.89,61.45,80.46,,
S08000016,Borders,male,10 to 14,69.19,68.59,69.80,54.80,53.03,56.57,79.20,,
S08000016,Borders,male,15 to 19,64.19,63.59,64.80,49.90,48.14,51.67,77.74,,
S08000016,Borders,male,20 to 24,59.29,58.70,59.89,45.22,43.48,46.96,76.27,,
S08000016,Borders,male,25 to 29,54.40,53.81,54.98,40.62,38.92,42.32,74.67,,
S08000016,Borders,male,30 to 34,49.64,49.08,50.20,36.23,34.58,37.88,72.98,,
S08000016,Borders,male,35 to 39,45.16,44.65,45.66,32.25,30.67,33.83,71.42,,
S08000016,Borders,male,40 to 44,40.48,40.01,40.96,28.17,26.67,29.67,69.58,,
S08000016,Borders,male,45 to 49,35.99,35.55,36.43,24.17,22.73,25.60,67.15,,
S08000016,Borders,male,50 to 54,31.46,31.04,31.87,20.30,18.91,21.69,64.53,,
S08000016,Borders,male,55 to 59,26.97,26.57,27.37,16.62,15.26,17.98,61.63,,
S08000016,Borders,male,60 to 64,22.60,22.22,22.98,13.22,11.91,14.54,58.53,,
S08000016,Borders,male,65 to 69,18.57,18.22,18.93,10.32,9.03,11.60,55.55,,
S08000016,Borders,male,70 to 74,14.61,14.27,14.95,7.33,6.05,8.61,50.18,,
S08000016,Borders,male,75 to 79,11.12,10.80,11.44,5.00,3.66,6.33,44.94,,
S08000016,Borders,male,80 to 84,8.06,7.76,8.37,3.14,1.88,4.41,39.00,,
S08000016,Borders,male,85 to 89,5.47,5.17,5.78,1.74,0.76,2.71,31.76,,
S08000016,Borders,male,90+,3.39,2.99,3.80,1.05,0.26,1.85,30.98,,
S08000016,Borders,female,less than 1,82.36,81.77,82.94,65.35,63.44,67.26,79.35,,
S08000016,Borders,female,1 to 4,81.62,81.08,82.16,64.61,62.69,66.52,79.16,,
S08000016,Borders,female,5 to 9,77.62,77.08,78.16,60.78,58.87,62.68,78.30,,
S08000016,Borders,female,10 to 14,72.66,72.12,73.20,56.08,54.21,57.96,77.18,,
S08000016,Borders,female,15 to 19,67.70,67.17,68.23,51.42,49.58,53.26,75.96,,
S08000016,Borders,female,20 to 24,62.81,62.29,63.33,46.95,45.15,48.75,74.75,,
S08000016,Borders,female,25 to 29,58.03,57.54,58.52,42.67,40.93,44.42,73.54,,
S08000016,Borders,female,30 to 34,53.10,52.63,53.58,38.43,36.76,40.11,72.38,,
S08000016,Borders,female,35 to 39,48.22,47.76,48.69,34.30,32.71,35.90,71.14,,
S08000016,Borders,female,40 to 44,43.36,42.91,43.81,30.23,28.72,31.74,69.72,,
S08000016,Borders,female,45 to 49,38.47,38.03,38.91,26.18,24.73,27.62,68.04,,
S08000016,Borders,female,50 to 54,33.87,33.44,34.29,22.43,21.03,23.84,66.24,,
S08000016,Borders,female,55 to 59,29.34,28.93,29.75,18.85,17.49,20.22,64.25,,
S08000016,Borders,female,60 to 64,24.88,24.49,25.27,15.42,14.10,16.73,61.95,,
S08000016,Borders,female,65 to 69,20.56,20.19,20.93,12.12,10.84,13.39,58.94,,
S08000016,Borders,female,70 to 74,16.60,16.25,16.95,9.15,7.89,10.41,55.12,,
S08000016,Borders,female,75 to 79,12.83,12.50,13.16,6.44,5.18,7.70,50.19,,
S08000016,Borders,female,80 to 84,9.30,8.99,9.62,4.23,3.09,5.37,45.45,,
S08000016,Borders,female,85 to 89,6.56,6.25,6.88,2.71,1.76,3.66,41.31,,
S08000016,Borders,female,90+,4.48,4.09,4.87,1.80,0.91,2.70,40.26,,
S08000017,Dumfries and Galloway,male,less than 1,77.85,77.26,78.44,64.44,62.91,65.97,82.77,,
S08000017,Dumfries and Galloway,male,1 to 4,77.17,76.62,77.72,63.71,62.17,65.24,82.55,,
S08000017,Dumfries and Galloway,male,5 to 9,73.24,72.70,73.78,59.77,58.23,61.31,81.61,,
S08000017,Dumfries and Galloway,male,10 to 14,68.30,67.76,68.84,54.87,53.34,56.40,80.33,,
S08000017,Dumfries and Galloway,male,15 to 19,63.36,62.83,63.89,50.03,48.51,51.55,78.97,,
S08000017,Dumfries and Galloway,male,20 to 24,58.51,57.99,59.03,45.34,43.85,46.84,77.50,,
S08000017,Dumfries and Galloway,male,25 to 29,53.75,53.24,54.25,40.81,39.35,42.27,75.94,,
S08000017,Dumfries and Galloway,male,30 to 34,48.98,48.50,49.46,36.36,34.95,37.78,74.25,,
S08000017,Dumfries and Galloway,male,35 to 39,44.31,43.86,44.76,32.09,30.73,33.45,72.42,,
S08000017,Dumfries and Galloway,male,40 to 44,39.84,39.43,40.25,28.10,26.81,29.38,70.52,,
S08000017,Dumfries and Galloway,male,45 to 49,35.20,34.81,35.58,24.12,22.89,25.35,68.54,,
S08000017,Dumfries and Galloway,male,50 to 54,30.67,30.31,31.04,20.43,19.26,21.60,66.61,,
S08000017,Dumfries and Galloway,male,55 to 59,26.21,25.86,26.55,16.90,15.77,18.02,64.48,,
S08000017,Dumfries and Galloway,male,60 to 64,22.05,21.73,22.38,13.68,12.59,14.78,62.05,,
S08000017,Dumfries and Galloway,male,65 to 69,17.98,17.68,18.29,10.63,9.56,11.70,59.13,,
S08000017,Dumfries and Galloway,male,70 to 74,14.27,13.99,14.56,8.03,6.96,9.10,56.26,,
S08000017,Dumfries and Galloway,male,75 to 79,10.91,10.64,11.18,5.82,4.69,6.95,53.35,,
S08000017,Dumfries and Galloway,male,80 to 84,7.88,7.62,8.14,3.93,2.82,5.03,49.83,,
S08000017,Dumfries and Galloway,male,85 to 89,5.48,5.20,5.75,2.48,1.58,3.38,45.25,,
S08000017,Dumfries and Galloway,male,90+,3.73,3.36,4.11,1.44,0.63,2.24,38.48,,
S08000017,Dumfries and Galloway,female,less than 1,81.77,81.24,82.29,63.76,61.60,65.92,77.98,,
S08000017,Dumfries and Galloway,female,1 to 4,81.07,80.60,81.55,63.09,60.92,65.25,77.82,,
S08000017,Dumfries and Galloway,female,5 to 9,77.07,76.60,77.55,59.45,57.34,61.56,77.14,,
S08000017,Dumfries and Galloway,female,10 to 14,72.07,71.60,72.55,54.92,52.91,56.93,76.20,,
S08000017,Dumfries and Galloway,female,15 to 19,67.10,66.63,67.58,50.44,48.54,52.35,75.17,,
S08000017,Dumfries and Galloway,female,20 to 24,62.22,61.76,62.68,46.10,44.32,47.88,74.09,,
S08000017,Dumfries and Galloway,female,25 to 29,57.38,56.93,57.82,41.87,40.15,43.58,72.97,,
S08000017,Dumfries and Galloway,female,30 to 34,52.59,52.17,53.02,37.72,36.08,39.37,71.72,,
S08000017,Dumfries and Galloway,female,35 to 39,47.71,47.29,48.12,33.58,32.00,35.16,70.38,,
S08000017,Dumfries and Galloway,female,40 to 44,42.99,42.61,43.38,29.63,28.12,31.14,68.92,,
S08000017,Dumfries and Galloway,female,45 to 49,38.20,37.83,38.57,25.72,24.26,27.18,67.33,,
S08000017,Dumfries and Galloway,female,50 to 54,33.64,33.28,33.99,22.08,20.67,23.50,65.65,,
S08000017,Dumfries and Galloway,female,55 to 59,29.01,28.67,29.35,18.51,17.12,19.90,63.81,,
S08000017,Dumfries and Galloway,female,60 to 64,24.51,24.18,24.83,15.16,13.80,16.51,61.86,,
S08000017,Dumfries and Galloway,female,65 to 69,20.12,19.82,20.43,11.99,10.65,13.32,59.57,,
S08000017,Dumfries and Galloway,female,70 to 74,16.06,15.77,16.35,9.14,7.80,10.48,56.92,,
S08000017,Dumfries and Galloway,female,75 to 79,12.37,12.10,12.64,6.67,5.30,8.05,53.94,,
S08000017,Dumfries and Galloway,female,80 to 84,9.03,8.77,9.28,4.59,3.22,5.97,50.89,,
S08000017,Dumfries and Galloway,female,85 to 89,6.31,6.06,6.56,3.03,1.88,4.17,48.02,,
S08000017,Dumfries and Galloway,female,90+,4.18,3.87,4.49,1.91,0.87,2.95,45.66,,
S08000019,Forth Valley,male,less than 1,77.58,77.18,77.99,63.45,62.25,64.65,81.79,,
S08000019,Forth Valley,male,1 to 4,76.87,76.48,77.25,62.72,61.51,63.92,81.59,,
S08000019,Forth Valley,male,5 to 9,72.88,72.50,73.26,58.87,57.68,60.07,80.78,,
S08000019,Forth Valley,male,10 to 14,67.91,67.53,68.29,54.12,52.95,55.30,79.70,,
S08000019,Forth Valley,male,15 to 19,62.95,62.57,63.32,49.43,48.28,50.57,78.52,,
S08000019,Forth Valley,male,20 to 24,58.13,57.76,58.50,44.91,43.80,46.03,77.26,,
S08000019,Forth Valley,male,25 to 29,53.33,52.97,53.69,40.49,39.40,41.58,75.92,,
S08000019,Forth Valley,male,30 to 34,48.58,48.23,48.93,36.20,35.14,37.25,74.50,,
S08000019,Forth Valley,male,35 to 39,43.90,43.56,44.23,32.03,31.00,33.05,72.96,,
S08000019,Forth Valley,male,40 to 44,39.27,38.95,39.59,28.00,27.01,29.00,71.31,,
S08000019,Forth Valley,male,45 to 49,34.77,34.46,35.07,24.15,23.19,25.12,69.47,,
S08000019,Forth Valley,male,50 to 54,30.25,29.96,30.55,20.42,19.50,21.34,67.50,,
S08000019,Forth Valley,male,55 to 59,25.77,25.49,26.06,16.86,15.97,17.75,65.41,,
S08000019,Forth Valley,male,60 to 64,21.54,21.26,21.81,13.61,12.76,14.47,63.20,,
S08000019,Forth Valley,male,65 to 69,17.68,17.42,17.94,10.78,9.95,11.61,60.96,,
S08000019,Forth Valley,male,70 to 74,14.01,13.75,14.26,8.19,7.35,9.02,58.45,,
S08000019,Forth Valley,male,75 to 79,10.81,10.56,11.06,6.04,5.18,6.90,55.88,,
S08000019,Forth Valley,male,80 to 84,8.07,7.82,8.31,4.28,3.44,5.11,53.04,,
S08000019,Forth Valley,male,85 to 89,5.80,5.52,6.08,2.92,2.21,3.62,50.26,,
S08000019,Forth Valley,male,90+,4.41,3.99,4.84,2.12,1.39,2.85,48.12,,
S08000019,Forth Valley,female,less than 1,81.06,80.70,81.43,61.72,60.40,63.05,76.14,,
S08000019,Forth Valley,female,1 to 4,80.31,79.97,80.65,61.00,59.67,62.33,75.95,,
S08000019,Forth Valley,female,5 to 9,76.31,75.97,76.65,57.37,56.06,58.67,75.18,,
S08000019,Forth Valley,female,10 to 14,71.34,71.00,71.67,52.87,51.60,54.15,74.12,,
S08000019,Forth Valley,female,15 to 19,66.38,66.05,66.71,48.43,47.20,49.67,72.96,,
S08000019,Forth Valley,female,20 to 24,61.44,61.11,61.77,44.08,42.89,45.27,71.75,,
S08000019,Forth Valley,female,25 to 29,56.53,56.21,56.86,39.85,38.70,41.01,70.50,,
S08000019,Forth Valley,female,30 to 34,51.65,51.33,51.97,35.73,34.61,36.85,69.18,,
S08000019,Forth Valley,female,35 to 39,46.80,46.49,47.11,31.69,30.61,32.77,67.71,,
S08000019,Forth Valley,female,40 to 44,42.01,41.70,42.31,27.76,26.72,28.80,66.09,,
S08000019,Forth Valley,female,45 to 49,37.28,36.99,37.58,23.99,22.99,24.99,64.35,,
S08000019,Forth Valley,female,50 to 54,32.59,32.31,32.88,20.37,19.41,21.32,62.49,,
S08000019,Forth Valley,female,55 to 59,28.08,27.81,28.36,17.00,16.07,17.92,60.52,,
S08000019,Forth Valley,female,60 to 64,23.72,23.46,23.99,13.87,12.98,14.77,58.48,,
S08000019,Forth Valley,female,65 to 69,19.62,19.37,19.87,10.99,10.12,11.86,56.01,,
S08000019,Forth Valley,female,70 to 74,15.66,15.43,15.90,8.32,7.45,9.18,53.11,,
S08000019,Forth Valley,female,75 to 79,12.13,11.90,12.35,6.06,5.18,6.93,49.94,,
S08000019,Forth Valley,female,80 to 84,8.98,8.76,9.19,4.22,3.41,5.03,47.02,,
S08000019,Forth Valley,female,85 to 89,6.40,6.18,6.62,2.83,2.15,3.51,44.17,,
S08000019,Forth Valley,female,90+,4.51,4.23,4.79,1.94,1.29,2.60,43.14,,
S08000020,Grampian,male,less than 1,78.27,77.99,78.54,65.16,63.97,66.34,83.25,,
S08000020,Grampian,male,1 to 4,77.42,77.16,77.69,64.30,63.11,65.48,83.05,,
S08000020,Grampian,male,5 to 9,73.48,73.21,73.74,60.39,59.21,61.58,82.19,,
S08000020,Grampian,male,10 to 14,68.53,68.26,68.79,55.53,54.35,56.71,81.04,,
S08000020,Grampian,male,15 to 19,63.56,63.30,63.82,50.71,49.54,51.88,79.79,,
S08000020,Grampian,male,20 to 24,58.68,58.43,58.94,46.03,44.87,47.19,78.44,,
S08000020,Grampian,male,25 to 29,53.84,53.59,54.08,41.45,40.30,42.59,76.99,,
S08000020,Grampian,male,30 to 34,49.02,48.78,49.27,36.97,35.86,38.09,75.42,,
S08000020,Grampian,male,35 to 39,44.25,44.01,44.48,32.62,31.55,33.70,73.73,,
S08000020,Grampian,male,40 to 44,39.58,39.34,39.81,28.46,27.41,29.52,71.92,,
S08000020,Grampian,male,45 to 49,35.02,34.80,35.24,24.49,23.47,25.50,69.93,,
S08000020,Grampian,male,50 to 54,30.50,30.29,30.72,20.66,19.68,21.65,67.74,,
S08000020,Grampian,male,55 to 59,26.10,25.89,26.30,17.06,16.12,18.00,65.38,,
S08000020,Grampian,male,60 to 64,21.84,21.64,22.03,13.72,12.80,14.64,62.84,,
S08000020,Grampian,male,65 to 69,17.83,17.65,18.02,10.73,9.82,11.64,60.18,,
S08000020,Grampian,male,70 to 74,14.17,13.99,14.35,8.10,7.17,9.02,57.15,,
S08000020,Grampian,male,75 to 79,10.84,10.67,11.01,5.82,4.84,6.80,53.66,,
S08000020,Grampian,male,80 to 84,7.99,7.82,8.15,4.00,3.18,4.82,50.11,,
S08000020,Grampian,male,85 to 89,5.60,5.43,5.77,2.59,1.92,3.27,46.29,,
S08000020,Grampian,male,90+,3.82,3.58,4.05,1.64,1.02,2.25,42.87,,
S08000020,Grampian,female,less than 1,81.93,81.67,82.19,65.90,64.57,67.24,80.44,,
S08000020,Grampian,female,1 to 4,81.11,80.86,81.36,65.07,63.73,66.41,80.23,,
S08000020,Grampian,female,5 to 9,77.17,76.93,77.41,61.23,59.89,62.56,79.34,,
S08000020,Grampian,female,10 to 14,72.18,71.94,72.42,56.41,55.09,57.74,78.15,,
S08000020,Grampian,female,15 to 19,67.20,66.96,67.44,51.69,50.38,52.99,76.91,,
S08000020,Grampian,female,20 to 24,62.28,62.04,62.51,47.12,45.84,48.40,75.66,,
S08000020,Grampian,female,25 to 29,57.32,57.09,57.56,42.62,41.36,43.88,74.36,,
S08000020,Grampian,female,30 to 34,52.37,52.14,52.60,38.18,36.96,39.41,72.91,,
S08000020,Grampian,female,35 to 39,47.53,47.30,47.76,33.92,32.72,35.11,71.35,,
S08000020,Grampian,female,40 to 44,42.76,42.54,42.99,29.78,28.61,30.94,69.63,,
S08000020,Grampian,female,45 to 49,38.06,37.85,38.28,25.80,24.67,26.92,67.78,,
S08000020,Grampian,female,50 to 54,33.39,33.18,33.60,21.94,20.86,23.02,65.71,,
S08000020,Grampian,female,55 to 59,28.82,28.61,29.02,18.27,17.22,19.31,63.40,,
S08000020,Grampian,female,60 to 64,24.43,24.24,24.62,14.86,13.84,15.88,60.82,,
S08000020,Grampian,female,65 to 69,20.14,19.96,20.32,11.60,10.60,12.61,57.61,,
S08000020,Grampian,female,70 to 74,16.15,15.98,16.33,8.68,7.67,9.69,53.72,,
S08000020,Grampian,female,75 to 79,12.37,12.21,12.53,6.08,5.06,7.11,49.17,,
S08000020,Grampian,female,80 to 84,9.07,8.92,9.22,4.04,3.15,4.93,44.53,,
S08000020,Grampian,female,85 to 89,6.24,6.10,6.39,2.55,1.83,3.27,40.90,,
S08000020,Grampian,female,90+,4.20,4.02,4.38,1.71,1.04,2.37,40.70,,
S08000021,Greater Glasgow and Clyde,male,less than 1,75.31,75.10,75.51,60.06,59.02,61.10,79.75,,
S08000021,Greater Glasgow and Clyde,male,1 to 4,74.56,74.37,74.76,59.27,58.23,60.32,79.50,,
S08000021,Greater Glasgow and Clyde,male,5 to 9,70.60,70.40,70.79,55.39,54.35,56.44,78.46,,
S08000021,Greater Glasgow and Clyde,male,10 to 14,65.62,65.43,65.82,50.60,49.57,51.63,77.10,,
S08000021,Greater Glasgow and Clyde,male,15 to 19,60.66,60.46,60.85,45.88,44.87,46.89,75.65,,
S08000021,Greater Glasgow and Clyde,male,20 to 24,55.77,55.58,55.95,41.31,40.33,42.30,74.09,,
S08000021,Greater Glasgow and Clyde,male,25 to 29,50.90,50.72,51.09,36.86,35.89,37.83,72.41,,
S08000021,Greater Glasgow and Clyde,male,30 to 34,46.10,45.91,46.28,32.56,31.62,33.51,70.64,,
S08000021,Greater Glasgow and Clyde,male,35 to 39,41.38,41.20,41.56,28.45,27.54,29.37,68.77,,
S08000021,Greater Glasgow and Clyde,male,40 to 44,36.78,36.61,36.95,24.59,23.71,25.46,66.84,,
S08000021,Greater Glasgow and Clyde,male,45 to 49,32.46,32.29,32.62,21.06,20.21,21.90,64.88,,
S08000021,Greater Glasgow and Clyde,male,50 to 54,28.25,28.10,28.41,17.73,16.91,18.56,62.76,,
S08000021,Greater Glasgow and Clyde,male,55 to 59,24.07,23.92,24.22,14.58,13.78,15.38,60.56,,
S08000021,Greater Glasgow and Clyde,male,60 to 64,20.13,19.99,20.28,11.73,10.95,12.52,58.29,,
S08000021,Greater Glasgow and Clyde,male,65 to 69,16.42,16.28,16.55,9.23,8.45,10.01,56.21,,
S08000021,Greater Glasgow and Clyde,male,70 to 74,13.03,12.90,13.16,7.03,6.23,7.83,53.93,,
S08000021,Greater Glasgow and Clyde,male,75 to 79,10.08,9.96,10.20,5.20,4.34,6.05,51.55,,
S08000021,Greater Glasgow and Clyde,male,80 to 84,7.57,7.45,7.69,3.73,2.94,4.53,49.31,,
S08000021,Greater Glasgow and Clyde,male,85 to 89,5.54,5.41,5.67,2.63,1.96,3.31,47.55,,
S08000021,Greater Glasgow and Clyde,male,90+,4.03,3.84,4.22,1.86,1.20,2.52,46.21,,
S08000021,Greater Glasgow and Clyde,female,less than 1,80.00,79.81,80.19,60.90,59.79,62.01,76.13,,
S08000021,Greater Glasgow and Clyde,female,1 to 4,79.27,79.09,79.45,60.16,59.04,61.27,75.90,,
S08000021,Greater Glasgow and Clyde,female,5 to 9,75.33,75.16,75.51,56.43,55.32,57.53,74.90,,
S08000021,Greater Glasgow and Clyde,female,10 to 14,70.36,70.19,70.54,51.76,50.67,52.86,73.57,,
S08000021,Greater Glasgow and Clyde,female,15 to 19,65.40,65.22,65.57,47.17,46.08,48.25,72.12,,
S08000021,Greater Glasgow and Clyde,female,20 to 24,60.44,60.26,60.61,42.65,41.58,43.72,70.57,,
S08000021,Greater Glasgow and Clyde,female,25 to 29,55.49,55.32,55.66,38.23,37.19,39.28,68.90,,
S08000021,Greater Glasgow and Clyde,female,30 to 34,50.58,50.41,50.74,33.95,32.93,34.96,67.12,,
S08000021,Greater Glasgow and Clyde,female,35 to 39,45.74,45.58,45.91,29.83,28.84,30.81,65.21,,
S08000021,Greater Glasgow and Clyde,female,40 to 44,41.01,40.85,41.18,25.90,24.94,26.85,63.14,,
S08000021,Greater Glasgow and Clyde,female,45 to 49,36.40,36.24,36.55,22.17,21.26,23.08,60.91,,
S08000021,Greater Glasgow and Clyde,female,50 to 54,31.84,31.69,31.99,18.64,17.76,19.51,58.53,,
S08000021,Greater Glasgow and Clyde,female,55 to 59,27.40,27.26,27.55,15.32,14.47,16.18,55.92,,
S08000021,Greater Glasgow and Clyde,female,60 to 64,23.08,22.94,23.22,12.26,11.43,13.09,53.13,,
S08000021,Greater Glasgow and Clyde,female,65 to 69,18.99,18.86,19.12,9.54,8.73,10.35,50.23,,
S08000021,Greater Glasgow and Clyde,female,70 to 74,15.20,15.07,15.32,7.16,6.35,7.97,47.09,,
S08000021,Greater Glasgow and Clyde,female,75 to 79,11.79,11.68,11.90,5.14,4.29,5.98,43.56,,
S08000021,Greater Glasgow and Clyde,female,80 to 84,8.81,8.71,8.92,3.48,2.82,4.13,39.47,,
S08000021,Greater Glasgow and Clyde,female,85 to 89,6.30,6.20,6.41,2.17,1.63,2.71,34.45,,
S08000021,Greater Glasgow and Clyde,female,90+,4.38,4.25,4.51,1.23,0.74,1.71,27.98,,
S08000022,Highland,male,less than 1,77.63,77.24,78.02,65.57,64.22,66.93,84.47,,
S08000022,Highland,male,1 to 4,76.77,76.39,77.15,64.71,63.36,66.07,84.30,,
S08000022,Highland,male,5 to 9,72.82,72.44,73.19,60.85,59.51,62.19,83.57,,
S08000022,Highland,male,10 to 14,67.83,67.45,68.20,56.02,54.70,57.33,82.58,,
S08000022,Highland,male,15 to 19,62.87,62.49,63.24,51.21,49.92,52.50,81.45,,
S08000022,Highland,male,20 to 24,58.04,57.68,58.41,46.56,45.31,47.82,80.22,,
S08000022,Highland,male,25 to 29,53.31,52.96,53.67,42.07,40.86,43.28,78.91,,
S08000022,Highland,male,30 to 34,48.76,48.43,49.09,37.79,36.67,38.91,77.51,,
S08000022,Highland,male,35 to 39,44.04,43.72,44.36,33.42,32.37,34.48,75.89,,
S08000022,Highland,male,40 to 44,39.47,39.17,39.77,29.26,28.30,30.21,74.12,,
S08000022,Highland,male,45 to 49,34.93,34.64,35.21,25.16,24.24,26.08,72.04,,
S08000022,Highland,male,50 to 54,30.48,30.21,30.74,21.23,20.37,22.09,69.66,,
S08000022,Highland,male,55 to 59,26.07,25.81,26.32,17.54,16.72,18.36,67.28,,
S08000022,Highland,male,60 to 64,21.96,21.72,22.21,14.18,13.40,14.96,64.57,,
S08000022,Highland,male,65 to 69,18.04,17.82,18.27,11.18,10.43,11.93,61.98,,
S08000022,Highland,male,70 to 74,14.45,14.23,14.67,8.49,7.74,9.24,58.77,,
S08000022,Highland,male,75 to 79,11.01,10.80,11.22,6.09,5.31,6.86,55.27,,
S08000022,Highland,male,80 to 84,8.15,7.95,8.36,4.16,3.40,4.93,51.08,,
S08000022,Highland,male,85 to 89,5.69,5.47,5.91,2.72,2.09,3.35,47.82,,
S08000022,Highland,male,90+,3.93,3.63,4.24,1.87,1.29,2.45,47.55,,
S08000022,Highland,female,less than 1,82.48,82.13,82.83,63.14,61.22,65.05,76.55,,
S08000022,Highland,female,1 to 4,81.68,81.35,82.00,62.45,60.54,64.37,76.46,,
S08000022,Highland,female,5 to 9,77.71,77.39,78.03,59.14,57.28,61.00,76.10,,
S08000022,Highland,female,10 to 14,72.73,72.40,73.05,54.94,53.17,56.72,75.55,,
S08000022,Highland,female,15 to 19,67.78,67.46,68.10,50.72,49.03,52.41,74.83,,
S08000022,Highland,female,20 to 24,62.87,62.56,63.19,46.55,44.95,48.15,74.03,,
S08000022,Highland,female,25 to 29,57.98,57.68,58.28,42.41,40.98,43.84,73.15,,
