Table 5: Life expectancy and healthy life expectancy in deprivation deciles  2015-2017,,,,,,,,,,,,
,,,,,,,,,,,,
SIMD decile (SIMD 2016),sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)",,,
decile 3,female,15 to 19,64.37,64.11,64.63,43.17,41.54,44.81,67.07,,,
decile 3,female,20 to 24,59.41,59.15,59.66,39.11,37.58,40.64,65.84,,,
decile 3,female,25 to 29,54.50,54.25,54.76,35.14,33.70,36.59,64.48,,,
decile 3,female,30 to 34,49.63,49.38,49.88,31.27,29.87,32.66,63.00,,,
decile 3,female,35 to 39,44.82,44.58,45.07,27.52,26.17,28.86,61.39,,,
decile 3,female,40 to 44,40.11,39.87,40.35,23.92,22.63,25.22,59.64,,,
decile 3,female,45 to 49,35.56,35.34,35.79,20.54,19.30,21.78,57.76,,,
decile 3,female,50 to 54,31.08,30.87,31.30,17.32,16.13,18.51,55.72,,,
decile 3,female,55 to 59,26.73,26.53,26.94,14.31,13.15,15.47,53.53,,,
decile 3,female,60 to 64,22.54,22.34,22.73,11.53,10.38,12.68,51.16,,,
decile 3,female,65 to 69,18.51,18.33,18.70,8.99,7.86,10.12,48.57,,,
decile 3,female,70 to 74,14.90,14.73,15.07,6.81,5.67,7.96,45.74,,,
decile 3,female,75 to 79,11.60,11.44,11.76,4.95,3.73,6.16,42.64,,,
decile 3,female,80 to 84,8.69,8.54,8.83,3.41,2.39,4.43,39.22,,,
decile 3,female,85 to 89,6.22,6.07,6.37,2.20,1.35,3.04,35.35,,,
decile 3,female,90+,4.37,4.17,4.56,1.34,0.56,2.13,30.73,,,
decile 4,male,less than 1,75.98,75.68,76.28,58.51,57.02,60.00,77.01,,,
decile 4,male,1 to 4,75.26,74.98,75.55,57.85,56.36,59.34,76.86,,,
decile 4,male,5 to 9,71.33,71.05,71.61,54.39,52.93,55.85,76.25,,,
decile 4,male,10 to 14,66.36,66.08,66.64,50.02,48.61,51.42,75.38,,,
decile 4,male,15 to 19,61.38,61.10,61.66,45.66,44.31,47.01,74.39,,,
decile 4,male,20 to 24,56.54,56.26,56.81,41.42,40.13,42.71,73.26,,,
decile 4,male,25 to 29,51.70,51.43,51.97,37.22,35.99,38.45,72.00,,,
decile 4,male,30 to 34,46.92,46.66,47.18,33.11,31.91,34.31,70.57,,,
decile 4,male,35 to 39,42.21,41.95,42.46,29.10,27.94,30.27,68.95,,,
decile 4,male,40 to 44,37.61,37.37,37.86,25.31,24.19,26.42,67.28,,,
decile 4,male,45 to 49,33.24,33.01,33.47,21.76,20.67,22.85,65.45,,,
decile 4,male,50 to 54,28.86,28.64,29.08,18.30,17.24,19.35,63.39,,,
decile 4,male,55 to 59,24.59,24.39,24.80,15.06,14.04,16.09,61.24,,,
decile 4,male,60 to 64,20.51,20.31,20.71,12.14,11.14,13.13,59.19,,,
decile 4,male,65 to 69,16.71,16.52,16.90,9.60,8.62,10.58,57.45,,,
decile 4,male,70 to 74,13.28,13.10,13.46,7.35,6.36,8.35,55.38,,,
decile 4,male,75 to 79,10.16,9.99,10.33,5.39,4.34,6.45,53.09,,,
decile 4,male,80 to 84,7.59,7.42,7.75,3.88,2.83,4.93,51.12,,,
decile 4,male,85 to 89,5.50,5.32,5.68,2.73,1.84,3.62,49.63,,,
decile 4,male,90+,3.91,3.64,4.17,1.96,1.11,2.80,50.09,,,
decile 4,female,less than 1,80.29,80.00,80.57,60.55,59.19,61.92,75.42,,,
decile 4,female,1 to 4,79.60,79.34,79.87,59.83,58.46,61.20,75.16,,,
decile 4,female,5 to 9,75.66,75.40,75.92,56.04,54.68,57.40,74.07,,,
decile 4,female,10 to 14,70.68,70.42,70.94,51.35,50.00,52.69,72.65,,,
decile 4,female,15 to 19,65.71,65.45,65.97,46.75,45.43,48.07,71.15,,,
decile 4,female,20 to 24,60.79,60.54,61.05,42.31,41.02,43.61,69.60,,,
decile 4,female,25 to 29,55.86,55.60,56.11,37.96,36.71,39.22,67.97,,,
decile 4,female,30 to 34,50.98,50.74,51.23,33.77,32.55,34.99,66.24,,,
decile 4,female,35 to 39,46.16,45.91,46.40,29.73,28.57,30.90,64.41,,,
decile 4,female,40 to 44,41.39,41.15,41.63,25.87,24.74,27.00,62.50,,,
decile 4,female,45 to 49,36.78,36.55,37.00,22.26,21.18,23.34,60.52,,,
decile 4,female,50 to 54,32.19,31.97,32.40,18.81,17.78,19.85,58.45,,,
decile 4,female,55 to 59,27.74,27.53,27.95,15.62,14.62,16.62,56.30,,,
decile 4,female,60 to 64,23.46,23.26,23.66,12.69,11.72,13.65,54.08,,,
decile 4,female,65 to 69,19.44,19.25,19.63,10.03,9.08,10.97,51.57,,,
decile 4,female,70 to 74,15.60,15.42,15.78,7.63,6.69,8.57,48.93,,,
decile 4,female,75 to 79,12.15,11.98,12.31,5.59,4.63,6.54,46.01,,,
decile 4,female,80 to 84,9.09,8.93,9.24,3.92,3.14,4.69,43.10,,,
decile 4,female,85 to 89,6.41,6.25,6.57,2.58,1.94,3.23,40.26,,,
decile 4,female,90+,4.64,4.42,4.85,1.73,1.10,2.37,37.43,,,
decile 5,male,less than 1,76.86,76.57,77.15,61.94,60.48,63.40,80.59,,,
decile 5,male,1 to 4,76.08,75.81,76.36,61.18,59.72,62.64,80.41,,,
decile 5,male,5 to 9,72.11,71.84,72.38,57.46,56.03,58.89,79.68,,,
decile 5,male,10 to 14,67.13,66.86,67.41,52.84,51.47,54.22,78.71,,,
decile 5,male,15 to 19,62.17,61.90,62.44,48.29,46.98,49.60,77.68,,,
decile 5,male,20 to 24,57.31,57.05,57.58,43.89,42.66,45.12,76.58,,,
decile 5,male,25 to 29,52.48,52.23,52.74,39.58,38.40,40.75,75.41,,,
decile 5,male,30 to 34,47.73,47.48,47.98,35.40,34.25,36.54,74.15,,,
decile 5,male,35 to 39,43.04,42.80,43.29,31.35,30.24,32.45,72.82,,,
decile 5,male,40 to 44,38.43,38.20,38.66,27.45,26.41,28.50,71.43,,,
decile 5,male,45 to 49,33.87,33.65,34.09,23.67,22.70,24.65,69.89,,,
decile 5,male,50 to 54,29.43,29.22,29.64,20.08,19.14,21.02,68.21,,,
decile 5,male,55 to 59,25.06,24.87,25.26,16.65,15.76,17.55,66.44,,,
decile 5,male,60 to 64,20.90,20.71,21.09,13.50,12.63,14.36,64.59,,,
decile 5,male,65 to 69,17.00,16.83,17.18,10.69,9.85,11.54,62.88,,,
decile 5,male,70 to 74,13.43,13.26,13.59,8.18,7.32,9.03,60.91,,,
decile 5,male,75 to 79,10.25,10.09,10.41,6.01,5.11,6.90,58.60,,,
decile 5,male,80 to 84,7.52,7.37,7.67,4.24,3.34,5.13,56.35,,,
decile 5,male,85 to 89,5.28,5.12,5.43,2.88,2.15,3.62,54.63,,,
decile 5,male,90+,3.57,3.35,3.78,1.90,1.24,2.56,53.23,,,
decile 5,female,less than 1,81.18,80.93,81.43,62.36,60.95,63.77,76.81,,,
decile 5,female,1 to 4,80.30,80.06,80.54,61.53,60.12,62.94,76.62,,,
decile 5,female,5 to 9,76.31,76.07,76.55,57.85,56.46,59.24,75.81,,,
decile 5,female,10 to 14,71.31,71.07,71.55,53.25,51.90,54.61,74.68,,,
decile 5,female,15 to 19,66.34,66.10,66.58,48.71,47.40,50.03,73.43,,,
decile 5,female,20 to 24,61.41,61.17,61.64,44.26,42.99,45.53,72.08,,,
decile 5,female,25 to 29,56.47,56.24,56.70,39.88,38.67,41.09,70.62,,,
decile 5,female,30 to 34,51.53,51.30,51.76,35.56,34.38,36.74,69.01,,,
decile 5,female,35 to 39,46.68,46.45,46.90,31.39,30.27,32.52,67.26,,,
decile 5,female,40 to 44,41.89,41.67,42.11,27.39,26.32,28.45,65.37,,,
decile 5,female,45 to 49,37.20,36.99,37.41,23.56,22.55,24.57,63.34,,,
decile 5,female,50 to 54,32.53,32.32,32.73,19.89,18.92,20.86,61.15,,,
decile 5,female,55 to 59,28.02,27.82,28.21,16.48,15.55,17.41,58.82,,,
decile 5,female,60 to 64,23.64,23.46,23.82,13.31,12.41,14.20,56.28,,,
decile 5,female,65 to 69,19.46,19.29,19.63,10.40,9.53,11.27,53.44,,,
decile 5,female,70 to 74,15.43,15.27,15.59,7.75,6.91,8.59,50.24,,,
decile 5,female,75 to 79,11.79,11.64,11.93,5.49,4.66,6.33,46.62,,,
decile 5,female,80 to 84,8.64,8.50,8.78,3.70,2.95,4.45,42.82,,,
decile 5,female,85 to 89,5.93,5.80,6.06,2.31,1.71,2.91,38.99,,,
decile 5,female,90+,3.98,3.82,4.14,1.39,0.85,1.92,34.88,,,
decile 6,male,less than 1,78.31,78.03,78.60,64.76,63.61,65.91,82.70,,,
decile 6,male,1 to 4,77.53,77.27,77.80,63.95,62.80,65.10,82.48,,,
decile 6,male,5 to 9,73.60,73.34,73.86,60.03,58.87,61.18,81.56,,,
decile 6,male,10 to 14,68.64,68.38,68.90,55.12,53.97,56.27,80.30,,,
decile 6,male,15 to 19,63.65,63.39,63.91,50.23,49.09,51.37,78.91,,,
decile 6,male,20 to 24,58.77,58.51,59.02,45.48,44.35,46.61,77.40,,,
decile 6,male,25 to 29,53.89,53.64,54.14,40.82,39.70,41.93,75.74,,,
decile 6,male,30 to 34,49.08,48.84,49.33,36.29,35.21,37.36,73.93,,,
decile 6,male,35 to 39,44.30,44.06,44.54,31.88,30.84,32.92,71.96,,,
decile 6,male,40 to 44,39.62,39.40,39.85,27.66,26.65,28.67,69.81,,,
decile 6,male,45 to 49,35.03,34.81,35.24,23.63,22.66,24.60,67.46,,,
decile 6,male,50 to 54,30.45,30.24,30.65,19.75,18.80,20.69,64.85,,,
decile 6,male,55 to 59,25.97,25.77,26.17,16.11,15.21,17.02,62.04,,,
decile 6,male,60 to 64,21.71,21.52,21.90,12.82,11.94,13.70,59.06,,,
decile 6,male,65 to 69,17.69,17.51,17.87,9.90,9.03,10.76,55.96,,,
decile 6,male,70 to 74,14.07,13.89,14.24,7.36,6.48,8.24,52.33,,,
decile 6,male,75 to 79,10.75,10.59,10.91,5.20,4.29,6.12,48.41,,,
decile 6,male,80 to 84,7.87,7.71,8.02,3.46,2.68,4.25,44.03,,,
decile 6,male,85 to 89,5.47,5.31,5.64,2.16,1.53,2.79,39.49,,,
decile 6,male,90+,3.79,3.56,4.02,1.35,0.78,1.92,35.58,,,
decile 6,female,less than 1,82.04,81.77,82.30,65.80,64.48,67.13,80.21,,,
decile 6,female,1 to 4,81.24,81.00,81.49,65.04,63.71,66.36,80.05,,,
decile 6,female,5 to 9,77.31,77.06,77.55,61.38,60.06,62.69,79.39,,,
decile 6,female,10 to 14,72.31,72.06,72.55,56.72,55.43,58.01,78.44,,,
decile 6,female,15 to 19,67.35,67.11,67.59,52.09,50.82,53.35,77.33,,,
decile 6,female,20 to 24,62.39,62.15,62.62,47.51,46.27,48.75,76.15,,,
decile 6,female,25 to 29,57.49,57.25,57.72,43.03,41.83,44.24,74.86,,,
decile 6,female,30 to 34,52.57,52.35,52.80,38.58,37.41,39.76,73.39,,,
decile 6,female,35 to 39,47.73,47.51,47.96,34.24,33.09,35.38,71.72,,,
decile 6,female,40 to 44,42.90,42.69,43.12,29.98,28.87,31.08,69.87,,,
decile 6,female,45 to 49,38.13,37.92,38.34,25.84,24.77,26.92,67.78,,,
decile 6,female,50 to 54,33.46,33.26,33.66,21.90,20.86,22.95,65.46,,,
decile 6,female,55 to 59,28.84,28.65,29.04,18.16,17.15,19.17,62.97,,,
decile 6,female,60 to 64,24.43,24.25,24.62,14.69,13.70,15.68,60.13,,,
decile 6,female,65 to 69,20.13,19.95,20.30,11.38,10.41,12.36,56.55,,,
decile 6,female,70 to 74,16.01,15.84,16.17,8.38,7.41,9.36,52.36,,,
decile 6,female,75 to 79,12.27,12.11,12.42,5.83,4.83,6.84,47.55,,,
decile 6,female,80 to 84,9.01,8.87,9.16,3.86,2.92,4.80,42.80,,,
decile 6,female,85 to 89,6.29,6.15,6.44,2.44,1.68,3.21,38.83,,,
decile 6,female,90+,4.30,4.12,4.48,1.56,0.85,2.27,36.21,,,
decile 7,male,less than 1,79.67,79.39,79.95,67.63,66.52,68.73,84.88,,,
decile 7,male,1 to 4,78.82,78.56,79.09,66.80,65.69,67.90,84.74,,,
decile 7,male,5 to 9,74.88,74.62,75.14,63.01,61.91,64.11,84.15,,,
decile 7,male,10 to 14,69.91,69.65,70.17,58.23,57.14,59.32,83.30,,,
decile 7,male,15 to 19,64.95,64.69,65.21,53.45,52.37,54.53,82.29,,,
decile 7,male,20 to 24,60.06,59.80,60.31,48.74,47.67,49.82,81.16,,,
decile 7,male,25 to 29,55.17,54.92,55.42,44.07,43.02,45.13,79.89,,,
decile 7,male,30 to 34,50.35,50.11,50.60,39.52,38.48,40.55,78.48,,,
decile 7,male,35 to 39,45.55,45.31,45.78,35.03,34.01,36.04,76.90,,,
decile 7,male,40 to 44,40.80,40.57,41.03,30.65,29.67,31.64,75.12,,,
decile 7,male,45 to 49,36.15,35.93,36.37,26.41,25.46,27.37,73.07,,,
decile 7,male,50 to 54,31.49,31.28,31.70,22.29,21.36,23.21,70.77,,,
decile 7,male,55 to 59,27.00,26.79,27.21,18.41,17.51,19.32,68.20,,,
decile 7,male,60 to 64,22.69,22.50,22.89,14.84,13.95,15.74,65.41,,,
decile 7,male,65 to 69,18.54,18.35,18.73,11.59,10.71,12.48,62.52,,,
decile 7,male,70 to 74,14.77,14.59,14.95,8.73,7.84,9.62,59.13,,,
decile 7,male,75 to 79,11.26,11.09,11.44,6.22,5.30,7.13,55.19,,,
decile 7,male,80 to 84,8.25,8.08,8.42,4.21,3.45,4.96,50.99,,,
decile 7,male,85 to 89,5.86,5.68,6.05,2.73,2.10,3.37,46.65,,,
decile 7,male,90+,4.10,3.84,4.36,1.74,1.15,2.34,42.48,,,
decile 7,female,less than 1,82.32,82.06,82.58,65.59,64.22,66.97,79.68,,,
decile 7,female,1 to 4,81.54,81.30,81.79,64.88,63.50,66.26,79.56,,,
decile 7,female,5 to 9,77.59,77.34,77.83,61.33,59.98,62.69,79.05,,,
decile 7,female,10 to 14,72.60,72.36,72.84,56.84,55.52,58.16,78.29,,,
decile 7,female,15 to 19,67.67,67.43,67.90,52.37,51.09,53.66,77.40,,,
decile 7,female,20 to 24,62.75,62.52,62.98,47.99,46.75,49.23,76.47,,,
decile 7,female,25 to 29,57.81,57.58,58.04,43.63,42.45,44.80,75.46,,,
decile 7,female,30 to 34,52.88,52.66,53.11,39.27,38.14,40.40,74.26,,,
decile 7,female,35 to 39,47.99,47.76,48.21,34.97,33.87,36.07,72.87,,,
decile 7,female,40 to 44,43.18,42.96,43.39,30.78,29.72,31.83,71.28,,,
decile 7,female,45 to 49,38.40,38.19,38.60,26.65,25.62,27.67,69.40,,,
decile 7,female,50 to 54,33.67,33.47,33.88,22.66,21.67,23.65,67.29,,,
decile 7,female,55 to 59,29.08,28.89,29.28,18.86,17.89,19.83,64.86,,,
decile 7,female,60 to 64,24.57,24.39,24.76,15.25,14.30,16.19,62.06,,,
decile 7,female,65 to 69,20.23,20.05,20.41,11.78,10.85,12.70,58.22,,,
decile 7,female,70 to 74,16.16,16.00,16.33,8.66,7.74,9.59,53.59,,,
decile 7,female,75 to 79,12.40,12.24,12.56,5.96,5.02,6.89,48.04,,,
decile 7,female,80 to 84,9.00,8.85,9.15,3.83,2.98,4.67,42.54,,,
decile 7,female,85 to 89,6.32,6.17,6.47,2.37,1.67,3.06,37.45,,,
decile 7,female,90+,4.31,4.13,4.49,1.53,0.88,2.17,35.46,,,
decile 8,male,less than 1,80.02,79.74,80.30,69.65,68.46,70.84,87.05,,,
decile 8,male,1 to 4,79.20,78.93,79.47,68.82,67.63,70.01,86.89,,,
decile 8,male,5 to 9,75.26,74.99,75.52,64.89,63.69,66.08,86.22,,,
decile 8,male,10 to 14,70.30,70.03,70.56,59.98,58.79,61.16,85.32,,,
decile 8,male,15 to 19,65.33,65.07,65.60,55.10,53.92,56.28,84.34,,,
decile 8,male,20 to 24,60.49,60.24,60.75,50.39,49.21,51.56,83.29,,,
decile 8,male,25 to 29,55.64,55.39,55.89,45.72,44.56,46.88,82.17,,,
decile 8,male,30 to 34,50.79,50.54,51.03,41.11,39.98,42.24,80.95,,,
decile 8,male,35 to 39,46.02,45.78,46.25,36.58,35.46,37.70,79.49,,,
decile 8,male,40 to 44,41.18,40.95,41.41,32.05,30.96,33.15,77.84,,,
decile 8,male,45 to 49,36.47,36.25,36.69,27.69,26.62,28.76,75.92,,,
decile 8,male,50 to 54,31.82,31.60,32.04,23.44,22.38,24.50,73.67,,,
decile 8,male,55 to 59,27.25,27.04,27.46,19.41,18.37,20.45,71.22,,,
decile 8,male,60 to 64,22.85,22.64,23.05,15.64,14.61,16.67,68.45,,,
decile 8,male,65 to 69,18.71,18.52,18.91,12.26,11.23,13.28,65.49,,,
decile 8,male,70 to 74,14.86,14.67,15.04,9.16,8.12,10.21,61.67,,,
decile 8,male,75 to 79,11.31,11.13,11.49,6.53,5.43,7.63,57.70,,,
decile 8,male,80 to 84,8.36,8.18,8.53,4.42,3.35,5.49,52.90,,,
decile 8,male,85 to 89,5.83,5.64,6.02,2.82,1.93,3.70,48.32,,,
decile 8,male,90+,4.10,3.84,4.37,1.99,1.14,2.84,48.50,,,
decile 8,female,less than 1,83.54,83.28,83.80,69.44,68.09,70.80,83.12,,,
decile 8,female,1 to 4,82.80,82.55,83.04,68.68,67.32,70.04,82.95,,,
decile 8,female,5 to 9,78.85,78.61,79.09,64.84,63.49,66.19,82.23,,,
decile 8,female,10 to 14,73.86,73.62,74.09,60.02,58.69,61.36,81.27,,,
decile 8,female,15 to 19,68.90,68.66,69.13,55.28,53.96,56.59,80.23,,,
decile 8,female,20 to 24,63.97,63.74,64.20,50.65,49.36,51.93,79.18,,,
