Table 6: Life expectancy and healthy life expectancy by Urban Rural classification 2015-2017,,,,,,,,,,,,
,,,,,,,,,,,,
Urban Rural (2016) code,Urban rural (2016) six fold classification,sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)",,
UR1,Large Urban Areas,male,70 to 74,13.41,13.30,13.51,7.06,6.32,7.80,52.63,,
UR1,Large Urban Areas,male,75 to 79,10.35,10.25,10.45,5.13,4.33,5.93,49.56,,
UR1,Large Urban Areas,male,80 to 84,7.77,7.67,7.86,3.61,2.80,4.41,46.45,,
UR1,Large Urban Areas,male,85 to 89,5.58,5.48,5.69,2.42,1.75,3.10,43.42,,
UR1,Large Urban Areas,male,90+,3.97,3.83,4.12,1.68,1.04,2.32,42.28,,
UR1,Large Urban Areas,female,less than 1,80.49,80.34,80.65,62.25,61.24,63.26,77.33,,
UR1,Large Urban Areas,female,1 to 4,79.77,79.62,79.91,61.54,60.53,62.55,77.15,,
UR1,Large Urban Areas,female,5 to 9,75.82,75.68,75.97,57.90,56.91,58.90,76.36,,
UR1,Large Urban Areas,female,10 to 14,70.84,70.70,70.98,53.31,52.34,54.28,75.25,,
UR1,Large Urban Areas,female,15 to 19,65.88,65.74,66.02,48.73,47.79,49.67,73.98,,
UR1,Large Urban Areas,female,20 to 24,60.92,60.78,61.05,44.21,43.30,45.12,72.57,,
UR1,Large Urban Areas,female,25 to 29,55.95,55.82,56.09,39.72,38.83,40.62,70.99,,
UR1,Large Urban Areas,female,30 to 34,51.02,50.88,51.16,35.31,34.44,36.19,69.22,,
UR1,Large Urban Areas,female,35 to 39,46.17,46.03,46.30,31.06,30.20,31.91,67.28,,
UR1,Large Urban Areas,female,40 to 44,41.42,41.28,41.55,27.01,26.18,27.85,65.23,,
UR1,Large Urban Areas,female,45 to 49,36.78,36.65,36.91,23.20,22.40,24.01,63.08,,
UR1,Large Urban Areas,female,50 to 54,32.21,32.09,32.34,19.58,18.79,20.36,60.77,,
UR1,Large Urban Areas,female,55 to 59,27.76,27.65,27.88,16.20,15.44,16.96,58.35,,
UR1,Large Urban Areas,female,60 to 64,23.45,23.33,23.56,13.06,12.32,13.81,55.71,,
UR1,Large Urban Areas,female,65 to 69,19.34,19.23,19.45,10.15,9.42,10.88,52.48,,
UR1,Large Urban Areas,female,70 to 74,15.54,15.44,15.64,7.58,6.85,8.32,48.79,,
UR1,Large Urban Areas,female,75 to 79,12.07,11.98,12.16,5.41,4.66,6.16,44.82,,
UR1,Large Urban Areas,female,80 to 84,9.01,8.93,9.10,3.68,3.03,4.33,40.82,,
UR1,Large Urban Areas,female,85 to 89,6.41,6.33,6.50,2.37,1.83,2.91,36.91,,
UR1,Large Urban Areas,female,90+,4.42,4.32,4.53,1.49,0.99,2.00,33.77,,
UR2,Other Urban Areas,male,less than 1,76.51,76.35,76.66,60.67,60.02,61.31,79.30,,
UR2,Other Urban Areas,male,1 to 4,75.77,75.62,75.92,59.94,59.29,60.59,79.11,,
UR2,Other Urban Areas,male,5 to 9,71.84,71.69,71.99,56.26,55.62,56.90,78.31,,
UR2,Other Urban Areas,male,10 to 14,66.87,66.72,67.02,51.63,51.00,52.25,77.21,,
UR2,Other Urban Areas,male,15 to 19,61.90,61.76,62.05,47.04,46.43,47.65,75.99,,
UR2,Other Urban Areas,male,20 to 24,57.03,56.89,57.18,42.57,41.98,43.16,74.64,,
UR2,Other Urban Areas,male,25 to 29,52.21,52.07,52.35,38.21,37.64,38.78,73.18,,
UR2,Other Urban Areas,male,30 to 34,47.47,47.34,47.61,33.98,33.43,34.54,71.58,,
UR2,Other Urban Areas,male,35 to 39,42.83,42.69,42.96,29.92,29.38,30.45,69.86,,
UR2,Other Urban Areas,male,40 to 44,38.24,38.12,38.37,26.00,25.48,26.51,67.97,,
UR2,Other Urban Areas,male,45 to 49,33.79,33.67,33.90,22.26,21.76,22.76,65.89,,
UR2,Other Urban Areas,male,50 to 54,29.38,29.27,29.50,18.69,18.20,19.17,63.60,,
UR2,Other Urban Areas,male,55 to 59,25.10,24.99,25.21,15.35,14.88,15.82,61.16,,
UR2,Other Urban Areas,male,60 to 64,20.95,20.85,21.06,12.28,11.82,12.74,58.60,,
UR2,Other Urban Areas,male,65 to 69,17.09,17.00,17.19,9.58,9.13,10.03,56.04,,
UR2,Other Urban Areas,male,70 to 74,13.54,13.44,13.63,7.19,6.73,7.64,53.10,,
UR2,Other Urban Areas,male,75 to 79,10.40,10.31,10.49,5.19,4.70,5.67,49.87,,
UR2,Other Urban Areas,male,80 to 84,7.70,7.61,7.78,3.57,3.11,4.03,46.43,,
UR2,Other Urban Areas,male,85 to 89,5.54,5.44,5.63,2.39,2.00,2.77,43.12,,
UR2,Other Urban Areas,male,90+,3.95,3.82,4.09,1.58,1.22,1.95,40.00,,
UR2,Other Urban Areas,female,less than 1,80.51,80.37,80.66,61.85,61.16,62.53,76.82,,
UR2,Other Urban Areas,female,1 to 4,79.76,79.62,79.89,61.09,60.40,61.78,76.59,,
UR2,Other Urban Areas,female,5 to 9,75.79,75.65,75.92,57.34,56.66,58.02,75.66,,
UR2,Other Urban Areas,female,10 to 14,70.81,70.68,70.95,52.70,52.04,53.37,74.43,,
UR2,Other Urban Areas,female,15 to 19,65.83,65.70,65.96,48.14,47.49,48.80,73.13,,
UR2,Other Urban Areas,female,20 to 24,60.91,60.78,61.04,43.71,43.08,44.35,71.77,,
UR2,Other Urban Areas,female,25 to 29,56.01,55.88,56.13,39.39,38.78,39.99,70.33,,
UR2,Other Urban Areas,female,30 to 34,51.15,51.02,51.28,35.20,34.61,35.79,68.81,,
UR2,Other Urban Areas,female,35 to 39,46.34,46.21,46.46,31.15,30.58,31.72,67.22,,
UR2,Other Urban Areas,female,40 to 44,41.62,41.50,41.74,27.28,26.73,27.84,65.55,,
UR2,Other Urban Areas,female,45 to 49,36.95,36.84,37.07,23.57,23.04,24.11,63.79,,
UR2,Other Urban Areas,female,50 to 54,32.35,32.24,32.46,20.04,19.52,20.56,61.95,,
UR2,Other Urban Areas,female,55 to 59,27.86,27.75,27.96,16.71,16.21,17.21,60.00,,
UR2,Other Urban Areas,female,60 to 64,23.51,23.41,23.61,13.62,13.13,14.11,57.92,,
UR2,Other Urban Areas,female,65 to 69,19.37,19.27,19.46,10.79,10.32,11.27,55.73,,
UR2,Other Urban Areas,female,70 to 74,15.42,15.33,15.51,8.23,7.76,8.71,53.39,,
UR2,Other Urban Areas,female,75 to 79,11.87,11.79,11.95,6.03,5.55,6.52,50.83,,
UR2,Other Urban Areas,female,80 to 84,8.81,8.73,8.89,4.23,3.78,4.68,48.00,,
UR2,Other Urban Areas,female,85 to 89,6.20,6.12,6.28,2.77,2.40,3.15,44.76,,
UR2,Other Urban Areas,female,90+,4.34,4.24,4.44,1.77,1.42,2.12,40.81,,
UR3,Accessible Small Towns,male,less than 1,78.28,77.96,78.60,63.74,62.52,64.96,81.43,,
UR3,Accessible Small Towns,male,1 to 4,77.54,77.23,77.84,62.98,61.75,64.20,81.22,,
UR3,Accessible Small Towns,male,5 to 9,73.56,73.25,73.86,59.11,57.89,60.33,80.37,,
UR3,Accessible Small Towns,male,10 to 14,68.58,68.28,68.88,54.30,53.09,55.51,79.18,,
UR3,Accessible Small Towns,male,15 to 19,63.58,63.28,63.88,49.48,48.29,50.67,77.82,,
UR3,Accessible Small Towns,male,20 to 24,58.65,58.36,58.95,44.77,43.59,45.95,76.32,,
UR3,Accessible Small Towns,male,25 to 29,53.81,53.52,54.10,40.19,39.04,41.34,74.69,,
UR3,Accessible Small Towns,male,30 to 34,49.13,48.85,49.40,35.83,34.72,36.95,72.94,,
UR3,Accessible Small Towns,male,35 to 39,44.55,44.29,44.81,31.63,30.53,32.73,70.99,,
UR3,Accessible Small Towns,male,40 to 44,39.82,39.56,40.07,27.41,26.33,28.48,68.83,,
UR3,Accessible Small Towns,male,45 to 49,35.16,34.91,35.40,23.33,22.29,24.38,66.37,,
UR3,Accessible Small Towns,male,50 to 54,30.72,30.49,30.95,19.54,18.51,20.57,63.60,,
UR3,Accessible Small Towns,male,55 to 59,26.24,26.02,26.46,15.91,14.90,16.91,60.63,,
UR3,Accessible Small Towns,male,60 to 64,22.04,21.82,22.25,12.66,11.68,13.64,57.44,,
UR3,Accessible Small Towns,male,65 to 69,18.02,17.81,18.22,9.76,8.79,10.73,54.16,,
UR3,Accessible Small Towns,male,70 to 74,14.38,14.19,14.58,7.24,6.25,8.24,50.37,,
UR3,Accessible Small Towns,male,75 to 79,11.10,10.91,11.29,5.12,4.08,6.16,46.16,,
UR3,Accessible Small Towns,male,80 to 84,8.17,7.98,8.36,3.41,2.42,4.41,41.77,,
UR3,Accessible Small Towns,male,85 to 89,5.82,5.62,6.03,2.18,1.36,3.00,37.47,,
UR3,Accessible Small Towns,male,90+,4.11,3.81,4.40,1.37,0.61,2.13,33.33,,
UR3,Accessible Small Towns,female,less than 1,81.57,81.28,81.87,61.90,60.39,63.42,75.89,,
UR3,Accessible Small Towns,female,1 to 4,80.83,80.56,81.10,61.21,59.70,62.72,75.73,,
UR3,Accessible Small Towns,female,5 to 9,76.86,76.59,77.13,57.66,56.18,59.15,75.02,,
UR3,Accessible Small Towns,female,10 to 14,71.86,71.59,72.13,53.18,51.74,54.62,74.00,,
UR3,Accessible Small Towns,female,15 to 19,66.92,66.65,67.18,48.72,47.33,50.11,72.81,,
UR3,Accessible Small Towns,female,20 to 24,61.97,61.71,62.23,44.32,42.98,45.66,71.52,,
UR3,Accessible Small Towns,female,25 to 29,57.08,56.82,57.33,40.05,38.75,41.35,70.17,,
UR3,Accessible Small Towns,female,30 to 34,52.20,51.95,52.45,35.83,34.59,37.08,68.65,,
UR3,Accessible Small Towns,female,35 to 39,47.37,47.13,47.62,31.70,30.50,32.89,66.91,,
UR3,Accessible Small Towns,female,40 to 44,42.64,42.41,42.87,27.66,26.51,28.81,64.87,,
UR3,Accessible Small Towns,female,45 to 49,37.86,37.64,38.09,23.71,22.59,24.83,62.62,,
UR3,Accessible Small Towns,female,50 to 54,33.17,32.95,33.39,19.92,18.83,21.01,60.05,,
UR3,Accessible Small Towns,female,55 to 59,28.60,28.39,28.81,16.39,15.33,17.46,57.32,,
UR3,Accessible Small Towns,female,60 to 64,24.23,24.03,24.43,13.14,12.09,14.19,54.22,,
UR3,Accessible Small Towns,female,65 to 69,19.96,19.78,20.15,10.06,9.03,11.10,50.40,,
UR3,Accessible Small Towns,female,70 to 74,16.03,15.85,16.21,7.34,6.30,8.38,45.82,,
UR3,Accessible Small Towns,female,75 to 79,12.30,12.13,12.46,4.99,3.93,6.06,40.61,,
UR3,Accessible Small Towns,female,80 to 84,9.02,8.86,9.18,3.19,2.18,4.20,35.34,,
UR3,Accessible Small Towns,female,85 to 89,6.24,6.08,6.40,1.97,1.17,2.77,31.59,,
UR3,Accessible Small Towns,female,90+,4.24,4.04,4.44,1.25,0.51,1.98,29.38,,
UR4,Remote Small Towns,male,less than 1,76.41,75.91,76.91,64.88,63.44,66.32,84.91,,
UR4,Remote Small Towns,male,1 to 4,75.54,75.06,76.03,64.00,62.56,65.44,84.72,,
UR4,Remote Small Towns,male,5 to 9,71.59,71.11,72.08,60.07,58.63,61.51,83.90,,
UR4,Remote Small Towns,male,10 to 14,66.59,66.11,67.08,55.12,53.69,56.55,82.77,,
UR4,Remote Small Towns,male,15 to 19,61.59,61.11,62.08,50.18,48.76,51.60,81.47,,
UR4,Remote Small Towns,male,20 to 24,56.72,56.24,57.20,45.39,43.99,46.80,80.03,,
UR4,Remote Small Towns,male,25 to 29,51.98,51.52,52.44,40.78,39.41,42.15,78.45,,
UR4,Remote Small Towns,male,30 to 34,47.38,46.94,47.82,36.35,35.01,37.69,76.72,,
UR4,Remote Small Towns,male,35 to 39,42.82,42.40,43.23,32.04,30.75,33.33,74.83,,
UR4,Remote Small Towns,male,40 to 44,38.29,37.91,38.68,27.86,26.70,29.01,72.75,,
UR4,Remote Small Towns,male,45 to 49,33.81,33.45,34.18,23.78,22.66,24.91,70.34,,
UR4,Remote Small Towns,male,50 to 54,29.35,29.00,29.69,19.84,18.76,20.91,67.59,,
UR4,Remote Small Towns,male,55 to 59,25.06,24.73,25.38,16.21,15.18,17.23,64.68,,
UR4,Remote Small Towns,male,60 to 64,20.94,20.63,21.25,12.94,11.96,13.92,61.79,,
UR4,Remote Small Towns,male,65 to 69,17.13,16.84,17.41,10.08,9.13,11.04,58.86,,
UR4,Remote Small Towns,male,70 to 74,13.73,13.46,14.00,7.60,6.64,8.56,55.34,,
UR4,Remote Small Towns,male,75 to 79,10.62,10.37,10.87,5.44,4.45,6.42,51.21,,
UR4,Remote Small Towns,male,80 to 84,7.89,7.65,8.12,3.70,2.84,4.56,46.87,,
UR4,Remote Small Towns,male,85 to 89,5.50,5.25,5.75,2.36,1.66,3.06,42.96,,
UR4,Remote Small Towns,male,90+,3.96,3.60,4.32,1.64,0.97,2.31,41.46,,
UR4,Remote Small Towns,female,less than 1,81.45,81.01,81.89,60.84,58.70,62.99,74.69,,
UR4,Remote Small Towns,female,1 to 4,80.58,80.15,81.00,60.14,58.00,62.29,74.64,,
UR4,Remote Small Towns,female,5 to 9,76.60,76.18,77.03,57.00,54.93,59.07,74.41,,
UR4,Remote Small Towns,female,10 to 14,71.60,71.18,72.03,52.91,50.95,54.86,73.89,,
UR4,Remote Small Towns,female,15 to 19,66.70,66.29,67.11,48.78,46.94,50.63,73.14,,
UR4,Remote Small Towns,female,20 to 24,61.78,61.38,62.19,44.64,42.91,46.37,72.25,,
UR4,Remote Small Towns,female,25 to 29,56.90,56.51,57.30,40.53,38.98,42.08,71.23,,
UR4,Remote Small Towns,female,30 to 34,52.02,51.64,52.41,36.41,34.90,37.92,69.99,,
UR4,Remote Small Towns,female,35 to 39,47.16,46.79,47.54,32.30,30.89,33.71,68.49,,
UR4,Remote Small Towns,female,40 to 44,42.41,42.05,42.77,28.31,26.97,29.64,66.75,,
UR4,Remote Small Towns,female,45 to 49,37.69,37.34,38.03,24.38,23.10,25.65,64.68,,
UR4,Remote Small Towns,female,50 to 54,33.04,32.71,33.37,20.58,19.35,21.81,62.30,,
UR4,Remote Small Towns,female,55 to 59,28.55,28.23,28.86,16.99,15.80,18.17,59.52,,
UR4,Remote Small Towns,female,60 to 64,24.26,23.97,24.55,13.78,12.63,14.92,56.78,,
UR4,Remote Small Towns,female,65 to 69,19.99,19.72,20.26,10.57,9.47,11.67,52.88,,
UR4,Remote Small Towns,female,70 to 74,15.99,15.74,16.25,7.68,6.58,8.77,48.00,,
UR4,Remote Small Towns,female,75 to 79,12.36,12.13,12.59,5.23,4.12,6.34,42.34,,
UR4,Remote Small Towns,female,80 to 84,9.13,8.91,9.34,3.33,2.32,4.35,36.54,,
UR4,Remote Small Towns,female,85 to 89,6.40,6.19,6.61,2.01,1.20,2.83,31.46,,
UR4,Remote Small Towns,female,90+,4.37,4.12,4.63,1.25,0.50,1.99,28.50,,
UR5,Accessible Rural,male,less than 1,79.55,79.27,79.83,66.46,65.48,67.44,83.55,,
UR5,Accessible Rural,male,1 to 4,78.75,78.48,79.02,65.67,64.68,66.65,83.38,,
UR5,Accessible Rural,male,5 to 9,74.81,74.54,75.07,61.85,60.87,62.84,82.68,,
UR5,Accessible Rural,male,10 to 14,69.84,69.58,70.10,57.05,56.07,58.02,81.68,,
UR5,Accessible Rural,male,15 to 19,64.86,64.60,65.12,52.23,51.27,53.20,80.53,,
UR5,Accessible Rural,male,20 to 24,60.02,59.77,60.28,47.56,46.61,48.52,79.24,,
UR5,Accessible Rural,male,25 to 29,55.15,54.90,55.40,42.92,41.97,43.86,77.82,,
UR5,Accessible Rural,male,30 to 34,50.40,50.16,50.64,38.43,37.51,39.35,76.25,,
UR5,Accessible Rural,male,35 to 39,45.67,45.44,45.90,34.03,33.13,34.92,74.51,,
UR5,Accessible Rural,male,40 to 44,40.94,40.73,41.16,29.71,28.84,30.58,72.57,,
UR5,Accessible Rural,male,45 to 49,36.29,36.08,36.50,25.54,24.70,26.39,70.39,,
UR5,Accessible Rural,male,50 to 54,31.69,31.49,31.89,21.54,20.72,22.37,67.97,,
UR5,Accessible Rural,male,55 to 59,27.13,26.93,27.32,17.72,16.92,18.52,65.32,,
UR5,Accessible Rural,male,60 to 64,22.79,22.61,22.98,14.25,13.47,15.03,62.49,,
UR5,Accessible Rural,male,65 to 69,18.64,18.46,18.82,11.09,10.32,11.85,59.48,,
UR5,Accessible Rural,male,70 to 74,14.87,14.69,15.04,8.32,7.55,9.10,55.98,,
UR5,Accessible Rural,male,75 to 79,11.40,11.23,11.57,5.95,5.14,6.76,52.16,,
UR5,Accessible Rural,male,80 to 84,8.42,8.25,8.60,4.03,3.27,4.79,47.81,,
UR5,Accessible Rural,male,85 to 89,6.03,5.84,6.22,2.59,1.96,3.23,43.00,,
UR5,Accessible Rural,male,90+,4.20,3.93,4.47,1.58,0.98,2.17,37.53,,
UR5,Accessible Rural,female,less than 1,82.74,82.48,82.99,65.26,64.06,66.47,78.88,,
UR5,Accessible Rural,female,1 to 4,81.91,81.67,82.15,64.48,63.27,65.68,78.72,,
UR5,Accessible Rural,female,5 to 9,77.94,77.71,78.18,60.82,59.63,62.01,78.03,,
UR5,Accessible Rural,female,10 to 14,72.95,72.71,73.19,56.22,55.06,57.38,77.06,,
UR5,Accessible Rural,female,15 to 19,67.99,67.75,68.22,51.65,50.51,52.79,75.97,,
UR5,Accessible Rural,female,20 to 24,63.08,62.84,63.31,47.20,46.09,48.30,74.82,,
UR5,Accessible Rural,female,25 to 29,58.18,57.96,58.41,42.87,41.82,43.93,73.68,,
UR5,Accessible Rural,female,30 to 34,53.25,53.03,53.47,38.55,37.55,39.56,72.39,,
UR5,Accessible Rural,female,35 to 39,48.37,48.16,48.59,34.30,33.32,35.28,70.91,,
UR5,Accessible Rural,female,40 to 44,43.49,43.28,43.70,30.10,29.15,31.05,69.21,,
UR5,Accessible Rural,female,45 to 49,38.70,38.50,38.91,26.03,25.10,26.96,67.26,,
UR5,Accessible Rural,female,50 to 54,34.00,33.80,34.20,22.12,21.23,23.02,65.06,,
UR5,Accessible Rural,female,55 to 59,29.43,29.24,29.63,18.43,17.55,19.30,62.60,,
UR5,Accessible Rural,female,60 to 64,24.92,24.73,25.10,14.93,14.08,15.79,59.93,,
UR5,Accessible Rural,female,65 to 69,20.57,20.39,20.75,11.63,10.79,12.48,56.55,,
UR5,Accessible Rural,female,70 to 74,16.45,16.28,16.63,8.66,7.82,9.50,52.64,,
UR5,Accessible Rural,female,75 to 79,12.70,12.53,12.87,6.06,5.20,6.92,47.74,,
UR5,Accessible Rural,female,80 to 84,9.37,9.21,9.54,3.98,3.19,4.77,42.46,,
UR5,Accessible Rural,female,85 to 89,6.69,6.52,6.86,2.54,1.88,3.20,37.96,,
UR5,Accessible Rural,female,90+,4.63,4.41,4.85,1.69,1.06,2.33,36.58,,
UR6,Remote Rural,male,less than 1,79.09,78.70,79.47,66.96,65.70,68.23,84.67,,
UR6,Remote Rural,male,1 to 4,78.15,77.77,78.53,66.02,64.75,67.28,84.47,,
UR6,Remote Rural,male,5 to 9,74.24,73.87,74.61,62.09,60.82,63.36,83.64,,
UR6,Remote Rural,male,10 to 14,69.27,68.90,69.64,57.16,55.89,58.42,82.52,,
UR6,Remote Rural,male,15 to 19,64.39,64.02,64.75,52.38,51.12,53.63,81.35,,
UR6,Remote Rural,male,20 to 24,59.55,59.20,59.91,47.73,46.49,48.96,80.14,,
UR6,Remote Rural,male,25 to 29,54.81,54.48,55.15,43.24,42.03,44.46,78.89,,
UR6,Remote Rural,male,30 to 34,50.10,49.78,50.42,38.88,37.72,40.04,77.60,,
UR6,Remote Rural,male,35 to 39,45.39,45.10,45.69,34.61,33.51,35.72,76.25,,
UR6,Remote Rural,male,40 to 44,40.77,40.50,41.05,30.52,29.52,31.52,74.86,,
UR6,Remote Rural,male,45 to 49,36.14,35.88,36.40,26.53,25.57,27.48,73.40,,
UR6,Remote Rural,male,50 to 54,31.47,31.22,31.72,22.62,21.74,23.50,71.87,,
UR6,Remote Rural,male,55 to 59,26.97,26.73,27.21,18.95,18.11,19.79,70.27,,
UR6,Remote Rural,male,60 to 64,22.70,22.47,22.92,15.57,14.76,16.37,68.58,,
UR6,Remote Rural,male,65 to 69,18.55,18.34,18.76,12.40,11.62,13.17,66.83,,
UR6,Remote Rural,male,70 to 74,14.71,14.50,14.91,9.55,8.79,10.31,64.94,,
UR6,Remote Rural,male,75 to 79,11.18,10.98,11.38,7.03,6.24,7.81,62.87,,
UR6,Remote Rural,male,80 to 84,8.10,7.91,8.29,4.91,4.20,5.63,60.67,,
UR6,Remote Rural,male,85 to 89,5.58,5.38,5.78,3.24,2.66,3.83,58.17,,
UR6,Remote Rural,male,90+,3.81,3.54,4.09,2.12,1.57,2.66,55.50,,
UR6,Remote Rural,female,less than 1,83.09,82.75,83.43,65.49,63.79,67.19,78.82,,
UR6,Remote Rural,female,1 to 4,82.20,81.88,82.53,64.67,62.97,66.37,78.67,,
UR6,Remote Rural,female,5 to 9,78.24,77.92,78.56,61.06,59.39,62.73,78.04,,
UR6,Remote Rural,female,10 to 14,73.27,72.96,73.59,56.57,54.96,58.18,77.20,,
UR6,Remote Rural,female,15 to 19,68.30,67.99,68.62,52.10,50.55,53.65,76.28,,
UR6,Remote Rural,female,20 to 24,63.36,63.05,63.67,47.74,46.27,49.22,75.35,,
UR6,Remote Rural,female,25 to 29,58.49,58.19,58.78,43.52,42.14,44.90,74.41,,
UR6,Remote Rural,female,30 to 34,53.59,53.30,53.88,39.31,38.01,40.62,73.36,,
UR6,Remote Rural,female,35 to 39,48.70,48.42,48.98,35.18,34.00,36.37,72.24,,
UR6,Remote Rural,female,40 to 44,43.85,43.58,44.12,31.13,30.03,32.24,71.00,,
UR6,Remote Rural,female,45 to 49,39.06,38.80,39.32,27.18,26.13,28.23,69.58,,
UR6,Remote Rural,female,50 to 54,34.31,34.06,34.56,23.34,22.33,24.35,68.03,,
UR6,Remote Rural,female,55 to 59,29.68,29.43,29.92,19.67,18.69,20.65,66.28,,
UR6,Remote Rural,female,60 to 64,25.22,24.99,25.45,16.21,15.25,17.18,64.29,,
UR6,Remote Rural,female,65 to 69,20.95,20.73,21.17,12.94,12.00,13.88,61.78,,
UR6,Remote Rural,female,70 to 74,16.77,16.56,16.98,9.87,8.94,10.81,58.86,,
UR6,Remote Rural,female,75 to 79,12.98,12.77,13.18,7.21,6.25,8.16,55.53,,
UR6,Remote Rural,female,80 to 84,9.49,9.30,9.68,4.91,3.98,5.84,51.70,,
UR6,Remote Rural,female,85 to 89,6.59,6.40,6.78,3.18,2.41,3.96,48.30,,
UR6,Remote Rural,female,90+,4.35,4.12,4.58,2.05,1.34,2.75,47.00,,
,,,,,,,,,,,,
© Crown copyright 2019,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
