"Table 4: Healthy Life Expectancy (HLE estimates by SIMD decile in Scotland, 2018-2020",,,,,,,,,
,,,,,,,,,
SIMD decile,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%)
Decile 1 (most deprived),Male,40 to 44,31.94,31.67,32.21,15.94,14.43,17.45,49.91
Decile 1 (most deprived),Male,45 to 49,28.29,28.04,28.55,13.39,11.98,14.81,47.34
Decile 1 (most deprived),Male,50 to 54,24.89,24.66,25.12,11.12,9.75,12.50,44.70
Decile 1 (most deprived),Male,55 to 59,21.33,21.12,21.55,9.02,7.71,10.34,42.29
Decile 1 (most deprived),Male,60 to 64,17.85,17.64,18.06,7.29,6.00,8.58,40.85
Decile 1 (most deprived),Male,65 to 69,14.63,14.43,14.83,5.98,4.71,7.26,40.91
Decile 1 (most deprived),Male,70 to 74,11.76,11.58,11.95,4.76,3.40,6.11,40.42
Decile 1 (most deprived),Male,75 to 79,9.16,8.97,9.34,3.70,2.19,5.21,40.42
Decile 1 (most deprived),Male,80 to 84,7.19,6.99,7.39,2.97,1.43,4.50,41.29
Decile 1 (most deprived),Male,85 to 89,5.74,5.49,5.99,2.58,1.17,3.99,44.88
Decile 1 (most deprived),Male,90+,4.97,4.56,5.39,2.68,0.98,4.38,53.88
Decile 2,Female,<1,76.87,76.58,77.16,51.65,49.59,53.72,67.19
Decile 2,Female,1 to 4,76.20,75.93,76.47,51.04,48.97,53.11,66.98
Decile 2,Female,5 to 9,72.26,71.99,72.53,47.72,45.71,49.73,66.04
Decile 2,Female,10 to 14,67.30,67.03,67.56,43.56,41.65,45.47,64.73
Decile 2,Female,15 to 19,62.33,62.07,62.60,39.42,37.62,41.22,63.24
Decile 2,Female,20 to 24,57.41,57.14,57.67,35.37,33.68,37.05,61.61
Decile 2,Female,25 to 29,52.56,52.30,52.81,31.46,29.83,33.08,59.86
Decile 2,Female,30 to 34,47.69,47.43,47.94,27.61,26.07,29.15,57.89
Decile 2,Female,35 to 39,42.98,42.73,43.22,23.96,22.46,25.47,55.76
Decile 2,Female,40 to 44,38.35,38.11,38.59,20.55,19.12,21.99,53.60
Decile 2,Female,45 to 49,33.86,33.63,34.08,17.37,15.99,18.75,51.31
Decile 2,Female,50 to 54,29.49,29.28,29.71,14.43,13.11,15.74,48.91
Decile 2,Female,55 to 59,25.23,25.03,25.44,11.75,10.51,13.00,46.57
Decile 2,Female,60 to 64,21.16,20.97,21.35,9.39,8.23,10.55,44.38
Decile 2,Female,65 to 69,17.34,17.16,17.52,7.26,6.12,8.39,41.85
Decile 2,Female,70 to 74,13.84,13.67,14.00,5.38,4.26,6.49,38.86
Decile 2,Female,75 to 79,10.74,10.59,10.90,3.84,2.70,4.97,35.70
Decile 2,Female,80 to 84,8.18,8.04,8.32,2.68,1.53,3.83,32.80
Decile 2,Female,85 to 89,5.97,5.83,6.11,1.78,0.83,2.74,29.90
Decile 2,Female,90+,4.18,4.00,4.36,1.19,0.29,2.09,28.53
Decile 2,Male,<1,71.66,71.35,71.97,50.84,49.07,52.62,70.95
Decile 2,Male,1 to 4,71.00,70.70,71.30,50.15,48.36,51.93,70.63
Decile 2,Male,5 to 9,67.07,66.77,67.36,46.48,44.72,48.24,69.30
Decile 2,Male,10 to 14,62.08,61.79,62.38,41.92,40.20,43.64,67.52
Decile 2,Male,15 to 19,57.09,56.80,57.39,37.45,35.79,39.11,65.59
Decile 2,Male,20 to 24,52.30,52.01,52.59,33.21,31.61,34.81,63.50
Decile 2,Male,25 to 29,47.58,47.30,47.86,29.14,27.61,30.67,61.24
Decile 2,Male,30 to 34,42.93,42.65,43.20,25.24,23.81,26.67,58.80
Decile 2,Male,35 to 39,38.38,38.12,38.65,21.58,20.18,22.98,56.21
Decile 2,Male,40 to 44,34.04,33.79,34.30,18.22,16.87,19.56,53.51
Decile 2,Male,45 to 49,29.94,29.71,30.18,15.17,13.86,16.47,50.65
Decile 2,Male,50 to 54,26.04,25.83,26.26,12.39,11.17,13.61,47.57
Decile 2,Male,55 to 59,22.16,21.96,22.37,9.85,8.68,11.01,44.42
Decile 2,Male,60 to 64,18.41,18.21,18.60,7.60,6.49,8.72,41.31
Decile 2,Male,65 to 69,14.98,14.80,15.17,5.73,4.63,6.83,38.25
Decile 2,Male,70 to 74,11.88,11.71,12.05,4.15,3.08,5.23,34.94
Decile 2,Male,75 to 79,9.14,8.97,9.30,2.84,1.67,4.02,31.14
Decile 2,Male,80 to 84,7.00,6.84,7.17,1.92,0.75,3.09,27.41
Decile 2,Male,85 to 89,5.36,5.17,5.55,1.25,0.28,2.21,23.23
Decile 2,Male,90+,4.30,4.00,4.59,0.81,-0.14,1.77,18.94
Decile 3,Female,<1,78.84,78.55,79.13,54.90,53.08,56.71,69.63
Decile 3,Female,1 to 4,78.13,77.87,78.40,54.27,52.45,56.09,69.46
Decile 3,Female,5 to 9,74.23,73.96,74.49,51.02,49.25,52.80,68.74
Decile 3,Female,10 to 14,69.24,68.98,69.50,46.89,45.18,48.59,67.71
Decile 3,Female,15 to 19,64.28,64.02,64.54,42.76,41.13,44.39,66.52
Decile 3,Female,20 to 24,59.31,59.06,59.57,38.69,37.14,40.24,65.22
Decile 3,Female,25 to 29,54.41,54.16,54.66,34.71,33.24,36.19,63.80
Decile 3,Female,30 to 34,49.47,49.22,49.72,30.77,29.34,32.19,62.19
Decile 3,Female,35 to 39,44.67,44.42,44.91,26.98,25.59,28.37,60.39
Decile 3,Female,40 to 44,39.98,39.74,40.22,23.39,22.05,24.74,58.52
Decile 3,Female,45 to 49,35.44,35.21,35.66,20.04,18.76,21.32,56.55
Decile 3,Female,50 to 54,30.97,30.75,31.18,16.84,15.62,18.06,54.37
Decile 3,Female,55 to 59,26.62,26.42,26.83,13.89,12.72,15.06,52.18
Decile 3,Female,60 to 64,22.42,22.23,22.61,11.26,10.14,12.39,50.24
Decile 3,Female,65 to 69,18.45,18.27,18.63,8.83,7.76,9.90,47.85
Decile 3,Female,70 to 74,14.82,14.65,14.98,6.67,5.61,7.73,45.03
Decile 3,Female,75 to 79,11.48,11.32,11.63,4.84,3.75,5.93,42.14
Decile 3,Female,80 to 84,8.60,8.45,8.74,3.43,2.39,4.47,39.87
Decile 3,Female,85 to 89,6.16,6.01,6.30,2.35,1.48,3.23,38.24
Decile 3,Female,90+,4.23,4.04,4.42,1.63,0.81,2.45,38.49
Decile 3,Male,<1,73.59,73.27,73.92,55.08,53.43,56.73,74.84
Decile 3,Male,1 to 4,73.07,72.77,73.38,54.46,52.80,56.12,74.53
Decile 3,Male,5 to 9,69.10,68.80,69.41,50.62,48.97,52.27,73.25
Decile 3,Male,10 to 14,64.13,63.82,64.43,45.90,44.29,47.52,71.58
Decile 3,Male,15 to 19,59.17,58.87,59.47,41.32,39.74,42.90,69.83
Decile 3,Male,20 to 24,54.42,54.12,54.71,37.00,35.47,38.53,67.99
Decile 3,Male,25 to 29,49.75,49.47,50.03,32.87,31.37,34.37,66.07
Decile 3,Male,30 to 34,45.08,44.81,45.36,28.87,27.42,30.32,64.03
Decile 3,Male,35 to 39,40.42,40.15,40.68,25.02,23.62,26.42,61.90
Decile 3,Male,40 to 44,36.02,35.76,36.27,21.50,20.16,22.85,59.70
Decile 3,Male,45 to 49,31.79,31.55,32.02,18.25,16.98,19.53,57.42
Decile 3,Male,50 to 54,27.67,27.45,27.89,15.21,14.01,16.42,54.98
Decile 3,Male,55 to 59,23.60,23.39,23.81,12.38,11.27,13.50,52.47
Decile 3,Male,60 to 64,19.70,19.51,19.90,9.84,8.75,10.92,49.92
Decile 3,Male,65 to 69,16.09,15.91,16.27,7.64,6.60,8.69,47.51
Decile 3,Male,70 to 74,12.81,12.64,12.98,5.74,4.73,6.75,44.83
Decile 3,Male,75 to 79,9.80,9.63,9.96,4.11,3.04,5.18,41.90
Decile 3,Male,80 to 84,7.38,7.22,7.54,2.87,1.79,3.94,38.83
Decile 3,Male,85 to 89,5.43,5.25,5.60,1.94,1.04,2.85,35.80
Decile 3,Male,90+,3.98,3.72,4.24,1.31,0.45,2.18,33.01
Decile 4,Female,<1,80.18,79.90,80.46,57.89,56.19,59.59,72.21
Decile 4,Female,1 to 4,79.44,79.18,79.70,57.18,55.48,58.89,71.98
Decile 4,Female,5 to 9,75.46,75.21,75.72,53.61,51.93,55.29,71.04
Decile 4,Female,10 to 14,70.47,70.21,70.73,49.15,47.51,50.79,69.74
Decile 4,Female,15 to 19,65.50,65.24,65.75,44.74,43.14,46.33,68.31
Decile 4,Female,20 to 24,60.56,60.31,60.81,40.43,38.88,41.97,66.75
Decile 4,Female,25 to 29,55.65,55.41,55.90,36.21,34.72,37.71,65.07
Decile 4,Female,30 to 34,50.76,50.52,51.01,32.08,30.66,33.51,63.20
Decile 4,Female,35 to 39,45.92,45.68,46.16,28.08,26.75,29.42,61.16
Decile 4,Female,40 to 44,41.23,41.00,41.47,24.31,23.05,25.58,58.97
Decile 4,Female,45 to 49,36.63,36.41,36.85,20.75,19.54,21.96,56.64
Decile 4,Female,50 to 54,32.06,31.85,32.27,17.37,16.21,18.53,54.17
Decile 4,Female,55 to 59,27.62,27.41,27.82,14.24,13.15,15.33,51.57
Decile 4,Female,60 to 64,23.29,23.10,23.48,11.38,10.33,12.42,48.85
Decile 4,Female,65 to 69,19.17,18.99,19.35,8.74,7.75,9.74,45.62
Decile 4,Female,70 to 74,15.41,15.24,15.58,6.50,5.52,7.48,42.18
Decile 4,Female,75 to 79,11.93,11.77,12.09,4.57,3.59,5.54,38.29
Decile 4,Female,80 to 84,8.93,8.78,9.08,3.07,2.26,3.88,34.42
Decile 4,Female,85 to 89,6.37,6.22,6.52,1.96,1.30,2.62,30.78
Decile 4,Female,90+,4.48,4.28,4.68,1.22,0.60,1.84,27.27
Decile 4,Male,<1,75.57,75.26,75.87,56.67,54.89,58.45,74.99
Decile 4,Male,1 to 4,74.83,74.54,75.12,55.99,54.21,57.77,74.82
Decile 4,Male,5 to 9,70.88,70.59,71.16,52.48,50.74,54.21,74.04
Decile 4,Male,10 to 14,65.90,65.61,66.19,48.07,46.40,49.73,72.94
Decile 4,Male,15 to 19,60.94,60.65,61.22,43.69,42.11,45.28,71.70
Decile 4,Male,20 to 24,56.14,55.86,56.41,39.48,37.97,40.98,70.32
Decile 4,Male,25 to 29,51.36,51.09,51.63,35.34,33.88,36.79,68.80
Decile 4,Male,30 to 34,46.65,46.39,46.91,31.32,29.93,32.72,67.15
Decile 4,Male,35 to 39,42.03,41.77,42.28,27.47,26.17,28.76,65.35
Decile 4,Male,40 to 44,37.42,37.18,37.67,23.71,22.50,24.92,63.36
Decile 4,Male,45 to 49,33.02,32.79,33.25,20.21,19.06,21.36,61.19
Decile 4,Male,50 to 54,28.74,28.53,28.96,16.92,15.83,18.02,58.87
Decile 4,Male,55 to 59,24.52,24.32,24.73,13.81,12.78,14.85,56.32
Decile 4,Male,60 to 64,20.43,20.24,20.63,10.92,9.93,11.90,53.42
Decile 4,Male,65 to 69,16.67,16.49,16.85,8.34,7.40,9.28,50.04
Decile 4,Male,70 to 74,13.32,13.15,13.49,6.18,5.25,7.10,46.39
Decile 4,Male,75 to 79,10.20,10.04,10.37,4.32,3.37,5.27,42.34
Decile 4,Male,80 to 84,7.64,7.48,7.80,2.87,1.99,3.75,37.57
Decile 4,Male,85 to 89,5.50,5.33,5.67,1.75,1.04,2.46,31.81
Decile 4,Male,90+,3.93,3.68,4.18,0.93,0.32,1.55,23.76
Decile 5,Female,<1,80.99,80.72,81.26,62.61,61.02,64.20,77.30
Decile 5,Female,1 to 4,80.18,79.93,80.43,61.87,60.28,63.46,77.16
Decile 5,Female,5 to 9,76.21,75.96,76.46,58.35,56.78,59.91,76.56
Decile 5,Female,10 to 14,71.23,70.98,71.48,53.91,52.40,55.43,75.69
Decile 5,Female,15 to 19,66.25,66.00,66.50,49.48,48.02,50.94,74.69
Decile 5,Female,20 to 24,61.32,61.07,61.56,45.11,43.70,46.52,73.57
Decile 5,Female,25 to 29,56.43,56.20,56.67,40.82,39.47,42.17,72.33
Decile 5,Female,30 to 34,51.53,51.29,51.76,36.56,35.25,37.87,70.95
Decile 5,Female,35 to 39,46.65,46.42,46.88,32.39,31.12,33.67,69.43
Decile 5,Female,40 to 44,41.86,41.64,42.09,28.37,27.14,29.60,67.77
Decile 5,Female,45 to 49,37.22,37.01,37.43,24.55,23.36,25.73,65.96
Decile 5,Female,50 to 54,32.66,32.46,32.86,20.90,19.76,22.03,63.98
Decile 5,Female,55 to 59,28.16,27.96,28.35,17.42,16.33,18.50,61.85
Decile 5,Female,60 to 64,23.79,23.61,23.98,14.16,13.11,15.22,59.53
Decile 5,Female,65 to 69,19.63,19.45,19.80,11.18,10.16,12.20,56.95
Decile 5,Female,70 to 74,15.70,15.53,15.86,8.49,7.48,9.50,54.09
Decile 5,Female,75 to 79,12.11,11.95,12.26,6.16,5.14,7.18,50.90
Decile 5,Female,80 to 84,8.95,8.81,9.09,4.24,3.25,5.23,47.41
Decile 5,Female,85 to 89,6.33,6.18,6.47,2.76,1.93,3.59,43.61
Decile 5,Female,90+,4.30,4.12,4.48,1.68,0.92,2.45,39.20
Decile 5,Male,<1,77.23,76.94,77.52,61.79,60.34,63.23,80.00
Decile 5,Male,1 to 4,76.40,76.12,76.68,61.01,59.55,62.46,79.85
Decile 5,Male,5 to 9,72.48,72.20,72.76,57.39,55.96,58.82,79.18
Decile 5,Male,10 to 14,67.50,67.22,67.77,52.78,51.37,54.18,78.19
Decile 5,Male,15 to 19,62.53,62.25,62.80,48.16,46.78,49.53,77.02
Decile 5,Male,20 to 24,57.68,57.42,57.95,43.65,42.30,45.00,75.67
Decile 5,Male,25 to 29,52.86,52.60,53.12,39.18,37.87,40.50,74.12
Decile 5,Male,30 to 34,48.07,47.82,48.33,34.79,33.50,36.08,72.37
Decile 5,Male,35 to 39,43.37,43.12,43.61,30.54,29.30,31.77,70.41
Decile 5,Male,40 to 44,38.71,38.48,38.95,26.43,25.23,27.63,68.27
Decile 5,Male,45 to 49,34.20,33.98,34.42,22.51,21.36,23.66,65.83
Decile 5,Male,50 to 54,29.84,29.63,30.05,18.83,17.73,19.92,63.09
Decile 5,Male,55 to 59,25.50,25.30,25.70,15.33,14.27,16.39,60.13
Decile 5,Male,60 to 64,21.37,21.18,21.55,12.16,11.14,13.18,56.92
Decile 5,Male,65 to 69,17.42,17.25,17.60,9.36,8.36,10.36,53.74
Decile 5,Male,70 to 74,13.81,13.64,13.98,6.91,5.92,7.91,50.05
Decile 5,Male,75 to 79,10.57,10.41,10.73,4.83,3.79,5.87,45.75
Decile 5,Male,80 to 84,7.82,7.66,7.97,3.23,2.29,4.16,41.27
Decile 5,Male,85 to 89,5.55,5.38,5.71,2.06,1.29,2.82,37.06
Decile 5,Male,90+,4.03,3.79,4.27,1.32,0.60,2.04,32.70
Decile 6,Female,<1,81.84,81.57,82.10,64.72,63.25,66.19,79.09
Decile 6,Female,1 to 4,81.03,80.78,81.27,63.95,62.47,65.42,78.92
Decile 6,Female,5 to 9,77.07,76.83,77.31,60.29,58.82,61.75,78.22
Decile 6,Female,10 to 14,72.10,71.86,72.34,55.70,54.25,57.14,77.25
Decile 6,Female,15 to 19,67.11,66.87,67.35,51.11,49.69,52.54,76.17
Decile 6,Female,20 to 24,62.15,61.92,62.39,46.61,45.20,48.02,74.99
Decile 6,Female,25 to 29,57.23,57.00,57.47,42.19,40.85,43.53,73.71
Decile 6,Female,30 to 34,52.35,52.12,52.58,37.86,36.55,39.16,72.31
Decile 6,Female,35 to 39,47.47,47.24,47.69,33.59,32.32,34.86,70.77
Decile 6,Female,40 to 44,42.66,42.45,42.88,29.48,28.25,30.71,69.09
Decile 6,Female,45 to 49,37.93,37.72,38.14,25.51,24.35,26.67,67.26
Decile 6,Female,50 to 54,33.28,33.08,33.48,21.72,20.61,22.83,65.27
Decile 6,Female,55 to 59,28.71,28.52,28.90,18.13,17.04,19.21,63.13
Decile 6,Female,60 to 64,24.30,24.12,24.49,14.77,13.72,15.83,60.78
Decile 6,Female,65 to 69,20.03,19.86,20.20,11.63,10.60,12.66,58.07
Decile 6,Female,70 to 74,16.01,15.85,16.17,8.81,7.79,9.83,55.03
Decile 6,Female,75 to 79,12.22,12.07,12.37,6.31,5.27,7.34,51.62
Decile 6,Female,80 to 84,8.91,8.77,9.05,4.28,3.40,5.15,48.01
Decile 6,Female,85 to 89,6.26,6.12,6.39,2.78,2.05,3.51,44.39
Decile 6,Female,90+,4.01,3.84,4.17,1.63,1.00,2.26,40.67
Decile 6,Male,<1,78.23,77.94,78.52,64.33,63.01,65.64,82.23
Decile 6,Male,1 to 4,77.46,77.19,77.73,63.55,62.23,64.86,82.04
Decile 6,Male,5 to 9,73.48,73.21,73.74,59.69,58.38,61.00,81.24
Decile 6,Male,10 to 14,68.48,68.22,68.75,54.87,53.59,56.16,80.13
Decile 6,Male,15 to 19,63.52,63.26,63.79,50.11,48.84,51.38,78.88
Decile 6,Male,20 to 24,58.63,58.37,58.89,45.44,44.20,46.69,77.51
Decile 6,Male,25 to 29,53.76,53.51,54.02,40.86,39.65,42.08,76.01
Decile 6,Male,30 to 34,48.93,48.68,49.19,36.38,35.19,37.58,74.35
Decile 6,Male,35 to 39,44.21,43.97,44.46,32.07,30.91,33.23,72.53
Decile 6,Male,40 to 44,39.54,39.31,39.78,27.90,26.78,29.01,70.54
Decile 6,Male,45 to 49,35.03,34.82,35.25,23.95,22.91,24.99,68.36
Decile 6,Male,50 to 54,30.54,30.33,30.74,20.13,19.14,21.13,65.94
Decile 6,Male,55 to 59,26.24,26.05,26.44,16.62,15.66,17.57,63.32
Decile 6,Male,60 to 64,22.01,21.83,22.20,13.33,12.40,14.26,60.56
Decile 6,Male,65 to 69,17.99,17.81,18.16,10.37,9.47,11.27,57.66
Decile 6,Male,70 to 74,14.28,14.12,14.45,7.76,6.86,8.65,54.30
Decile 6,Male,75 to 79,10.87,10.71,11.03,5.50,4.58,6.42,50.64
Decile 6,Male,80 to 84,7.93,7.78,8.09,3.69,2.87,4.51,46.53
Decile 6,Male,85 to 89,5.62,5.45,5.78,2.37,1.70,3.05,42.23
Decile 6,Male,90+,3.79,3.57,4.02,1.46,0.85,2.06,38.36
Decile 7,Female,<1,82.71,82.45,82.97,65.66,64.10,67.21,79.38
Decile 7,Female,1 to 4,81.90,81.65,82.14,64.93,63.37,66.49,79.29
Decile 7,Female,5 to 9,77.95,77.71,78.19,61.49,59.96,63.02,78.89
Decile 7,Female,10 to 14,72.98,72.74,73.21,57.13,55.65,58.61,78.28
Decile 7,Female,15 to 19,68.01,67.78,68.24,52.76,51.33,54.19,77.57
Decile 7,Female,20 to 24,63.08,62.85,63.31,48.46,47.08,49.83,76.81
Decile 7,Female,25 to 29,58.19,57.96,58.41,44.20,42.92,45.49,75.97
Decile 7,Female,30 to 34,53.28,53.06,53.50,39.96,38.72,41.20,74.99
Decile 7,Female,35 to 39,48.40,48.18,48.61,35.75,34.55,36.95,73.87
Decile 7,Female,40 to 44,43.53,43.32,43.74,31.60,30.44,32.76,72.60
Decile 7,Female,45 to 49,38.74,38.53,38.94,27.55,26.47,28.64,71.13
Decile 7,Female,50 to 54,34.04,33.84,34.24,23.65,22.61,24.70,69.49
Decile 7,Female,55 to 59,29.36,29.17,29.55,19.85,18.85,20.86,67.62
Decile 7,Female,60 to 64,24.88,24.69,25.06,16.29,15.31,17.27,65.50
Decile 7,Female,65 to 69,20.58,20.40,20.75,12.91,11.96,13.87,62.74
Decile 7,Female,70 to 74,16.48,16.32,16.65,9.81,8.86,10.75,59.50
Decile 7,Female,75 to 79,12.63,12.48,12.79,7.03,6.09,7.98,55.67
Decile 7,Female,80 to 84,9.18,9.03,9.32,4.75,3.93,5.58,51.78
Decile 7,Female,85 to 89,6.32,6.18,6.47,3.04,2.36,3.72,47.99
Decile 7,Female,90+,4.26,4.08,4.43,1.95,1.32,2.58,45.71
Decile 7,Male,<1,79.64,79.36,79.91,66.57,65.12,68.01,83.59
Decile 7,Male,1 to 4,78.77,78.50,79.03,65.72,64.27,67.17,83.43
Decile 7,Male,5 to 9,74.78,74.51,75.04,61.88,60.44,63.32,82.76
Decile 7,Male,10 to 14,69.81,69.54,70.08,57.12,55.70,58.55,81.83
Decile 7,Male,15 to 19,64.86,64.60,65.13,52.41,51.00,53.82,80.80
Decile 7,Male,20 to 24,59.96,59.70,60.22,47.78,46.38,49.17,79.68
Decile 7,Male,25 to 29,55.13,54.87,55.38,43.25,41.89,44.61,78.45
Decile 7,Male,30 to 34,50.34,50.09,50.58,38.82,37.48,40.16,77.12
Decile 7,Male,35 to 39,45.62,45.38,45.86,34.53,33.21,35.85,75.70
Decile 7,Male,40 to 44,40.92,40.69,41.15,30.36,29.09,31.64,74.20
Decile 7,Male,45 to 49,36.29,36.08,36.51,26.38,25.25,27.52,72.69
Decile 7,Male,50 to 54,31.70,31.49,31.90,22.54,21.48,23.60,71.12
Decile 7,Male,55 to 59,27.21,27.01,27.41,18.90,17.87,19.94,69.49
Decile 7,Male,60 to 64,22.89,22.70,23.08,15.50,14.49,16.51,67.71
Decile 7,Male,65 to 69,18.73,18.54,18.91,12.29,11.30,13.29,65.64
Decile 7,Male,70 to 74,14.82,14.64,14.99,9.42,8.42,10.41,63.55
Decile 7,Male,75 to 79,11.28,11.11,11.45,6.92,5.88,7.97,61.39
Decile 7,Male,80 to 84,8.29,8.13,8.46,4.87,3.80,5.94,58.72
Decile 7,Male,85 to 89,5.95,5.77,6.13,3.28,2.37,4.20,55.21
Decile 7,Male,90+,4.19,3.94,4.44,2.09,1.20,2.98,49.92
Decile 8,Female,<1,83.44,83.18,83.69,67.86,66.28,69.45,81.34
Decile 8,Female,1 to 4,82.67,82.43,82.90,67.13,65.54,68.72,81.20
Decile 8,Female,5 to 9,78.70,78.46,78.93,63.46,61.89,65.02,80.63
Decile 8,Female,10 to 14,73.75,73.52,73.98,58.88,57.36,60.41,79.85
Decile 8,Female,15 to 19,68.78,68.55,69.00,54.31,52.83,55.80,78.97
Decile 8,Female,20 to 24,63.82,63.60,64.05,49.83,48.40,51.26,78.07
Decile 8,Female,25 to 29,58.87,58.65,59.09,45.38,44.05,46.71,77.09
Decile 8,Female,30 to 34,53.96,53.74,54.17,41.01,39.74,42.28,76.01
Decile 8,Female,35 to 39,49.04,48.83,49.26,36.66,35.44,37.88,74.75
Decile 8,Female,40 to 44,44.17,43.96,44.38,32.39,31.21,33.58,73.33
Decile 8,Female,45 to 49,39.37,39.17,39.58,28.25,27.10,29.39,71.75
Decile 8,Female,50 to 54,34.61,34.41,34.81,24.20,23.09,25.31,69.91
Decile 8,Female,55 to 59,29.95,29.76,30.14,20.33,19.24,21.41,67.86
Decile 8,Female,60 to 64,25.36,25.17,25.55,16.63,15.59,17.68,65.60
Decile 8,Female,65 to 69,21.04,20.86,21.22,13.18,12.15,14.21,62.63
Decile 8,Female,70 to 74,16.89,16.72,17.06,9.95,8.93,10.97,58.93
Decile 8,Female,75 to 79,12.94,12.78,13.11,7.08,6.06,8.10,54.69
Decile 8,Female,80 to 84,9.50,9.34,9.65,4.74,3.84,5.64,49.89
Decile 8,Female,85 to 89,6.62,6.47,6.77,3.06,2.31,3.81,46.19
Decile 8,Female,90+,4.44,4.25,4.63,1.91,1.22,2.61,43.08
Decile 8,Male,<1,80.29,80.03,80.56,67.98,66.72,69.24,84.66
Decile 8,Male,1 to 4,79.47,79.22,79.72,67.19,65.93,68.45,84.55
Decile 8,Male,5 to 9,75.50,75.25,75.75,63.47,62.23,64.72,84.07
Decile 8,Male,10 to 14,70.51,70.26,70.76,58.75,57.54,59.97,83.33
Decile 8,Male,15 to 19,65.54,65.29,65.78,54.03,52.83,55.22,82.44
Decile 8,Male,20 to 24,60.66,60.42,60.90,49.38,48.21,50.55,81.41
Decile 8,Male,25 to 29,55.77,55.54,56.01,44.75,43.59,45.90,80.23
Decile 8,Male,30 to 34,50.98,50.75,51.21,40.20,39.10,41.31,78.86
Decile 8,Male,35 to 39,46.14,45.91,46.36,35.59,34.52,36.66,77.14
Decile 8,Male,40 to 44,41.34,41.13,41.56,31.05,30.01,32.08,75.10
Decile 8,Male,45 to 49,36.59,36.38,36.80,26.59,25.58,27.59,72.65
Decile 8,Male,50 to 54,31.94,31.74,32.14,22.27,21.29,23.24,69.71
Decile 8,Male,55 to 59,27.38,27.18,27.57,18.19,17.25,19.14,66.46
