"Table 3: Healthy Life Expectancy (HLE1) estimates by health board in Scotland, 2018-2020",,,,,,,,,,
,,,,,,,,,,
NHS Board,Area code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%)
Ayrshire and Arran,S08000015,Male,25 to 29,51.38,51.04,51.73,36.71,35.46,37.96,71.45
Ayrshire and Arran,S08000015,Male,30 to 34,46.87,46.55,47.20,32.71,31.52,33.90,69.79
Ayrshire and Arran,S08000015,Male,35 to 39,42.19,41.88,42.51,28.70,27.59,29.81,68.02
Ayrshire and Arran,S08000015,Male,40 to 44,37.83,37.54,38.11,25.01,23.97,26.04,66.11
Ayrshire and Arran,S08000015,Male,45 to 49,33.55,33.29,33.81,21.45,20.49,22.42,63.95
Ayrshire and Arran,S08000015,Male,50 to 54,29.35,29.11,29.59,18.07,17.14,18.99,61.57
Ayrshire and Arran,S08000015,Male,55 to 59,25.06,24.84,25.29,14.80,13.92,15.69,59.06
Ayrshire and Arran,S08000015,Male,60 to 64,20.95,20.74,21.16,11.81,10.96,12.66,56.37
Ayrshire and Arran,S08000015,Male,65 to 69,17.07,16.87,17.27,9.17,8.37,9.97,53.71
Ayrshire and Arran,S08000015,Male,70 to 74,13.51,13.33,13.70,6.83,6.07,7.60,50.55
Ayrshire and Arran,S08000015,Male,75 to 79,10.28,10.11,10.46,4.85,4.05,5.65,47.17
Ayrshire and Arran,S08000015,Male,80 to 84,7.60,7.43,7.77,3.32,2.59,4.05,43.71
Ayrshire and Arran,S08000015,Male,85 to 89,5.40,5.22,5.59,2.15,1.55,2.75,39.73
Ayrshire and Arran,S08000015,Male,90+,3.74,3.48,4.00,1.33,0.79,1.87,35.59
Borders,S08000016,Female,<1,82.10,81.52,82.69,65.30,62.79,67.81,79.54
Borders,S08000016,Female,1 to 4,81.29,80.74,81.84,64.52,62.00,67.03,79.36
Borders,S08000016,Female,5 to 9,77.29,76.74,77.84,60.78,58.30,63.26,78.64
Borders,S08000016,Female,10 to 14,72.29,71.74,72.84,56.18,53.76,58.60,77.71
Borders,S08000016,Female,15 to 19,67.29,66.74,67.84,51.63,49.28,53.98,76.73
Borders,S08000016,Female,20 to 24,62.33,61.78,62.87,47.23,44.97,49.49,75.78
Borders,S08000016,Female,25 to 29,57.44,56.91,57.97,42.99,40.84,45.15,74.85
Borders,S08000016,Female,30 to 34,52.72,52.22,53.22,38.99,36.94,41.04,73.96
Borders,S08000016,Female,35 to 39,47.96,47.49,48.43,35.04,33.08,36.99,73.05
Borders,S08000016,Female,40 to 44,43.21,42.76,43.65,31.13,29.29,32.97,72.04
Borders,S08000016,Female,45 to 49,38.47,38.04,38.90,27.27,25.63,28.91,70.89
Borders,S08000016,Female,50 to 54,33.77,33.36,34.18,23.53,21.95,25.10,69.67
Borders,S08000016,Female,55 to 59,29.29,28.90,29.68,20.02,18.51,21.52,68.35
Borders,S08000016,Female,60 to 64,24.96,24.59,25.32,16.68,15.22,18.15,66.85
Borders,S08000016,Female,65 to 69,20.61,20.27,20.96,13.38,11.96,14.80,64.91
Borders,S08000016,Female,70 to 74,16.49,16.17,16.82,10.30,8.94,11.67,62.46
Borders,S08000016,Female,75 to 79,12.75,12.45,13.06,7.56,6.15,8.97,59.29
Borders,S08000016,Female,80 to 84,9.33,9.05,9.62,5.26,4.01,6.51,56.31
Borders,S08000016,Female,85 to 89,6.32,6.05,6.59,3.40,2.37,4.42,53.74
Borders,S08000016,Female,90+,3.85,3.53,4.17,2.05,1.20,2.90,53.25
Borders,S08000016,Male,<1,78.63,77.95,79.31,64.12,62.04,66.19,81.54
Borders,S08000016,Male,1 to 4,77.84,77.18,78.49,63.30,61.22,65.38,81.32
Borders,S08000016,Male,5 to 9,73.88,73.24,74.53,59.47,57.40,61.54,80.50
Borders,S08000016,Male,10 to 14,68.92,68.28,69.56,54.75,52.70,56.79,79.44
Borders,S08000016,Male,15 to 19,63.95,63.32,64.59,50.01,47.98,52.03,78.19
Borders,S08000016,Male,20 to 24,59.13,58.50,59.75,45.53,43.53,47.52,77.00
Borders,S08000016,Male,25 to 29,54.43,53.83,55.02,41.21,39.29,43.12,75.71
Borders,S08000016,Male,30 to 34,49.80,49.25,50.36,37.04,35.18,38.89,74.37
Borders,S08000016,Male,35 to 39,45.27,44.76,45.78,33.17,31.42,34.91,73.27
Borders,S08000016,Male,40 to 44,40.77,40.31,41.23,29.31,27.64,30.98,71.88
Borders,S08000016,Male,45 to 49,36.11,35.68,36.54,25.19,23.63,26.76,69.77
Borders,S08000016,Male,50 to 54,31.55,31.14,31.95,21.29,19.80,22.79,67.50
Borders,S08000016,Male,55 to 59,27.05,26.66,27.44,17.57,16.14,19.00,64.95
Borders,S08000016,Male,60 to 64,22.73,22.36,23.10,14.14,12.77,15.51,62.22
Borders,S08000016,Male,65 to 69,18.61,18.27,18.96,11.12,9.84,12.41,59.77
Borders,S08000016,Male,70 to 74,14.75,14.43,15.07,8.01,6.76,9.25,54.27
Borders,S08000016,Male,75 to 79,11.18,10.87,11.49,5.49,4.22,6.77,49.13
Borders,S08000016,Male,80 to 84,8.06,7.76,8.35,3.48,2.39,4.58,43.25
Borders,S08000016,Male,85 to 89,5.59,5.30,5.89,2.01,1.14,2.89,35.99
Borders,S08000016,Male,90+,3.32,2.94,3.69,1.26,0.56,1.96,38.14
Dumfries and Galloway,S08000017,Female,<1,81.47,80.95,81.98,61.41,59.02,63.80,75.38
Dumfries and Galloway,S08000017,Female,1 to 4,80.65,80.17,81.13,60.66,58.27,63.05,75.21
Dumfries and Galloway,S08000017,Female,5 to 9,76.69,76.22,77.17,57.12,54.78,59.47,74.48
Dumfries and Galloway,S08000017,Female,10 to 14,71.73,71.25,72.20,52.72,50.44,54.99,73.50
Dumfries and Galloway,S08000017,Female,15 to 19,66.73,66.25,67.20,48.32,46.13,50.51,72.41
Dumfries and Galloway,S08000017,Female,20 to 24,61.79,61.32,62.25,44.04,41.94,46.14,71.27
Dumfries and Galloway,S08000017,Female,25 to 29,56.90,56.45,57.35,39.88,37.89,41.86,70.08
Dumfries and Galloway,S08000017,Female,30 to 34,52.00,51.55,52.44,35.76,33.88,37.63,68.76
Dumfries and Galloway,S08000017,Female,35 to 39,47.26,46.84,47.68,31.83,30.03,33.63,67.36
Dumfries and Galloway,S08000017,Female,40 to 44,42.52,42.13,42.92,27.99,26.29,29.69,65.83
Dumfries and Galloway,S08000017,Female,45 to 49,37.86,37.49,38.24,24.30,22.70,25.91,64.18
Dumfries and Galloway,S08000017,Female,50 to 54,33.24,32.89,33.59,20.75,19.27,22.24,62.44
Dumfries and Galloway,S08000017,Female,55 to 59,28.71,28.37,29.04,17.38,15.99,18.77,60.53
Dumfries and Galloway,S08000017,Female,60 to 64,24.34,24.03,24.66,14.25,12.90,15.59,58.52
Dumfries and Galloway,S08000017,Female,65 to 69,20.12,19.82,20.41,11.31,10.03,12.59,56.21
Dumfries and Galloway,S08000017,Female,70 to 74,16.23,15.96,16.50,8.70,7.47,9.92,53.60
Dumfries and Galloway,S08000017,Female,75 to 79,12.37,12.12,12.63,6.27,5.08,7.46,50.68
Dumfries and Galloway,S08000017,Female,80 to 84,8.92,8.69,9.16,4.25,3.15,5.36,47.64
Dumfries and Galloway,S08000017,Female,85 to 89,6.11,5.88,6.34,2.73,1.83,3.63,44.64
Dumfries and Galloway,S08000017,Female,90+,3.94,3.66,4.22,1.65,0.87,2.43,41.83
Dumfries and Galloway,S08000017,Male,<1,78.03,77.43,78.64,63.11,61.08,65.14,80.88
Dumfries and Galloway,S08000017,Male,1 to 4,77.29,76.72,77.87,62.40,60.36,64.44,80.73
Dumfries and Galloway,S08000017,Male,5 to 9,73.33,72.76,73.90,58.73,56.72,60.73,80.08
Dumfries and Galloway,S08000017,Male,10 to 14,68.33,67.76,68.90,54.07,52.11,56.03,79.13
Dumfries and Galloway,S08000017,Male,15 to 19,63.33,62.76,63.90,49.42,47.50,51.33,78.03
Dumfries and Galloway,S08000017,Male,20 to 24,58.55,58.00,59.10,44.95,43.08,46.82,76.77
Dumfries and Galloway,S08000017,Male,25 to 29,53.64,53.10,54.19,40.42,38.62,42.23,75.36
Dumfries and Galloway,S08000017,Male,30 to 34,48.92,48.40,49.44,36.08,34.38,37.79,73.76
Dumfries and Galloway,S08000017,Male,35 to 39,44.43,43.95,44.92,31.99,30.33,33.64,71.99
Dumfries and Galloway,S08000017,Male,40 to 44,39.94,39.49,40.39,27.98,26.38,29.58,70.06
Dumfries and Galloway,S08000017,Male,45 to 49,35.65,35.25,36.04,24.23,22.77,25.70,67.98
Dumfries and Galloway,S08000017,Male,50 to 54,31.18,30.81,31.56,20.53,19.14,21.93,65.84
Dumfries and Galloway,S08000017,Male,55 to 59,26.87,26.52,27.22,17.05,15.70,18.40,63.46
Dumfries and Galloway,S08000017,Male,60 to 64,22.63,22.31,22.96,13.75,12.47,15.04,60.77
Dumfries and Galloway,S08000017,Male,65 to 69,18.52,18.21,18.83,10.67,9.48,11.87,57.63
Dumfries and Galloway,S08000017,Male,70 to 74,14.75,14.46,15.04,8.02,6.86,9.17,54.36
Dumfries and Galloway,S08000017,Male,75 to 79,11.20,10.92,11.48,5.70,4.57,6.82,50.86
Dumfries and Galloway,S08000017,Male,80 to 84,8.22,7.95,8.49,3.84,2.84,4.83,46.69
Dumfries and Galloway,S08000017,Male,85 to 89,5.82,5.53,6.12,2.42,1.60,3.24,41.52
Dumfries and Galloway,S08000017,Male,90+,4.15,3.72,4.57,1.43,0.67,2.20,34.57
Fife,S08000029,Female,<1,81.41,81.08,81.75,58.98,56.40,61.55,72.44
Fife,S08000029,Female,1 to 4,80.71,80.40,81.02,58.35,55.77,60.93,72.30
Fife,S08000029,Female,5 to 9,76.78,76.48,77.08,55.01,52.50,57.52,71.64
Fife,S08000029,Female,10 to 14,71.79,71.49,72.10,50.73,48.33,53.12,70.66
Fife,S08000029,Female,15 to 19,66.81,66.51,67.11,46.37,44.08,48.67,69.41
Fife,S08000029,Female,20 to 24,61.85,61.55,62.15,42.10,39.92,44.28,68.07
Fife,S08000029,Female,25 to 29,56.93,56.64,57.23,37.92,35.81,40.04,66.61
Fife,S08000029,Female,30 to 34,52.01,51.72,52.30,33.79,31.76,35.83,64.97
Fife,S08000029,Female,35 to 39,47.17,46.89,47.46,29.68,27.70,31.67,62.92
Fife,S08000029,Female,40 to 44,42.50,42.23,42.77,25.79,23.87,27.71,60.68
Fife,S08000029,Female,45 to 49,37.75,37.49,38.01,21.97,20.12,23.83,58.21
Fife,S08000029,Female,50 to 54,33.20,32.95,33.45,18.38,16.62,20.15,55.37
Fife,S08000029,Female,55 to 59,28.60,28.36,28.83,15.03,13.32,16.74,52.57
Fife,S08000029,Female,60 to 64,24.26,24.03,24.49,11.99,10.31,13.67,49.42
Fife,S08000029,Female,65 to 69,20.04,19.82,20.26,9.08,7.45,10.71,45.31
Fife,S08000029,Female,70 to 74,16.17,15.97,16.38,6.49,4.83,8.15,40.14
Fife,S08000029,Female,75 to 79,12.46,12.26,12.65,4.22,2.51,5.93,33.88
Fife,S08000029,Female,80 to 84,9.16,8.98,9.34,2.51,0.73,4.29,27.41
Fife,S08000029,Female,85 to 89,6.52,6.34,6.71,1.46,0.06,2.86,22.38
Fife,S08000029,Female,90+,4.42,4.20,4.65,0.89,-0.37,2.14,20.07
Fife,S08000029,Male,<1,77.15,76.77,77.54,57.84,55.43,60.25,74.97
Fife,S08000029,Male,1 to 4,76.52,76.16,76.88,57.23,54.81,59.65,74.79
Fife,S08000029,Male,5 to 9,72.57,72.22,72.93,53.72,51.37,56.06,74.02
Fife,S08000029,Male,10 to 14,67.59,67.24,67.95,49.26,47.03,51.50,72.88
Fife,S08000029,Male,15 to 19,62.67,62.32,63.02,44.84,42.72,46.96,71.56
Fife,S08000029,Male,20 to 24,57.82,57.48,58.16,40.49,38.49,42.48,70.02
Fife,S08000029,Male,25 to 29,53.02,52.69,53.36,36.21,34.29,38.13,68.29
Fife,S08000029,Male,30 to 34,48.36,48.04,48.68,32.10,30.25,33.94,66.37
Fife,S08000029,Male,35 to 39,43.68,43.37,43.99,28.07,26.31,29.83,64.26
Fife,S08000029,Male,40 to 44,39.21,38.92,39.50,24.27,22.59,25.96,61.90
Fife,S08000029,Male,45 to 49,34.70,34.42,34.97,20.52,18.90,22.14,59.14
Fife,S08000029,Male,50 to 54,30.39,30.14,30.65,17.03,15.51,18.55,56.03
Fife,S08000029,Male,55 to 59,26.05,25.81,26.30,13.74,12.29,15.20,52.74
Fife,S08000029,Male,60 to 64,21.84,21.60,22.07,10.81,9.42,12.20,49.51
Fife,S08000029,Male,65 to 69,17.88,17.66,18.10,8.21,6.88,9.55,45.93
Fife,S08000029,Male,70 to 74,14.33,14.12,14.54,6.00,4.82,7.19,41.88
Fife,S08000029,Male,75 to 79,10.91,10.71,11.12,4.04,2.84,5.24,37.03
Fife,S08000029,Male,80 to 84,8.16,7.96,8.36,2.57,1.46,3.68,31.50
Fife,S08000029,Male,85 to 89,5.85,5.63,6.07,1.61,0.71,2.50,27.50
Fife,S08000029,Male,90+,4.21,3.90,4.51,1.03,0.19,1.87,24.52
Forth Valley,S08000019,Female,<1,80.86,80.49,81.22,61.83,60.21,63.46,76.48
Forth Valley,S08000019,Female,1 to 4,80.09,79.74,80.43,61.09,59.46,62.71,76.28
Forth Valley,S08000019,Female,5 to 9,76.16,75.82,76.49,57.47,55.87,59.07,75.46
Forth Valley,S08000019,Female,10 to 14,71.16,70.82,71.49,52.90,51.35,54.46,74.35
Forth Valley,S08000019,Female,15 to 19,66.17,65.84,66.50,48.38,46.87,49.89,73.11
Forth Valley,S08000019,Female,20 to 24,61.24,60.91,61.56,43.97,42.52,45.43,71.81
Forth Valley,S08000019,Female,25 to 29,56.34,56.02,56.66,39.69,38.29,41.09,70.45
Forth Valley,S08000019,Female,30 to 34,51.45,51.13,51.77,35.51,34.15,36.87,69.01
Forth Valley,S08000019,Female,35 to 39,46.60,46.29,46.91,31.41,30.09,32.72,67.40
Forth Valley,S08000019,Female,40 to 44,41.90,41.60,42.20,27.49,26.23,28.76,65.62
Forth Valley,S08000019,Female,45 to 49,37.23,36.95,37.52,23.72,22.50,24.93,63.70
Forth Valley,S08000019,Female,50 to 54,32.53,32.25,32.81,20.05,18.87,21.23,61.64
Forth Valley,S08000019,Female,55 to 59,28.09,27.83,28.36,16.70,15.56,17.85,59.45
Forth Valley,S08000019,Female,60 to 64,23.76,23.51,24.02,13.59,12.47,14.71,57.18
Forth Valley,S08000019,Female,65 to 69,19.62,19.38,19.86,10.68,9.59,11.78,54.45
Forth Valley,S08000019,Female,70 to 74,15.64,15.41,15.86,8.01,6.94,9.09,51.24
Forth Valley,S08000019,Female,75 to 79,11.99,11.77,12.20,5.72,4.63,6.81,47.71
Forth Valley,S08000019,Female,80 to 84,8.77,8.56,8.97,3.89,2.87,4.91,44.39
Forth Valley,S08000019,Female,85 to 89,6.37,6.16,6.58,2.62,1.75,3.49,41.09
Forth Valley,S08000019,Female,90+,4.37,4.11,4.64,1.74,0.92,2.55,39.69
Forth Valley,S08000019,Male,<1,76.79,76.39,77.19,61.66,60.17,63.16,80.30
Forth Valley,S08000019,Male,1 to 4,75.95,75.57,76.33,60.88,59.38,62.37,80.15
Forth Valley,S08000019,Male,5 to 9,71.98,71.60,72.36,57.22,55.74,58.70,79.49
Forth Valley,S08000019,Male,10 to 14,67.00,66.62,67.38,52.65,51.20,54.10,78.58
Forth Valley,S08000019,Male,15 to 19,62.02,61.64,62.40,48.10,46.68,49.52,77.56
Forth Valley,S08000019,Male,20 to 24,57.09,56.72,57.46,43.63,42.25,45.02,76.42
Forth Valley,S08000019,Male,25 to 29,52.35,51.98,52.71,39.36,38.07,40.66,75.20
Forth Valley,S08000019,Male,30 to 34,47.71,47.36,48.06,35.24,33.99,36.49,73.86
Forth Valley,S08000019,Male,35 to 39,43.07,42.73,43.40,31.18,29.95,32.40,72.40
Forth Valley,S08000019,Male,40 to 44,38.49,38.17,38.81,27.25,26.05,28.44,70.80
Forth Valley,S08000019,Male,45 to 49,34.07,33.77,34.37,23.50,22.34,24.67,68.98
Forth Valley,S08000019,Male,50 to 54,29.76,29.48,30.04,19.95,18.83,21.07,67.04
Forth Valley,S08000019,Male,55 to 59,25.44,25.17,25.71,16.52,15.44,17.60,64.94
Forth Valley,S08000019,Male,60 to 64,21.30,21.04,21.55,13.36,12.30,14.41,62.72
Forth Valley,S08000019,Male,65 to 69,17.42,17.18,17.66,10.53,9.50,11.55,60.43
Forth Valley,S08000019,Male,70 to 74,13.79,13.56,14.02,7.98,6.96,8.99,57.85
Forth Valley,S08000019,Male,75 to 79,10.44,10.22,10.66,5.76,4.70,6.82,55.15
Forth Valley,S08000019,Male,80 to 84,7.78,7.56,7.99,4.05,2.85,5.26,52.11
Forth Valley,S08000019,Male,85 to 89,5.63,5.39,5.87,2.76,1.74,3.78,49.05
Forth Valley,S08000019,Male,90+,4.08,3.72,4.43,1.89,0.89,2.89,46.40
Grampian,S08000020,Female,<1,81.95,81.68,82.21,63.46,61.83,65.09,77.44
Grampian,S08000020,Female,1 to 4,81.15,80.90,81.40,62.71,61.08,64.35,77.28
Grampian,S08000020,Female,5 to 9,77.20,76.95,77.45,59.14,57.54,60.75,76.61
Grampian,S08000020,Female,10 to 14,72.23,71.99,72.48,54.66,53.10,56.22,75.67
Grampian,S08000020,Female,15 to 19,67.25,67.01,67.50,50.22,48.71,51.73,74.67
Grampian,S08000020,Female,20 to 24,62.28,62.03,62.52,45.89,44.44,47.34,73.69
Grampian,S08000020,Female,25 to 29,57.38,57.14,57.62,41.68,40.34,43.02,72.64
Grampian,S08000020,Female,30 to 34,52.50,52.26,52.73,37.48,36.18,38.79,71.40
Grampian,S08000020,Female,35 to 39,47.66,47.43,47.89,33.37,32.09,34.65,70.02
Grampian,S08000020,Female,40 to 44,42.83,42.60,43.05,29.29,28.06,30.53,68.40
Grampian,S08000020,Female,45 to 49,38.15,37.93,38.37,25.41,24.22,26.61,66.62
Grampian,S08000020,Female,50 to 54,33.53,33.32,33.74,21.63,20.47,22.79,64.51
Grampian,S08000020,Female,55 to 59,28.99,28.79,29.19,17.99,16.87,19.12,62.08
Grampian,S08000020,Female,60 to 64,24.57,24.38,24.76,14.56,13.48,15.64,59.26
Grampian,S08000020,Female,65 to 69,20.36,20.17,20.54,11.29,10.23,12.36,55.48
Grampian,S08000020,Female,70 to 74,16.36,16.19,16.53,8.30,7.23,9.36,50.71
Grampian,S08000020,Female,75 to 79,12.58,12.42,12.74,5.66,4.57,6.76,45.00
Grampian,S08000020,Female,80 to 84,9.27,9.12,9.42,3.64,2.67,4.62,39.32
Grampian,S08000020,Female,85 to 89,6.51,6.35,6.66,2.31,1.51,3.11,35.52
Grampian,S08000020,Female,90+,4.44,4.25,4.63,1.66,0.90,2.43,37.50
Grampian,S08000020,Male,<1,78.29,78.01,78.57,63.02,61.48,64.56,80.50
Grampian,S08000020,Male,1 to 4,77.52,77.26,77.79,62.25,60.71,63.80,80.30
Grampian,S08000020,Male,5 to 9,73.56,73.29,73.82,58.48,56.96,60.01,79.51
Grampian,S08000020,Male,10 to 14,68.58,68.32,68.84,53.78,52.29,55.28,78.42
Grampian,S08000020,Male,15 to 19,63.62,63.36,63.88,49.14,47.69,50.60,77.25
Grampian,S08000020,Male,20 to 24,58.75,58.50,59.01,44.65,43.24,46.06,75.99
Grampian,S08000020,Male,25 to 29,53.87,53.62,54.12,40.21,38.86,41.55,74.64
Grampian,S08000020,Male,30 to 34,49.09,48.85,49.34,35.91,34.61,37.21,73.15
Grampian,S08000020,Male,35 to 39,44.39,44.15,44.62,31.75,30.47,33.03,71.53
Grampian,S08000020,Male,40 to 44,39.68,39.45,39.91,27.68,26.46,28.90,69.76
Grampian,S08000020,Male,45 to 49,35.11,34.89,35.33,23.78,22.67,24.90,67.73
Grampian,S08000020,Male,50 to 54,30.62,30.41,30.83,20.03,18.96,21.11,65.42
Grampian,S08000020,Male,55 to 59,26.24,26.04,26.44,16.50,15.47,17.52,62.87
Grampian,S08000020,Male,60 to 64,22.02,21.83,22.21,13.24,12.24,14.25,60.15
Grampian,S08000020,Male,65 to 69,18.05,17.87,18.24,10.37,9.41,11.33,57.43
Grampian,S08000020,Male,70 to 74,14.36,14.19,14.54,7.77,6.81,8.74,54.12
Grampian,S08000020,Male,75 to 79,10.90,10.73,11.06,5.45,4.46,6.45,50.04
Grampian,S08000020,Male,80 to 84,7.97,7.81,8.14,3.70,2.78,4.61,46.35
Grampian,S08000020,Male,85 to 89,5.67,5.50,5.84,2.42,1.66,3.18,42.78
Grampian,S08000020,Male,90+,4.03,3.79,4.27,1.69,0.97,2.42,42.03
Greater Glasgow and Clyde,S08000031,Female,<1,79.70,79.51,79.89,60.28,59.01,61.55,75.63
Greater Glasgow and Clyde,S08000031,Female,1 to 4,78.94,78.76,79.12,59.55,58.28,60.82,75.44
Greater Glasgow and Clyde,S08000031,Female,5 to 9,74.98,74.80,75.16,55.96,54.71,57.21,74.64
Greater Glasgow and Clyde,S08000031,Female,10 to 14,70.01,69.83,70.19,51.50,50.28,52.72,73.56
Greater Glasgow and Clyde,S08000031,Female,15 to 19,65.05,64.87,65.22,47.09,45.91,48.27,72.39
Greater Glasgow and Clyde,S08000031,Female,20 to 24,60.13,59.96,60.30,42.78,41.63,43.92,71.14
Greater Glasgow and Clyde,S08000031,Female,25 to 29,55.23,55.06,55.40,38.55,37.43,39.66,69.79
Greater Glasgow and Clyde,S08000031,Female,30 to 34,50.33,50.16,50.50,34.40,33.32,35.47,68.35
Greater Glasgow and Clyde,S08000031,Female,35 to 39,45.47,45.30,45.63,30.38,29.34,31.41,66.81
Greater Glasgow and Clyde,S08000031,Female,40 to 44,40.74,40.58,40.90,26.56,25.57,27.56,65.21
Greater Glasgow and Clyde,S08000031,Female,45 to 49,36.15,36.00,36.30,22.96,22.03,23.90,63.52
Greater Glasgow and Clyde,S08000031,Female,50 to 54,31.66,31.51,31.80,19.54,18.65,20.44,61.73
Greater Glasgow and Clyde,S08000031,Female,55 to 59,27.24,27.10,27.38,16.31,15.46,17.17,59.90
Greater Glasgow and Clyde,S08000031,Female,60 to 64,22.95,22.81,23.08,13.29,12.47,14.11,57.93
Greater Glasgow and Clyde,S08000031,Female,65 to 69,18.90,18.77,19.03,10.52,9.74,11.31,55.67
Greater Glasgow and Clyde,S08000031,Female,70 to 74,15.16,15.04,15.28,8.07,7.30,8.84,53.22
Greater Glasgow and Clyde,S08000031,Female,75 to 79,11.75,11.63,11.86,5.95,5.18,6.72,50.65
Greater Glasgow and Clyde,S08000031,Female,80 to 84,8.77,8.67,8.87,4.21,3.50,4.93,48.06
Greater Glasgow and Clyde,S08000031,Female,85 to 89,6.32,6.21,6.42,2.88,2.27,3.49,45.60
Greater Glasgow and Clyde,S08000031,Female,90+,4.37,4.24,4.50,1.89,1.32,2.46,43.25
Greater Glasgow and Clyde,S08000031,Male,<1,74.94,74.73,75.15,58.93,57.84,60.02,78.64
Greater Glasgow and Clyde,S08000031,Male,1 to 4,74.21,74.01,74.41,58.16,57.07,59.26,78.38
Greater Glasgow and Clyde,S08000031,Male,5 to 9,70.25,70.05,70.44,54.30,53.21,55.39,77.30
Greater Glasgow and Clyde,S08000031,Male,10 to 14,65.27,65.07,65.46,49.51,48.43,50.59,75.85
Greater Glasgow and Clyde,S08000031,Male,15 to 19,60.32,60.13,60.51,44.81,43.74,45.87,74.28
Greater Glasgow and Clyde,S08000031,Male,20 to 24,55.46,55.27,55.65,40.25,39.20,41.30,72.57
Greater Glasgow and Clyde,S08000031,Male,25 to 29,50.67,50.49,50.86,35.84,34.80,36.88,70.72
Greater Glasgow and Clyde,S08000031,Male,30 to 34,45.89,45.71,46.08,31.54,30.52,32.57,68.74
Greater Glasgow and Clyde,S08000031,Male,35 to 39,41.20,41.02,41.38,27.44,26.45,28.43,66.61
Greater Glasgow and Clyde,S08000031,Male,40 to 44,36.61,36.44,36.79,23.57,22.62,24.51,64.36
Greater Glasgow and Clyde,S08000031,Male,45 to 49,32.33,32.17,32.49,20.05,19.15,20.94,62.01
Greater Glasgow and Clyde,S08000031,Male,50 to 54,28.19,28.03,28.34,16.76,15.91,17.62,59.47
Greater Glasgow and Clyde,S08000031,Male,55 to 59,24.12,23.97,24.26,13.69,12.90,14.49,56.78
Greater Glasgow and Clyde,S08000031,Male,60 to 64,20.15,20.01,20.29,10.87,10.10,11.64,53.95
