"Table 5: Healthy Life Expectancy (HLE1) estimates by SIMD quintile in Scotland, 2018-2020",,,,,,,,,
,,,,,,,,,
SIMD quintile,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%)
Quintile 1 (most deprived),Male,35 to 39,37.17,36.97,37.37,20.26,19.20,21.32,54.51
Quintile 1 (most deprived),Male,40 to 44,32.99,32.80,33.18,17.11,16.09,18.12,51.86
Quintile 1 (most deprived),Male,45 to 49,29.12,28.95,29.29,14.30,13.32,15.27,49.09
Quintile 1 (most deprived),Male,50 to 54,25.47,25.31,25.63,11.75,10.82,12.68,46.13
Quintile 1 (most deprived),Male,55 to 59,21.75,21.60,21.90,9.41,8.52,10.30,43.26
Quintile 1 (most deprived),Male,60 to 64,18.13,17.99,18.27,7.42,6.56,8.28,40.92
Quintile 1 (most deprived),Male,65 to 69,14.81,14.68,14.95,5.82,4.96,6.68,39.30
Quintile 1 (most deprived),Male,70 to 74,11.82,11.70,11.95,4.42,3.54,5.30,37.40
Quintile 1 (most deprived),Male,75 to 79,9.14,9.01,9.26,3.22,2.24,4.20,35.21
Quintile 1 (most deprived),Male,80 to 84,7.08,6.95,7.20,2.39,1.39,3.39,33.74
Quintile 1 (most deprived),Male,85 to 89,5.52,5.37,5.67,1.81,0.93,2.70,32.86
Quintile 1 (most deprived),Male,90+,4.57,4.33,4.82,1.56,0.55,2.56,34.08
Quintile 2,Female,<1,79.51,79.31,79.71,56.60,55.37,57.83,71.19
Quintile 2,Female,1 to 4,78.79,78.60,78.97,55.92,54.69,57.15,70.98
Quintile 2,Female,5 to 9,74.84,74.66,75.03,52.47,51.26,53.68,70.10
Quintile 2,Female,10 to 14,69.86,69.67,70.04,48.13,46.95,49.30,68.89
Quintile 2,Female,15 to 19,64.89,64.71,65.07,43.83,42.70,44.96,67.54
Quintile 2,Female,20 to 24,59.94,59.76,60.12,39.61,38.52,40.70,66.09
Quintile 2,Female,25 to 29,55.03,54.85,55.21,35.50,34.45,36.55,64.51
Quintile 2,Female,30 to 34,50.12,49.94,50.29,31.46,30.46,32.46,62.77
Quintile 2,Female,35 to 39,45.29,45.12,45.47,27.57,26.61,28.53,60.86
Quintile 2,Female,40 to 44,40.61,40.44,40.77,23.89,22.98,24.81,58.84
Quintile 2,Female,45 to 49,36.04,35.88,36.19,20.43,19.56,21.30,56.69
Quintile 2,Female,50 to 54,31.51,31.36,31.66,17.14,16.30,17.97,54.38
Quintile 2,Female,55 to 59,27.12,26.98,27.26,14.09,13.30,14.88,51.96
Quintile 2,Female,60 to 64,22.86,22.72,22.99,11.31,10.56,12.07,49.50
Quintile 2,Female,65 to 69,18.81,18.68,18.94,8.77,8.05,9.49,46.64
Quintile 2,Female,70 to 74,15.11,15.00,15.23,6.58,5.86,7.29,43.51
Quintile 2,Female,75 to 79,11.70,11.59,11.81,4.69,3.97,5.41,40.09
Quintile 2,Female,80 to 84,8.76,8.66,8.86,3.22,2.58,3.85,36.72
Quintile 2,Female,85 to 89,6.26,6.16,6.37,2.10,1.57,2.62,33.46
Quintile 2,Female,90+,4.35,4.22,4.49,1.33,0.84,1.82,30.45
Quintile 2,Male,<1,74.58,74.36,74.80,55.97,54.77,57.18,75.05
Quintile 2,Male,1 to 4,73.96,73.75,74.17,55.32,54.12,56.53,74.80
Quintile 2,Male,5 to 9,70.00,69.79,70.21,51.62,50.44,52.81,73.75
Quintile 2,Male,10 to 14,65.02,64.81,65.23,47.04,45.88,48.20,72.35
Quintile 2,Male,15 to 19,60.06,59.85,60.27,42.55,41.43,43.66,70.84
Quintile 2,Male,20 to 24,55.28,55.08,55.48,38.27,37.20,39.34,69.22
Quintile 2,Male,25 to 29,50.56,50.37,50.75,34.13,33.08,35.17,67.50
Quintile 2,Male,30 to 34,45.87,45.68,46.06,30.12,29.11,31.12,65.66
Quintile 2,Male,35 to 39,41.23,41.04,41.41,26.26,25.31,27.21,63.69
Quintile 2,Male,40 to 44,36.73,36.55,36.90,22.62,21.72,23.53,61.60
Quintile 2,Male,45 to 49,32.41,32.25,32.58,19.24,18.39,20.10,59.38
Quintile 2,Male,50 to 54,28.21,28.06,28.37,16.08,15.27,16.90,57.01
Quintile 2,Male,55 to 59,24.07,23.92,24.21,13.11,12.35,13.88,54.49
Quintile 2,Male,60 to 64,20.08,19.94,20.21,10.40,9.66,11.13,51.78
Quintile 2,Male,65 to 69,16.39,16.26,16.52,8.01,7.30,8.72,48.87
Quintile 2,Male,70 to 74,13.07,12.95,13.19,5.97,5.28,6.67,45.71
Quintile 2,Male,75 to 79,10.00,9.89,10.12,4.23,3.50,4.95,42.25
Quintile 2,Male,80 to 84,7.52,7.40,7.63,2.89,2.17,3.60,38.42
Quintile 2,Male,85 to 89,5.46,5.34,5.59,1.86,1.27,2.45,34.08
Quintile 2,Male,90+,3.95,3.77,4.14,1.14,0.60,1.68,28.81
Quintile 3,Female,<1,81.41,81.23,81.60,63.70,62.62,64.77,78.24
Quintile 3,Female,1 to 4,80.60,80.43,80.78,62.94,61.86,64.01,78.08
Quintile 3,Female,5 to 9,76.64,76.47,76.82,59.34,58.28,60.40,77.43
Quintile 3,Female,10 to 14,71.67,71.49,71.84,54.82,53.79,55.86,76.50
Quintile 3,Female,15 to 19,66.68,66.51,66.85,50.31,49.30,51.32,75.45
Quintile 3,Female,20 to 24,61.73,61.57,61.90,45.87,44.88,46.85,74.29
Quintile 3,Female,25 to 29,56.83,56.67,57.00,41.50,40.56,42.44,73.02
Quintile 3,Female,30 to 34,51.94,51.78,52.10,37.20,36.28,38.12,71.62
Quintile 3,Female,35 to 39,47.06,46.90,47.22,32.98,32.08,33.87,70.08
Quintile 3,Female,40 to 44,42.26,42.11,42.42,28.91,28.04,29.77,68.40
Quintile 3,Female,45 to 49,37.57,37.43,37.72,25.01,24.19,25.84,66.58
Quintile 3,Female,50 to 54,32.97,32.83,33.11,21.30,20.51,22.08,64.60
Quintile 3,Female,55 to 59,28.43,28.30,28.57,17.76,17.00,18.52,62.47
Quintile 3,Female,60 to 64,24.05,23.92,24.18,14.46,13.72,15.20,60.14
Quintile 3,Female,65 to 69,19.83,19.70,19.95,11.41,10.69,12.13,57.55
Quintile 3,Female,70 to 74,15.85,15.74,15.97,8.67,7.96,9.37,54.67
Quintile 3,Female,75 to 79,12.16,12.05,12.27,6.26,5.54,6.97,51.46
Quintile 3,Female,80 to 84,8.93,8.83,9.03,4.28,3.64,4.93,47.97
Quintile 3,Female,85 to 89,6.29,6.19,6.39,2.78,2.24,3.32,44.23
Quintile 3,Female,90+,4.15,4.03,4.27,1.66,1.18,2.14,39.95
Quintile 3,Male,<1,77.73,77.53,77.94,63.03,62.04,64.01,81.08
Quintile 3,Male,1 to 4,76.93,76.74,77.13,62.25,61.26,63.23,80.91
Quintile 3,Male,5 to 9,72.98,72.79,73.17,58.52,57.55,59.50,80.19
Quintile 3,Male,10 to 14,67.99,67.80,68.18,53.82,52.87,54.78,79.16
Quintile 3,Male,15 to 19,63.03,62.84,63.22,49.14,48.21,50.08,77.97
Quintile 3,Male,20 to 24,58.16,57.97,58.34,44.57,43.65,45.48,76.63
Quintile 3,Male,25 to 29,53.31,53.13,53.50,40.05,39.16,40.95,75.13
Quintile 3,Male,30 to 34,48.50,48.33,48.68,35.63,34.75,36.50,73.45
Quintile 3,Male,35 to 39,43.79,43.62,43.96,31.35,30.51,32.20,71.59
Quintile 3,Male,40 to 44,39.13,38.96,39.29,27.22,26.40,28.03,69.56
Quintile 3,Male,45 to 49,34.62,34.46,34.77,23.30,22.52,24.07,67.30
Quintile 3,Male,50 to 54,30.19,30.04,30.34,19.56,18.82,20.30,64.80
Quintile 3,Male,55 to 59,25.87,25.73,26.01,16.06,15.35,16.77,62.08
Quintile 3,Male,60 to 64,21.69,21.56,21.82,12.83,12.15,13.52,59.16
Quintile 3,Male,65 to 69,17.71,17.58,17.83,9.93,9.27,10.60,56.10
Quintile 3,Male,70 to 74,14.05,13.93,14.16,7.39,6.72,8.05,52.60
Quintile 3,Male,75 to 79,10.72,10.60,10.83,5.22,4.53,5.91,48.69
Quintile 3,Male,80 to 84,7.87,7.76,7.98,3.50,2.88,4.11,44.39
Quintile 3,Male,85 to 89,5.58,5.47,5.70,2.22,1.72,2.73,39.85
Quintile 3,Male,90+,3.91,3.75,4.08,1.37,0.90,1.83,34.99
Quintile 4,Female,<1,83.07,82.89,83.25,66.82,65.72,67.93,80.44
Quintile 4,Female,1 to 4,82.28,82.11,82.45,66.10,64.99,67.20,80.33
Quintile 4,Female,5 to 9,78.32,78.15,78.49,62.53,61.44,63.62,79.84
Quintile 4,Female,10 to 14,73.36,73.19,73.52,58.06,57.00,59.12,79.14
Quintile 4,Female,15 to 19,68.39,68.23,68.55,53.58,52.56,54.61,78.35
Quintile 4,Female,20 to 24,63.45,63.29,63.61,49.18,48.19,50.17,77.51
Quintile 4,Female,25 to 29,58.53,58.37,58.68,44.82,43.90,45.74,76.59
Quintile 4,Female,30 to 34,53.62,53.46,53.77,40.51,39.62,41.39,75.55
Quintile 4,Female,35 to 39,48.72,48.56,48.87,36.22,35.37,37.07,74.35
Quintile 4,Female,40 to 44,43.85,43.70,44.00,32.01,31.18,32.83,72.99
Quintile 4,Female,45 to 49,39.05,38.91,39.20,27.90,27.12,28.69,71.46
Quintile 4,Female,50 to 54,34.32,34.18,34.46,23.93,23.17,24.68,69.71
Quintile 4,Female,55 to 59,29.65,29.52,29.79,20.09,19.35,20.82,67.74
Quintile 4,Female,60 to 64,25.11,24.98,25.25,16.46,15.75,17.17,65.54
Quintile 4,Female,65 to 69,20.81,20.68,20.93,13.04,12.34,13.74,62.68
Quintile 4,Female,70 to 74,16.68,16.57,16.80,9.88,9.19,10.57,59.22
Quintile 4,Female,75 to 79,12.78,12.67,12.90,7.06,6.37,7.75,55.21
Quintile 4,Female,80 to 84,9.33,9.23,9.44,4.75,4.14,5.36,50.90
Quintile 4,Female,85 to 89,6.47,6.36,6.57,3.05,2.55,3.55,47.14
Quintile 4,Female,90+,4.35,4.22,4.48,1.93,1.47,2.40,44.45
Quintile 4,Male,<1,79.97,79.78,80.16,67.23,66.27,68.19,84.07
Quintile 4,Male,1 to 4,79.12,78.94,79.31,66.41,65.45,67.38,83.94
Quintile 4,Male,5 to 9,75.14,74.96,75.33,62.65,61.70,63.60,83.37
Quintile 4,Male,10 to 14,70.16,69.98,70.35,57.92,56.99,58.86,82.56
Quintile 4,Male,15 to 19,65.20,65.02,65.39,53.20,52.28,54.13,81.60
Quintile 4,Male,20 to 24,60.31,60.14,60.49,48.56,47.65,49.47,80.51
Quintile 4,Male,25 to 29,55.46,55.28,55.63,43.97,43.08,44.86,79.29
Quintile 4,Male,30 to 34,50.66,50.50,50.83,39.48,38.61,40.35,77.93
Quintile 4,Male,35 to 39,45.88,45.72,46.05,35.04,34.20,35.89,76.38
Quintile 4,Male,40 to 44,41.14,40.98,41.29,30.69,29.87,31.51,74.61
Quintile 4,Male,45 to 49,36.44,36.29,36.60,26.45,25.70,27.20,72.58
Quintile 4,Male,50 to 54,31.82,31.67,31.96,22.36,21.64,23.07,70.27
Quintile 4,Male,55 to 59,27.29,27.15,27.43,18.48,17.78,19.17,67.70
Quintile 4,Male,60 to 64,22.91,22.78,23.05,14.87,14.19,15.54,64.88
Quintile 4,Male,65 to 69,18.73,18.60,18.86,11.59,10.93,12.25,61.91
Quintile 4,Male,70 to 74,14.81,14.69,14.93,8.64,7.98,9.29,58.33
Quintile 4,Male,75 to 79,11.22,11.10,11.34,6.09,5.42,6.77,54.30
Quintile 4,Male,80 to 84,8.25,8.13,8.36,4.11,3.47,4.75,49.79
Quintile 4,Male,85 to 89,5.88,5.75,6.00,2.65,2.12,3.19,45.16
Quintile 4,Male,90+,4.04,3.87,4.21,1.69,1.19,2.18,41.76
Quintile 5 (least deprived),Female,<1,85.00,84.83,85.17,71.58,70.55,72.61,84.21
Quintile 5 (least deprived),Female,1 to 4,84.10,83.94,84.26,70.70,69.67,71.73,84.06
Quintile 5 (least deprived),Female,5 to 9,80.12,79.96,80.28,66.85,65.82,67.87,83.43
Quintile 5 (least deprived),Female,10 to 14,75.14,74.98,75.30,62.03,61.02,63.05,82.56
Quintile 5 (least deprived),Female,15 to 19,70.17,70.01,70.33,57.26,56.26,58.26,81.60
Quintile 5 (least deprived),Female,20 to 24,65.23,65.07,65.39,52.58,51.59,53.57,80.61
Quintile 5 (least deprived),Female,25 to 29,60.28,60.13,60.44,47.95,46.99,48.92,79.55
Quintile 5 (least deprived),Female,30 to 34,55.35,55.20,55.50,43.37,42.42,44.31,78.35
Quintile 5 (least deprived),Female,35 to 39,50.39,50.24,50.55,38.79,37.87,39.70,76.97
Quintile 5 (least deprived),Female,40 to 44,45.49,45.35,45.64,34.31,33.41,35.20,75.41
Quintile 5 (least deprived),Female,45 to 49,40.62,40.48,40.77,29.91,29.03,30.79,73.63
Quintile 5 (least deprived),Female,50 to 54,35.80,35.66,35.94,25.63,24.76,26.49,71.58
Quintile 5 (least deprived),Female,55 to 59,31.07,30.93,31.21,21.50,20.65,22.35,69.20
Quintile 5 (least deprived),Female,60 to 64,26.42,26.29,26.56,17.55,16.72,18.38,66.42
Quintile 5 (least deprived),Female,65 to 69,21.91,21.78,22.04,13.79,12.98,14.60,62.93
Quintile 5 (least deprived),Female,70 to 74,17.59,17.47,17.72,10.30,9.49,11.11,58.55
Quintile 5 (least deprived),Female,75 to 79,13.49,13.38,13.61,7.19,6.38,7.99,53.26
Quintile 5 (least deprived),Female,80 to 84,9.89,9.77,10.00,4.67,3.95,5.40,47.27
Quintile 5 (least deprived),Female,85 to 89,6.82,6.71,6.93,2.83,2.24,3.43,41.55
Quintile 5 (least deprived),Female,90+,4.55,4.42,4.69,1.72,1.18,2.27,37.82
Quintile 5 (least deprived),Male,<1,81.99,81.81,82.18,69.91,68.93,70.89,85.26
Quintile 5 (least deprived),Male,1 to 4,81.17,80.99,81.34,69.07,68.09,70.05,85.09
Quintile 5 (least deprived),Male,5 to 9,77.20,77.03,77.38,65.16,64.18,66.14,84.40
Quintile 5 (least deprived),Male,10 to 14,72.23,72.05,72.40,60.29,59.31,61.26,83.47
Quintile 5 (least deprived),Male,15 to 19,67.26,67.09,67.43,55.47,54.51,56.43,82.47
Quintile 5 (least deprived),Male,20 to 24,62.32,62.15,62.49,50.75,49.80,51.70,81.44
Quintile 5 (least deprived),Male,25 to 29,57.46,57.29,57.63,46.18,45.26,47.11,80.38
Quintile 5 (least deprived),Male,30 to 34,52.58,52.42,52.75,41.64,40.74,42.53,79.18
Quintile 5 (least deprived),Male,35 to 39,47.71,47.55,47.87,37.09,36.21,37.97,77.74
Quintile 5 (least deprived),Male,40 to 44,42.84,42.68,42.99,32.54,31.67,33.40,75.96
Quintile 5 (least deprived),Male,45 to 49,38.02,37.87,38.17,28.08,27.24,28.93,73.86
Quintile 5 (least deprived),Male,50 to 54,33.24,33.09,33.39,23.69,22.86,24.52,71.26
Quintile 5 (least deprived),Male,55 to 59,28.60,28.46,28.74,19.51,18.69,20.32,68.21
Quintile 5 (least deprived),Male,60 to 64,24.05,23.91,24.19,15.54,14.73,16.34,64.61
Quintile 5 (least deprived),Male,65 to 69,19.77,19.63,19.90,11.97,11.18,12.76,60.56
Quintile 5 (least deprived),Male,70 to 74,15.70,15.57,15.82,8.71,7.92,9.49,55.47
Quintile 5 (least deprived),Male,75 to 79,11.91,11.78,12.03,5.82,5.01,6.63,48.90
Quintile 5 (least deprived),Male,80 to 84,8.68,8.56,8.80,3.61,2.84,4.39,41.64
Quintile 5 (least deprived),Male,85 to 89,5.99,5.87,6.12,2.13,1.51,2.74,35.50
Quintile 5 (least deprived),Male,90+,4.07,3.90,4.24,1.39,0.82,1.95,34.11
,,,,,,,,,
,,,,,,,,,
Footnotes,,,,,,,,,
1) HLE estimates are based on the five point response general health question in the annual population survey (APS). Those answered as in 'good' or 'very good' health were classified as being in health.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
© Crown Copyright 2022,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
