"Table 5. Life expectancy and healthy life expectancy in deprivation deciles, 2016-2018",,,,,,,,,
,,,,,,,,,
SIMD decile (SIMD 2016),Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,Healthy Life Expectancy (HLE) (years),HLE lower confidence interval,HLE upper confidence interval,"Proportion of Life Spent in ""Good"" Health (%)"
1,Male,75 to 79,8.99,8.81,9.17,1.86,0.62,3.11,20.72
1,Male,80 to 84,6.86,6.68,7.04,1.15,-0.24,2.54,16.76
1,Male,85 to 89,5.32,5.10,5.54,0.71,-0.39,1.82,13.43
1,Male,90+,4.35,4.00,4.71,0.52,-0.62,1.67,12.00
2,Female,less than 1,77.76,77.47,78.04,54.87,53.33,56.40,70.56
2,Female,1 to 4,77.08,76.82,77.35,54.14,52.60,55.68,70.24
2,Female,5 to 9,73.10,72.84,73.37,50.36,48.83,51.89,68.89
2,Female,10 to 14,68.11,67.85,68.37,45.72,44.22,47.23,67.13
2,Female,15 to 19,63.14,62.88,63.40,41.21,39.74,42.68,65.27
2,Female,20 to 24,58.21,57.95,58.47,36.88,35.45,38.31,63.35
2,Female,25 to 29,53.31,53.06,53.57,32.74,31.35,34.12,61.40
2,Female,30 to 34,48.44,48.18,48.69,28.73,27.40,30.07,59.32
2,Female,35 to 39,43.64,43.39,43.88,24.94,23.64,26.25,57.16
2,Female,40 to 44,38.98,38.74,39.22,21.46,20.21,22.71,55.05
2,Female,45 to 49,34.46,34.23,34.68,18.23,17.05,19.42,52.92
2,Female,50 to 54,29.96,29.74,30.17,15.21,14.08,16.33,50.76
2,Female,55 to 59,25.65,25.44,25.86,12.51,11.43,13.58,48.76
2,Female,60 to 64,21.54,21.34,21.73,10.12,9.11,11.14,47.00
2,Female,65 to 69,17.67,17.48,17.85,7.96,6.97,8.94,45.04
2,Female,70 to 74,14.09,13.92,14.27,6.02,5.06,6.98,42.74
2,Female,75 to 79,10.92,10.76,11.08,4.42,3.44,5.40,40.43
2,Female,80 to 84,8.42,8.27,8.57,3.25,2.30,4.19,38.56
2,Female,85 to 89,6.16,6.00,6.31,2.27,1.47,3.08,36.91
2,Female,90+,4.49,4.28,4.70,1.67,0.86,2.47,37.10
2,Male,less than 1,72.36,72.04,72.68,52.40,50.93,53.87,72.42
2,Male,1 to 4,71.81,71.51,72.11,51.82,50.33,53.30,72.16
2,Male,5 to 9,67.89,67.59,68.19,48.23,46.76,49.69,71.04
2,Male,10 to 14,62.91,62.61,63.21,43.72,42.28,45.16,69.49
2,Male,15 to 19,57.98,57.68,58.27,39.27,37.87,40.68,67.74
2,Male,20 to 24,53.12,52.83,53.41,34.93,33.56,36.30,65.75
2,Male,25 to 29,48.37,48.08,48.65,30.71,29.37,32.05,63.50
2,Male,30 to 34,43.74,43.46,44.01,26.68,25.39,27.98,61.01
2,Male,35 to 39,39.12,38.85,39.39,22.83,21.58,24.08,58.36
2,Male,40 to 44,34.75,34.49,35.00,19.34,18.13,20.55,55.66
2,Male,45 to 49,30.58,30.34,30.82,16.14,14.99,17.30,52.78
2,Male,50 to 54,26.62,26.40,26.85,13.21,12.13,14.29,49.60
2,Male,55 to 59,22.64,22.43,22.85,10.53,9.49,11.57,46.51
2,Male,60 to 64,18.87,18.66,19.07,8.27,7.27,9.28,43.86
2,Male,65 to 69,15.44,15.25,15.62,6.44,5.44,7.45,41.74
2,Male,70 to 74,12.38,12.20,12.55,4.89,3.86,5.91,39.49
2,Male,75 to 79,9.49,9.32,9.66,3.47,2.41,4.53,36.59
2,Male,80 to 84,7.18,7.02,7.35,2.49,1.35,3.63,34.61
2,Male,85 to 89,5.38,5.19,5.57,1.74,0.78,2.71,32.36
2,Male,90+,4.07,3.79,4.35,1.27,0.30,2.24,31.15
3,Female,less than 1,78.79,78.51,79.08,56.93,55.36,58.49,72.25
3,Female,1 to 4,78.10,77.83,78.37,56.27,54.70,57.83,72.04
3,Female,5 to 9,74.15,73.89,74.42,52.80,51.26,54.34,71.20
3,Female,10 to 14,69.20,68.94,69.46,48.46,46.97,49.95,70.03
3,Female,15 to 19,64.22,63.96,64.48,44.11,42.66,45.55,68.68
3,Female,20 to 24,59.24,58.98,59.50,39.83,38.44,41.22,67.23
3,Female,25 to 29,54.35,54.09,54.60,35.68,34.36,37.00,65.65
3,Female,30 to 34,49.47,49.21,49.72,31.61,30.32,32.89,63.89
3,Female,35 to 39,44.65,44.41,44.90,27.66,26.42,28.89,61.94
3,Female,40 to 44,39.95,39.71,40.19,23.94,22.74,25.13,59.91
3,Female,45 to 49,35.43,35.20,35.66,20.47,19.32,21.62,57.78
3,Female,50 to 54,30.95,30.73,31.17,17.16,16.05,18.27,55.44
3,Female,55 to 59,26.64,26.44,26.85,14.15,13.06,15.23,53.09
3,Female,60 to 64,22.45,22.25,22.64,11.45,10.39,12.51,51.00
3,Female,65 to 69,18.54,18.35,18.72,8.98,7.95,10.01,48.45
3,Female,70 to 74,14.92,14.75,15.09,6.78,5.75,7.81,45.47
3,Female,75 to 79,11.65,11.49,11.80,4.94,3.87,6.02,42.43
3,Female,80 to 84,8.70,8.55,8.85,3.48,2.53,4.44,40.02
3,Female,85 to 89,6.28,6.13,6.43,2.40,1.60,3.21,38.27
3,Female,90+,4.41,4.21,4.61,1.69,0.91,2.47,38.39
3,Male,less than 1,74.20,73.88,74.52,57.34,56.05,58.62,77.27
3,Male,1 to 4,73.66,73.37,73.96,56.72,55.42,58.01,77.00
3,Male,5 to 9,69.72,69.43,70.01,52.90,51.61,54.19,75.88
3,Male,10 to 14,64.73,64.44,65.03,48.14,46.86,49.41,74.36
3,Male,15 to 19,59.75,59.46,60.04,43.41,42.15,44.66,72.65
3,Male,20 to 24,54.84,54.55,55.12,38.79,37.55,40.03,70.74
3,Male,25 to 29,50.09,49.81,50.37,34.40,33.19,35.61,68.68
3,Male,30 to 34,45.36,45.08,45.63,30.09,28.91,31.28,66.35
3,Male,35 to 39,40.78,40.51,41.04,26.02,24.87,27.18,63.82
3,Male,40 to 44,36.26,36.00,36.51,22.20,21.10,23.30,61.22
3,Male,45 to 49,32.01,31.78,32.25,18.73,17.67,19.78,58.49
3,Male,50 to 54,27.94,27.72,28.16,15.48,14.46,16.49,55.39
3,Male,55 to 59,23.83,23.62,24.04,12.45,11.47,13.42,52.23
3,Male,60 to 64,19.89,19.69,20.09,9.79,8.85,10.74,49.25
3,Male,65 to 69,16.21,16.02,16.40,7.63,6.71,8.55,47.06
3,Male,70 to 74,12.88,12.71,13.06,5.70,4.79,6.62,44.27
3,Male,75 to 79,10.04,9.87,10.21,4.13,3.15,5.11,41.12
3,Male,80 to 84,7.58,7.41,7.75,2.89,1.88,3.90,38.13
3,Male,85 to 89,5.59,5.40,5.77,2.02,1.16,2.88,36.17
3,Male,90+,4.01,3.74,4.28,1.47,0.64,2.31,36.76
4,Female,less than 1,80.24,79.95,80.53,59.47,58.06,60.88,74.12
4,Female,1 to 4,79.58,79.31,79.84,58.77,57.35,60.19,73.85
4,Female,5 to 9,75.64,75.38,75.91,55.06,53.65,56.46,72.78
4,Female,10 to 14,70.66,70.40,70.92,50.42,49.04,51.81,71.36
4,Female,15 to 19,65.69,65.43,65.95,45.87,44.51,47.24,69.83
4,Female,20 to 24,60.81,60.56,61.07,41.52,40.18,42.86,68.28
4,Female,25 to 29,55.90,55.65,56.15,37.25,35.97,38.52,66.63
4,Female,30 to 34,51.00,50.75,51.24,33.06,31.83,34.30,64.83
4,Female,35 to 39,46.11,45.87,46.36,28.99,27.79,30.18,62.85
4,Female,40 to 44,41.35,41.12,41.59,25.14,23.99,26.30,60.80
4,Female,45 to 49,36.73,36.50,36.96,21.56,20.47,22.65,58.70
4,Female,50 to 54,32.15,31.93,32.36,18.18,17.15,19.21,56.55
4,Female,55 to 59,27.75,27.54,27.96,15.09,14.11,16.07,54.38
4,Female,60 to 64,23.45,23.25,23.65,12.27,11.33,13.20,52.30
4,Female,65 to 69,19.40,19.21,19.59,9.59,8.69,10.50,49.44
4,Female,70 to 74,15.65,15.48,15.83,7.29,6.39,8.18,46.56
4,Female,75 to 79,12.15,11.98,12.31,5.25,4.35,6.15,43.21
4,Female,80 to 84,9.12,8.96,9.27,3.70,2.89,4.50,40.54
4,Female,85 to 89,6.47,6.30,6.63,2.54,1.87,3.21,39.22
4,Female,90+,4.69,4.47,4.91,1.86,1.18,2.53,39.57
4,Male,less than 1,75.76,75.45,76.07,59.49,58.17,60.80,78.52
4,Male,1 to 4,75.02,74.73,75.32,58.75,57.43,60.07,78.32
4,Male,5 to 9,71.10,70.81,71.39,55.08,53.77,56.39,77.47
4,Male,10 to 14,66.14,65.85,66.43,50.44,49.16,51.73,76.27
4,Male,15 to 19,61.18,60.89,61.47,45.83,44.57,47.09,74.91
4,Male,20 to 24,56.38,56.10,56.66,41.38,40.14,42.62,73.39
4,Male,25 to 29,51.58,51.31,51.85,36.97,35.77,38.18,71.68
4,Male,30 to 34,46.86,46.59,47.12,32.69,31.52,33.87,69.77
4,Male,35 to 39,42.17,41.91,42.43,28.52,27.38,29.66,67.63
4,Male,40 to 44,37.59,37.34,37.83,24.58,23.47,25.69,65.39
4,Male,45 to 49,33.22,32.99,33.45,20.91,19.84,21.98,62.95
4,Male,50 to 54,28.85,28.63,29.08,17.38,16.36,18.40,60.22
4,Male,55 to 59,24.63,24.42,24.84,14.13,13.14,15.11,57.35
4,Male,60 to 64,20.57,20.37,20.77,11.22,10.27,12.16,54.53
4,Male,65 to 69,16.77,16.58,16.96,8.71,7.79,9.63,51.96
4,Male,70 to 74,13.35,13.18,13.53,6.54,5.63,7.45,48.97
4,Male,75 to 79,10.32,10.15,10.50,4.72,3.75,5.68,45.68
4,Male,80 to 84,7.72,7.55,7.89,3.29,2.34,4.24,42.62
4,Male,85 to 89,5.66,5.47,5.85,2.26,1.46,3.06,39.91
4,Male,90+,4.01,3.74,4.28,1.56,0.80,2.32,38.90
5,Female,less than 1,81.24,80.98,81.50,62.45,61.05,63.85,76.88
5,Female,1 to 4,80.37,80.12,80.62,61.62,60.22,63.02,76.67
5,Female,5 to 9,76.38,76.14,76.63,57.89,56.51,59.28,75.79
5,Female,10 to 14,71.40,71.16,71.64,53.25,51.89,54.61,74.58
5,Female,15 to 19,66.44,66.19,66.68,48.65,47.33,49.98,73.23
5,Female,20 to 24,61.53,61.29,61.77,44.19,42.90,45.48,71.82
5,Female,25 to 29,56.61,56.37,56.84,39.79,38.54,41.04,70.30
5,Female,30 to 34,51.66,51.43,51.89,35.44,34.22,36.65,68.60
5,Female,35 to 39,46.81,46.58,47.03,31.22,30.06,32.38,66.70
5,Female,40 to 44,42.00,41.78,42.22,27.17,26.07,28.27,64.69
5,Female,45 to 49,37.30,37.08,37.51,23.31,22.25,24.37,62.49
5,Female,50 to 54,32.62,32.42,32.82,19.61,18.60,20.62,60.12
5,Female,55 to 59,28.11,27.91,28.30,16.20,15.22,17.18,57.64
5,Female,60 to 64,23.73,23.54,23.92,13.03,12.08,13.97,54.90
5,Female,65 to 69,19.55,19.37,19.72,10.09,9.18,11.00,51.60
5,Female,70 to 74,15.53,15.36,15.69,7.41,6.51,8.30,47.69
5,Female,75 to 79,11.96,11.81,12.12,5.16,4.24,6.07,43.12
5,Female,80 to 84,8.85,8.70,8.99,3.43,2.68,4.19,38.78
5,Female,85 to 89,6.17,6.03,6.31,2.19,1.58,2.81,35.56
5,Female,90+,4.26,4.08,4.44,1.44,0.87,2.01,33.77
5,Male,less than 1,77.08,76.80,77.37,62.41,61.13,63.69,80.96
5,Male,1 to 4,76.28,76.01,76.56,61.60,60.31,62.89,80.75
5,Male,5 to 9,72.30,72.03,72.57,57.76,56.48,59.03,79.89
5,Male,10 to 14,67.31,67.04,67.58,52.98,51.73,54.24,78.72
5,Male,15 to 19,62.34,62.07,62.61,48.28,47.05,49.51,77.44
5,Male,20 to 24,57.49,57.22,57.75,43.72,42.52,44.93,76.06
5,Male,25 to 29,52.62,52.36,52.88,39.24,38.07,40.40,74.56
5,Male,30 to 34,47.81,47.56,48.07,34.87,33.74,35.99,72.92
5,Male,35 to 39,43.14,42.90,43.38,30.69,29.62,31.77,71.15
5,Male,40 to 44,38.58,38.35,38.81,26.73,25.70,27.77,69.30
5,Male,45 to 49,34.03,33.81,34.25,22.87,21.89,23.85,67.19
5,Male,50 to 54,29.59,29.38,29.80,19.19,18.25,20.12,64.83
5,Male,55 to 59,25.25,25.05,25.45,15.75,14.85,16.64,62.36
5,Male,60 to 64,21.12,20.93,21.31,12.62,11.76,13.48,59.76
5,Male,65 to 69,17.20,17.02,17.38,9.89,9.07,10.72,57.50
5,Male,70 to 74,13.59,13.42,13.76,7.45,6.63,8.26,54.79
5,Male,75 to 79,10.31,10.15,10.47,5.31,4.45,6.17,51.52
5,Male,80 to 84,7.65,7.50,7.80,3.71,2.94,4.48,48.45
5,Male,85 to 89,5.38,5.22,5.54,2.50,1.87,3.14,46.55
5,Male,90+,3.61,3.40,3.83,1.65,1.08,2.21,45.62
6,Female,less than 1,81.91,81.65,82.16,64.22,62.72,65.72,78.41
6,Female,1 to 4,81.06,80.81,81.30,63.51,62.01,65.01,78.35
6,Female,5 to 9,77.09,76.85,77.33,60.18,58.72,61.63,78.06
6,Female,10 to 14,72.10,71.86,72.34,55.91,54.52,57.30,77.55
6,Female,15 to 19,67.14,66.90,67.38,51.62,50.29,52.94,76.88
6,Female,20 to 24,62.17,61.93,62.40,47.28,46.02,48.54,76.06
6,Female,25 to 29,57.28,57.05,57.51,43.00,41.82,44.19,75.08
6,Female,30 to 34,52.38,52.15,52.61,38.72,37.57,39.88,73.92
6,Female,35 to 39,47.52,47.29,47.74,34.49,33.38,35.60,72.59
6,Female,40 to 44,42.75,42.53,42.97,30.38,29.31,31.46,71.07
6,Female,45 to 49,37.98,37.77,38.19,26.34,25.31,27.37,69.35
6,Female,50 to 54,33.34,33.14,33.54,22.48,21.48,23.48,67.42
6,Female,55 to 59,28.75,28.55,28.94,18.77,17.79,19.74,65.28
6,Female,60 to 64,24.39,24.21,24.58,15.34,14.38,16.30,62.90
6,Female,65 to 69,20.07,19.90,20.25,12.08,11.13,13.02,60.15
6,Female,70 to 74,15.99,15.82,16.15,9.12,8.19,10.05,57.04
6,Female,75 to 79,12.24,12.09,12.40,6.55,5.59,7.51,53.51
6,Female,80 to 84,9.04,8.89,9.18,4.48,3.64,5.33,49.63
6,Female,85 to 89,6.30,6.15,6.44,2.86,2.16,3.56,45.44
6,Female,90+,4.31,4.13,4.49,1.75,1.10,2.41,40.72
6,Male,less than 1,78.34,78.06,78.63,65.37,64.26,66.48,83.44
6,Male,1 to 4,77.54,77.27,77.81,64.55,63.43,65.66,83.24
6,Male,5 to 9,73.59,73.32,73.86,60.63,59.52,61.74,82.39
6,Male,10 to 14,68.64,68.37,68.90,55.74,54.64,56.85,81.21
6,Male,15 to 19,63.67,63.41,63.94,50.87,49.77,51.97,79.89
6,Male,20 to 24,58.81,58.55,59.07,46.14,45.05,47.23,78.45
6,Male,25 to 29,53.95,53.70,54.20,41.46,40.39,42.54,76.85
6,Male,30 to 34,49.19,48.95,49.43,36.94,35.89,37.99,75.09
6,Male,35 to 39,44.43,44.19,44.67,32.50,31.47,33.54,73.16
6,Male,40 to 44,39.76,39.53,39.99,28.24,27.23,29.25,71.02
6,Male,45 to 49,35.18,34.96,35.39,24.15,23.18,25.12,68.66
6,Male,50 to 54,30.59,30.39,30.80,20.19,19.24,21.14,65.99
6,Male,55 to 59,26.09,25.90,26.29,16.47,15.54,17.39,63.10
6,Male,60 to 64,21.88,21.69,22.07,13.15,12.25,14.04,60.07
6,Male,65 to 69,17.87,17.70,18.05,10.18,9.31,11.06,56.98
6,Male,70 to 74,14.17,14.00,14.34,7.54,6.66,8.43,53.23
6,Male,75 to 79,10.81,10.65,10.98,5.32,4.39,6.26,49.20
6,Male,80 to 84,7.90,7.74,8.05,3.53,2.62,4.44,44.70
6,Male,85 to 89,5.52,5.35,5.68,2.22,1.48,2.96,40.24
6,Male,90+,3.77,3.54,3.99,1.40,0.74,2.07,37.25
7,Female,less than 1,82.38,82.11,82.64,65.57,64.17,66.97,79.60
7,Female,1 to 4,81.61,81.37,81.85,64.85,63.44,66.25,79.46
7,Female,5 to 9,77.64,77.40,77.88,61.25,59.87,62.63,78.89
7,Female,10 to 14,72.67,72.43,72.91,56.74,55.39,58.09,78.08
7,Female,15 to 19,67.73,67.49,67.97,52.27,50.96,53.59,77.18
7,Female,20 to 24,62.83,62.60,63.06,47.89,46.62,49.17,76.23
7,Female,25 to 29,57.90,57.67,58.13,43.55,42.32,44.78,75.21
7,Female,30 to 34,52.99,52.76,53.21,39.25,38.07,40.42,74.07
7,Female,35 to 39,48.10,47.88,48.31,35.01,33.88,36.14,72.79
7,Female,40 to 44,43.29,43.08,43.50,30.90,29.83,31.97,71.38
7,Female,45 to 49,38.51,38.30,38.71,26.87,25.84,27.90,69.78
7,Female,50 to 54,33.77,33.58,33.97,22.98,21.97,23.98,68.03
7,Female,55 to 59,29.16,28.97,29.35,19.27,18.29,20.24,66.06
7,Female,60 to 64,24.63,24.45,24.82,15.73,14.78,16.68,63.86
7,Female,65 to 69,20.32,20.15,20.50,12.41,11.48,13.34,61.06
7,Female,70 to 74,16.17,16.00,16.33,9.34,8.41,10.27,57.79
7,Female,75 to 79,12.39,12.24,12.55,6.69,5.74,7.63,53.94
7,Female,80 to 84,9.05,8.91,9.20,4.53,3.70,5.36,50.03
7,Female,85 to 89,6.30,6.15,6.44,2.91,2.23,3.59,46.21
7,Female,90+,4.21,4.03,4.38,1.84,1.22,2.47,43.76
7,Male,less than 1,80.01,79.73,80.28,66.49,65.28,67.70,83.10
7,Male,1 to 4,79.09,78.82,79.36,65.62,64.40,66.83,82.96
7,Male,5 to 9,75.12,74.85,75.38,61.88,60.68,63.08,82.38
7,Male,10 to 14,70.15,69.89,70.42,57.20,56.03,58.38,81.54
7,Male,15 to 19,65.19,64.93,65.45,52.50,51.35,53.66,80.54
7,Male,20 to 24,60.32,60.07,60.58,47.90,46.77,49.04,79.42
7,Male,25 to 29,55.44,55.18,55.69,43.32,42.21,44.43,78.14
7,Male,30 to 34,50.63,50.39,50.88,38.86,37.78,39.94,76.75
7,Male,35 to 39,45.84,45.60,46.07,34.45,33.40,35.50,75.16
7,Male,40 to 44,41.06,40.83,41.29,30.10,29.09,31.11,73.30
7,Male,45 to 49,36.40,36.18,36.63,25.85,24.88,26.83,71.02
7,Male,50 to 54,31.81,31.59,32.02,21.75,20.79,22.71,68.38
7,Male,55 to 59,27.34,27.14,27.55,17.87,16.93,18.82,65.37
7,Male,60 to 64,22.99,22.79,23.19,14.29,13.36,15.21,62.14
7,Male,65 to 69,18.83,18.64,19.02,11.10,10.19,12.02,58.97
7,Male,70 to 74,14.98,14.80,15.16,8.24,7.31,9.17,55.02
7,Male,75 to 79,11.39,11.22,11.57,5.72,4.76,6.68,50.22
7,Male,80 to 84,8.36,8.18,8.53,3.80,2.90,4.69,45.40
7,Male,85 to 89,5.96,5.78,6.15,2.45,1.70,3.19,41.06
7,Male,90+,4.23,3.96,4.49,1.63,0.92,2.34,38.50
8,Female,less than 1,83.78,83.51,84.04,69.82,68.47,71.16,83.33
8,Female,1 to 4,83.02,82.78,83.27,69.03,67.68,70.38,83.14
8,Female,5 to 9,79.07,78.83,79.32,65.11,63.76,66.46,82.34
8,Female,10 to 14,74.10,73.86,74.34,60.23,58.90,61.57,81.29
8,Female,15 to 19,69.15,68.91,69.39,55.44,54.11,56.76,80.16
8,Female,20 to 24,64.24,64.00,64.47,50.76,49.46,52.06,79.03
8,Female,25 to 29,59.31,59.08,59.54,46.16,44.88,47.44,77.83
8,Female,30 to 34,54.35,54.12,54.57,41.61,40.36,42.85,76.56
8,Female,35 to 39,49.46,49.23,49.68,37.17,35.95,38.38,75.15
8,Female,40 to 44,44.59,44.37,44.80,32.82,31.63,34.00,73.60
8,Female,45 to 49,39.76,39.55,39.98,28.60,27.44,29.76,71.93
8,Female,50 to 54,34.96,34.75,35.17,24.49,23.36,25.62,70.05
8,Female,55 to 59,30.29,30.09,30.50,20.60,19.48,21.72,68.00
8,Female,60 to 64,25.68,25.48,25.87,16.89,15.79,17.98,65.77
8,Female,65 to 69,21.31,21.12,21.50,13.41,12.34,14.49,62.95
8,Female,70 to 74,17.17,16.99,17.36,10.23,9.15,11.30,59.54
8,Female,75 to 79,13.23,13.06,13.40,7.37,6.27,8.46,55.68
8,Female,80 to 84,9.77,9.61,9.94,5.02,3.98,6.06,51.37
8,Female,85 to 89,6.76,6.59,6.92,3.24,2.38,4.10,47.96
8,Female,90+,4.62,4.41,4.82,2.08,1.26,2.89,45.01
8,Male,less than 1,80.20,79.92,80.47,67.92,66.74,69.11,84.70
8,Male,1 to 4,79.36,79.10,79.62,67.09,65.90,68.28,84.54
8,Male,5 to 9,75.40,75.14,75.66,63.25,62.06,64.43,83.88
8,Male,10 to 14,70.42,70.16,70.68,58.43,57.26,59.61,82.98
8,Male,15 to 19,65.45,65.19,65.71,53.65,52.49,54.81,81.97
8,Male,20 to 24,60.59,60.34,60.85,49.01,47.87,50.15,80.88
8,Male,25 to 29,55.73,55.49,55.98,44.42,43.29,45.54,79.69
8,Male,30 to 34,50.89,50.64,51.13,39.89,38.80,40.98,78.39
8,Male,35 to 39,46.11,45.87,46.34,35.44,34.38,36.51,76.87
8,Male,40 to 44,41.27,41.04,41.50,31.03,29.99,32.07,75.18
8,Male,45 to 49,36.55,36.33,36.77,26.77,25.77,27.77,73.24
8,Male,50 to 54,31.90,31.68,32.11,22.65,21.67,23.64,71.02
8,Male,55 to 59,27.36,27.15,27.57,18.77,17.81,19.73,68.60
8,Male,60 to 64,22.96,22.76,23.17,15.13,14.20,16.07,65.89
8,Male,65 to 69,18.79,18.59,18.98,11.83,10.92,12.74,62.98
8,Male,70 to 74,14.95,14.76,15.13,8.88,7.96,9.79,59.38
8,Male,75 to 79,11.34,11.16,11.52,6.30,5.36,7.24,55.57
8,Male,80 to 84,8.35,8.18,8.53,4.26,3.39,5.13,51.03
8,Male,85 to 89,5.97,5.78,6.16,2.78,2.04,3.51,46.49
8,Male,90+,4.20,3.93,4.47,1.89,1.19,2.59,44.95
9,Female,less than 1,84.22,83.97,84.48,69.16,67.75,70.57,82.12
9,Female,1 to 4,83.44,83.20,83.68,68.41,67.00,69.83,81.99
9,Female,5 to 9,79.46,79.23,79.69,64.70,63.30,66.09,81.42
9,Female,10 to 14,74.48,74.25,74.72,60.05,58.68,61.42,80.62
9,Female,15 to 19,69.51,69.28,69.74,55.40,54.06,56.75,79.71
9,Female,20 to 24,64.56,64.33,64.79,50.82,49.51,52.14,78.72
9,Female,25 to 29,59.62,59.39,59.84,46.30,45.01,47.58,77.66
9,Female,30 to 34,54.68,54.46,54.90,41.81,40.57,43.04,76.45
9,Female,35 to 39,49.75,49.53,49.97,37.33,36.13,38.52,75.03
9,Female,40 to 44,44.87,44.65,45.09,32.94,31.77,34.12,73.42
9,Female,45 to 49,40.00,39.79,40.22,28.63,27.48,29.77,71.56
9,Female,50 to 54,35.22,35.01,35.43,24.45,23.32,25.57,69.42
9,Female,55 to 59,30.50,30.29,30.70,20.41,19.30,21.52,66.93
9,Female,60 to 64,25.92,25.73,26.12,16.59,15.51,17.68,64.01
9,Female,65 to 69,21.50,21.31,21.68,12.99,11.93,14.06,60.45
9,Female,70 to 74,17.24,17.06,17.42,9.65,8.58,10.72,55.99
9,Female,75 to 79,13.23,13.06,13.41,6.71,5.64,7.79,50.73
9,Female,80 to 84,9.71,9.55,9.88,4.36,3.35,5.36,44.86
9,Female,85 to 89,6.83,6.66,7.00,2.66,1.83,3.49,38.96
9,Female,90+,4.81,4.59,5.02,1.71,0.91,2.51,35.57
9,Male,less than 1,81.56,81.30,81.83,70.48,69.26,71.70,86.41
9,Male,1 to 4,80.65,80.39,80.91,69.58,68.36,70.80,86.28
9,Male,5 to 9,76.69,76.44,76.95,65.77,64.55,66.98,85.75
9,Male,10 to 14,71.71,71.45,71.96,60.96,59.77,62.16,85.02
9,Male,15 to 19,66.75,66.50,67.00,56.20,55.02,57.38,84.20
9,Male,20 to 24,61.85,61.60,62.10,51.53,50.36,52.69,83.31
9,Male,25 to 29,56.97,56.73,57.21,46.93,45.79,48.07,82.38
9,Male,30 to 34,52.12,51.89,52.36,42.38,41.28,43.48,81.31
9,Male,35 to 39,47.27,47.04,47.50,37.83,36.76,38.89,80.03
9,Male,40 to 44,42.42,42.20,42.65,33.29,32.24,34.34,78.47
