"Table 3. Life expectancy and healthy life expectancy in NHS health boards, 2016-2018",,,,,,,,,,
,,,,,,,,,,
Area code,Health board,Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,Healthy Life Expectancy (HLE) (years),HLE lower confidence interval,HLE upper confidence interval,"Proportion of Life Spent in ""Good"" Health (%)"
S08000015,Ayrshire and Arran,Male,25 to 29,52.24,51.90,52.58,37.11,36.13,38.08,71.03
S08000015,Ayrshire and Arran,Male,30 to 34,47.59,47.26,47.92,33.00,32.07,33.94,69.35
S08000015,Ayrshire and Arran,Male,35 to 39,43.00,42.69,43.31,29.02,28.13,29.92,67.49
S08000015,Ayrshire and Arran,Male,40 to 44,38.57,38.28,38.86,25.24,24.39,26.10,65.45
S08000015,Ayrshire and Arran,Male,45 to 49,34.19,33.92,34.45,21.61,20.80,22.42,63.21
S08000015,Ayrshire and Arran,Male,50 to 54,29.93,29.69,30.18,18.19,17.43,18.96,60.78
S08000015,Ayrshire and Arran,Male,55 to 59,25.64,25.41,25.88,14.91,14.17,15.64,58.12
S08000015,Ayrshire and Arran,Male,60 to 64,21.40,21.18,21.63,11.82,11.12,12.51,55.22
S08000015,Ayrshire and Arran,Male,65 to 69,17.36,17.15,17.57,9.03,8.37,9.69,52.01
S08000015,Ayrshire and Arran,Male,70 to 74,13.78,13.58,13.98,6.68,6.03,7.32,48.45
S08000015,Ayrshire and Arran,Male,75 to 79,10.54,10.35,10.73,4.69,4.03,5.35,44.48
S08000015,Ayrshire and Arran,Male,80 to 84,7.80,7.61,7.99,3.12,2.53,3.71,39.98
S08000015,Ayrshire and Arran,Male,85 to 89,5.68,5.47,5.90,1.98,1.49,2.47,34.78
S08000015,Ayrshire and Arran,Male,90+,4.13,3.82,4.44,1.18,0.72,1.63,28.44
S08000016,Borders,Female,less than 1,82.09,81.50,82.68,65.32,63.29,67.34,79.57
S08000016,Borders,Female,1 to 4,81.31,80.76,81.86,64.54,62.52,66.57,79.38
S08000016,Borders,Female,5 to 9,77.31,76.76,77.86,60.77,58.76,62.78,78.60
S08000016,Borders,Female,10 to 14,72.35,71.80,72.90,56.17,54.19,58.14,77.63
S08000016,Borders,Female,15 to 19,67.35,66.80,67.90,51.62,49.68,53.56,76.64
S08000016,Borders,Female,20 to 24,62.43,61.89,62.96,47.23,45.34,49.11,75.65
S08000016,Borders,Female,25 to 29,57.61,57.09,58.12,43.01,41.20,44.82,74.66
S08000016,Borders,Female,30 to 34,52.79,52.29,53.28,38.89,37.17,40.61,73.67
S08000016,Borders,Female,35 to 39,48.00,47.53,48.47,34.88,33.25,36.51,72.67
S08000016,Borders,Female,40 to 44,43.18,42.73,43.63,30.94,29.40,32.48,71.65
S08000016,Borders,Female,45 to 49,38.34,37.90,38.78,27.06,25.60,28.53,70.59
S08000016,Borders,Female,50 to 54,33.67,33.25,34.10,23.41,22.00,24.81,69.52
S08000016,Borders,Female,55 to 59,29.25,28.85,29.65,20.01,18.64,21.38,68.41
S08000016,Borders,Female,60 to 64,24.85,24.47,25.23,16.71,15.40,18.03,67.27
S08000016,Borders,Female,65 to 69,20.52,20.16,20.88,13.55,12.27,14.82,66.04
S08000016,Borders,Female,70 to 74,16.56,16.22,16.90,10.71,9.46,11.97,64.71
S08000016,Borders,Female,75 to 79,12.72,12.40,13.05,8.05,6.78,9.31,63.24
S08000016,Borders,Female,80 to 84,9.32,9.01,9.63,5.75,4.63,6.88,61.72
S08000016,Borders,Female,85 to 89,6.54,6.24,6.85,3.94,2.98,4.89,60.16
S08000016,Borders,Female,90+,4.24,3.87,4.60,2.49,1.63,3.34,58.64
S08000016,Borders,Male,less than 1,78.83,78.17,79.50,63.50,61.64,65.35,80.55
S08000016,Borders,Male,1 to 4,78.13,77.51,78.76,62.74,60.88,64.60,80.30
S08000016,Borders,Male,5 to 9,74.13,73.51,74.76,58.74,56.88,60.60,79.24
S08000016,Borders,Male,10 to 14,69.17,68.55,69.79,53.86,52.01,55.71,77.86
S08000016,Borders,Male,15 to 19,64.17,63.55,64.79,48.94,47.11,50.78,76.27
S08000016,Borders,Male,20 to 24,59.27,58.66,59.88,44.27,42.46,46.08,74.69
S08000016,Borders,Male,25 to 29,54.51,53.92,55.10,39.79,38.02,41.55,72.99
S08000016,Borders,Male,30 to 34,49.75,49.19,50.31,35.42,33.71,37.13,71.20
S08000016,Borders,Male,35 to 39,45.33,44.83,45.83,31.56,29.93,33.19,69.63
S08000016,Borders,Male,40 to 44,40.73,40.27,41.19,27.59,26.04,29.14,67.74
S08000016,Borders,Male,45 to 49,36.13,35.69,36.56,23.51,22.03,24.98,65.07
S08000016,Borders,Male,50 to 54,31.51,31.10,31.92,19.60,18.18,21.02,62.20
S08000016,Borders,Male,55 to 59,27.06,26.67,27.45,15.97,14.59,17.35,59.01
S08000016,Borders,Male,60 to 64,22.69,22.32,23.06,12.62,11.27,13.96,55.60
S08000016,Borders,Male,65 to 69,18.61,18.26,18.96,9.76,8.44,11.07,52.43
S08000016,Borders,Male,70 to 74,14.65,14.32,14.98,6.75,5.45,8.06,46.09
S08000016,Borders,Male,75 to 79,11.08,10.76,11.39,4.43,3.08,5.79,40.03
S08000016,Borders,Male,80 to 84,7.94,7.64,8.24,2.63,1.49,3.76,33.09
S08000016,Borders,Male,85 to 89,5.46,5.16,5.76,1.34,0.50,2.18,24.52
S08000016,Borders,Male,90+,3.41,3.00,3.81,0.86,0.16,1.56,25.28
S08000017,Dumfries and Galloway,Female,less than 1,81.76,81.24,82.28,64.25,62.11,66.40,78.58
S08000017,Dumfries and Galloway,Female,1 to 4,80.94,80.44,81.43,63.45,61.30,65.60,78.39
S08000017,Dumfries and Galloway,Female,5 to 9,76.98,76.49,77.46,59.75,57.64,61.85,77.62
S08000017,Dumfries and Galloway,Female,10 to 14,71.98,71.49,72.46,55.13,53.11,57.14,76.59
S08000017,Dumfries and Galloway,Female,15 to 19,67.01,66.53,67.49,50.59,48.67,52.51,75.50
S08000017,Dumfries and Galloway,Female,20 to 24,62.16,61.69,62.62,46.21,44.41,48.01,74.34
S08000017,Dumfries and Galloway,Female,25 to 29,57.29,56.84,57.74,41.88,40.15,43.62,73.11
S08000017,Dumfries and Galloway,Female,30 to 34,52.51,52.08,52.94,37.71,36.04,39.38,71.82
S08000017,Dumfries and Galloway,Female,35 to 39,47.66,47.25,48.08,33.58,31.99,35.17,70.46
S08000017,Dumfries and Galloway,Female,40 to 44,43.00,42.62,43.39,29.69,28.17,31.20,69.03
S08000017,Dumfries and Galloway,Female,45 to 49,38.22,37.86,38.59,25.82,24.38,27.26,67.54
S08000017,Dumfries and Galloway,Female,50 to 54,33.59,33.24,33.94,22.15,20.77,23.53,65.96
S08000017,Dumfries and Galloway,Female,55 to 59,28.96,28.62,29.29,18.62,17.29,19.95,64.30
S08000017,Dumfries and Galloway,Female,60 to 64,24.44,24.12,24.77,15.29,14.00,16.57,62.54
S08000017,Dumfries and Galloway,Female,65 to 69,20.19,19.89,20.50,12.26,10.99,13.52,60.70
S08000017,Dumfries and Galloway,Female,70 to 74,16.16,15.87,16.44,9.50,8.24,10.75,58.77
S08000017,Dumfries and Galloway,Female,75 to 79,12.45,12.19,12.72,7.06,5.79,8.33,56.70
S08000017,Dumfries and Galloway,Female,80 to 84,9.06,8.82,9.31,4.93,3.68,6.17,54.36
S08000017,Dumfries and Galloway,Female,85 to 89,6.22,5.98,6.46,3.21,2.18,4.23,51.54
S08000017,Dumfries and Galloway,Female,90+,4.08,3.78,4.37,1.95,1.03,2.87,47.78
S08000017,Dumfries and Galloway,Male,less than 1,77.92,77.32,78.52,64.17,62.53,65.81,82.35
S08000017,Dumfries and Galloway,Male,1 to 4,77.25,76.69,77.81,63.43,61.79,65.08,82.12
S08000017,Dumfries and Galloway,Male,5 to 9,73.28,72.73,73.84,59.46,57.82,61.11,81.14
S08000017,Dumfries and Galloway,Male,10 to 14,68.35,67.80,68.89,54.54,52.90,56.19,79.80
S08000017,Dumfries and Galloway,Male,15 to 19,63.37,62.83,63.92,49.67,48.04,51.30,78.37
S08000017,Dumfries and Galloway,Male,20 to 24,58.53,58.00,59.06,44.97,43.37,46.58,76.84
S08000017,Dumfries and Galloway,Male,25 to 29,53.72,53.20,54.23,40.40,38.85,41.96,75.21
S08000017,Dumfries and Galloway,Male,30 to 34,48.97,48.48,49.47,35.98,34.47,37.49,73.47
S08000017,Dumfries and Galloway,Male,35 to 39,44.30,43.83,44.77,31.71,30.29,33.14,71.59
S08000017,Dumfries and Galloway,Male,40 to 44,39.89,39.46,40.31,27.77,26.43,29.11,69.63
S08000017,Dumfries and Galloway,Male,45 to 49,35.41,35.02,35.79,23.93,22.66,25.20,67.59
S08000017,Dumfries and Galloway,Male,50 to 54,30.90,30.54,31.27,20.26,19.05,21.47,65.57
S08000017,Dumfries and Galloway,Male,55 to 59,26.48,26.13,26.82,16.78,15.62,17.94,63.36
S08000017,Dumfries and Galloway,Male,60 to 64,22.31,21.98,22.63,13.58,12.47,14.70,60.89
S08000017,Dumfries and Galloway,Male,65 to 69,18.22,17.92,18.53,10.57,9.49,11.65,58.00
S08000017,Dumfries and Galloway,Male,70 to 74,14.42,14.14,14.71,7.95,6.88,9.01,55.10
S08000017,Dumfries and Galloway,Male,75 to 79,11.03,10.76,11.30,5.75,4.65,6.85,52.12
S08000017,Dumfries and Galloway,Male,80 to 84,8.00,7.75,8.26,3.89,2.87,4.91,48.58
S08000017,Dumfries and Galloway,Male,85 to 89,5.55,5.28,5.82,2.45,1.61,3.28,44.09
S08000017,Dumfries and Galloway,Male,90+,3.75,3.38,4.13,1.41,0.68,2.15,37.64
S08000019,Forth Valley,Female,less than 1,81.10,80.73,81.46,61.65,60.35,62.94,76.01
S08000019,Forth Valley,Female,1 to 4,80.37,80.03,80.71,60.93,59.63,62.23,75.82
S08000019,Forth Valley,Female,5 to 9,76.39,76.05,76.72,57.28,56.00,58.56,74.99
S08000019,Forth Valley,Female,10 to 14,71.41,71.08,71.75,52.74,51.49,54.00,73.85
S08000019,Forth Valley,Female,15 to 19,66.46,66.12,66.79,48.25,47.02,49.47,72.60
S08000019,Forth Valley,Female,20 to 24,61.49,61.16,61.82,43.82,42.64,45.01,71.27
S08000019,Forth Valley,Female,25 to 29,56.59,56.27,56.92,39.55,38.40,40.70,69.88
S08000019,Forth Valley,Female,30 to 34,51.74,51.42,52.05,35.39,34.28,36.51,68.41
S08000019,Forth Valley,Female,35 to 39,46.88,46.57,47.19,31.30,30.22,32.37,66.76
S08000019,Forth Valley,Female,40 to 44,42.11,41.81,42.41,27.34,26.30,28.38,64.94
S08000019,Forth Valley,Female,45 to 49,37.46,37.17,37.74,23.59,22.58,24.59,62.97
S08000019,Forth Valley,Female,50 to 54,32.75,32.48,33.03,19.93,18.96,20.91,60.86
S08000019,Forth Valley,Female,55 to 59,28.25,27.98,28.52,16.56,15.61,17.50,58.61
S08000019,Forth Valley,Female,60 to 64,23.86,23.60,24.12,13.43,12.52,14.34,56.28
S08000019,Forth Valley,Female,65 to 69,19.71,19.47,19.96,10.54,9.66,11.43,53.47
S08000019,Forth Valley,Female,70 to 74,15.72,15.49,15.95,7.89,7.01,8.76,50.17
S08000019,Forth Valley,Female,75 to 79,12.09,11.87,12.30,5.63,4.75,6.51,46.56
S08000019,Forth Valley,Female,80 to 84,8.87,8.67,9.08,3.83,3.02,4.63,43.16
S08000019,Forth Valley,Female,85 to 89,6.31,6.10,6.52,2.51,1.84,3.18,39.75
S08000019,Forth Valley,Female,90+,4.38,4.12,4.65,1.68,1.04,2.31,38.23
S08000019,Forth Valley,Male,less than 1,77.53,77.13,77.94,62.53,61.29,63.76,80.64
S08000019,Forth Valley,Male,1 to 4,76.81,76.42,77.19,61.79,60.55,63.03,80.45
S08000019,Forth Valley,Male,5 to 9,72.85,72.47,73.23,58.01,56.78,59.24,79.63
S08000019,Forth Valley,Male,10 to 14,67.86,67.48,68.25,53.28,52.08,54.49,78.51
S08000019,Forth Valley,Male,15 to 19,62.90,62.52,63.28,48.62,47.43,49.80,77.29
S08000019,Forth Valley,Male,20 to 24,58.06,57.69,58.43,44.10,42.94,45.25,75.95
S08000019,Forth Valley,Male,25 to 29,53.26,52.90,53.62,39.69,38.57,40.81,74.53
S08000019,Forth Valley,Male,30 to 34,48.57,48.22,48.92,35.45,34.36,36.54,72.99
S08000019,Forth Valley,Male,35 to 39,43.93,43.59,44.26,31.33,30.27,32.39,71.32
S08000019,Forth Valley,Male,40 to 44,39.30,38.97,39.62,27.32,26.29,28.35,69.52
S08000019,Forth Valley,Male,45 to 49,34.78,34.47,35.08,23.47,22.48,24.46,67.50
S08000019,Forth Valley,Male,50 to 54,30.33,30.04,30.62,19.82,18.86,20.78,65.34
S08000019,Forth Valley,Male,55 to 59,25.85,25.57,26.14,16.29,15.36,17.23,63.02
S08000019,Forth Valley,Male,60 to 64,21.62,21.34,21.89,13.09,12.19,14.00,60.57
S08000019,Forth Valley,Male,65 to 69,17.75,17.49,18.01,10.31,9.42,11.19,58.05
S08000019,Forth Valley,Male,70 to 74,14.10,13.85,14.35,7.79,6.91,8.67,55.22
S08000019,Forth Valley,Male,75 to 79,10.83,10.59,11.07,5.66,4.74,6.58,52.29
S08000019,Forth Valley,Male,80 to 84,8.12,7.88,8.36,3.98,3.08,4.89,49.03
S08000019,Forth Valley,Male,85 to 89,5.93,5.65,6.21,2.71,1.94,3.49,45.78
S08000019,Forth Valley,Male,90+,4.33,3.93,4.73,1.86,1.10,2.63,43.05
S08000020,Grampian,Female,less than 1,82.06,81.80,82.32,65.54,64.23,66.84,79.87
S08000020,Grampian,Female,1 to 4,81.22,80.97,81.47,64.72,63.41,66.02,79.68
S08000020,Grampian,Female,5 to 9,77.27,77.02,77.51,60.94,59.65,62.24,78.87
S08000020,Grampian,Female,10 to 14,72.29,72.04,72.53,56.23,54.95,57.50,77.78
S08000020,Grampian,Female,15 to 19,67.31,67.07,67.56,51.58,50.33,52.83,76.63
S08000020,Grampian,Female,20 to 24,62.39,62.15,62.63,47.07,45.85,48.29,75.45
S08000020,Grampian,Female,25 to 29,57.44,57.21,57.68,42.63,41.44,43.81,74.21
S08000020,Grampian,Female,30 to 34,52.51,52.27,52.74,38.23,37.07,39.39,72.81
S08000020,Grampian,Female,35 to 39,47.67,47.44,47.90,33.99,32.86,35.11,71.30
S08000020,Grampian,Female,40 to 44,42.88,42.65,43.11,29.85,28.76,30.93,69.61
S08000020,Grampian,Female,45 to 49,38.18,37.96,38.39,25.88,24.82,26.93,67.78
S08000020,Grampian,Female,50 to 54,33.53,33.32,33.74,22.04,21.02,23.06,65.72
S08000020,Grampian,Female,55 to 59,28.99,28.79,29.19,18.39,17.39,19.38,63.42
S08000020,Grampian,Female,60 to 64,24.59,24.39,24.78,14.96,14.00,15.92,60.84
S08000020,Grampian,Female,65 to 69,20.32,20.14,20.51,11.71,10.77,12.66,57.63
S08000020,Grampian,Female,70 to 74,16.33,16.15,16.50,8.78,7.84,9.72,53.76
S08000020,Grampian,Female,75 to 79,12.54,12.38,12.71,6.18,5.23,7.12,49.23
S08000020,Grampian,Female,80 to 84,9.24,9.09,9.40,4.12,3.30,4.95,44.60
S08000020,Grampian,Female,85 to 89,6.41,6.26,6.56,2.62,1.95,3.30,40.94
S08000020,Grampian,Female,90+,4.44,4.24,4.63,1.80,1.15,2.44,40.52
S08000020,Grampian,Male,less than 1,78.38,78.10,78.65,65.01,63.82,66.20,82.94
S08000020,Grampian,Male,1 to 4,77.53,77.27,77.80,64.18,62.99,65.37,82.78
S08000020,Grampian,Male,5 to 9,73.56,73.30,73.83,60.40,59.22,61.58,82.10
S08000020,Grampian,Male,10 to 14,68.61,68.35,68.87,55.67,54.51,56.83,81.15
S08000020,Grampian,Male,15 to 19,63.64,63.38,63.90,50.97,49.83,52.11,80.09
S08000020,Grampian,Male,20 to 24,58.77,58.52,59.03,46.38,45.27,47.50,78.92
S08000020,Grampian,Male,25 to 29,53.90,53.65,54.14,41.84,40.75,42.94,77.63
S08000020,Grampian,Male,30 to 34,49.08,48.84,49.33,37.41,36.34,38.48,76.22
S08000020,Grampian,Male,35 to 39,44.30,44.06,44.54,33.08,32.06,34.09,74.66
S08000020,Grampian,Male,40 to 44,39.62,39.39,39.85,28.91,27.91,29.91,72.96
S08000020,Grampian,Male,45 to 49,35.04,34.82,35.26,24.90,23.94,25.86,71.07
S08000020,Grampian,Male,50 to 54,30.56,30.35,30.78,21.08,20.14,22.01,68.96
S08000020,Grampian,Male,55 to 59,26.16,25.96,26.37,17.44,16.54,18.33,66.65
S08000020,Grampian,Male,60 to 64,21.95,21.75,22.14,14.08,13.20,14.96,64.15
S08000020,Grampian,Male,65 to 69,17.97,17.78,18.15,11.05,10.19,11.92,61.52
S08000020,Grampian,Male,70 to 74,14.31,14.14,14.49,8.37,7.50,9.25,58.50
S08000020,Grampian,Male,75 to 79,10.93,10.76,11.10,6.01,5.11,6.91,54.99
S08000020,Grampian,Male,80 to 84,8.03,7.87,8.19,4.13,3.30,4.96,51.42
S08000020,Grampian,Male,85 to 89,5.61,5.44,5.79,2.67,1.98,3.36,47.56
S08000020,Grampian,Male,90+,3.97,3.73,4.21,1.76,1.11,2.41,44.29
S08000022,Highland,Female,less than 1,82.20,81.84,82.56,65.28,63.50,67.06,79.42
S08000022,Highland,Female,1 to 4,81.40,81.06,81.74,64.52,62.73,66.30,79.26
S08000022,Highland,Female,5 to 9,77.45,77.12,77.79,60.88,59.12,62.63,78.60
S08000022,Highland,Female,10 to 14,72.48,72.15,72.82,56.32,54.62,58.02,77.70
S08000022,Highland,Female,15 to 19,67.58,67.26,67.91,51.83,50.18,53.48,76.69
S08000022,Highland,Female,20 to 24,62.74,62.43,63.05,47.47,45.88,49.06,75.66
S08000022,Highland,Female,25 to 29,57.89,57.59,58.19,43.17,41.67,44.68,74.58
S08000022,Highland,Female,30 to 34,52.93,52.63,53.22,38.83,37.42,40.24,73.37
S08000022,Highland,Female,35 to 39,48.04,47.75,48.33,34.61,33.35,35.88,72.05
S08000022,Highland,Female,40 to 44,43.27,42.99,43.55,30.56,29.38,31.74,70.62
S08000022,Highland,Female,45 to 49,38.56,38.29,38.82,26.61,25.54,27.68,69.01
S08000022,Highland,Female,50 to 54,33.85,33.59,34.11,22.78,21.76,23.79,67.29
S08000022,Highland,Female,55 to 59,29.30,29.05,29.55,19.16,18.21,20.10,65.38
S08000022,Highland,Female,60 to 64,24.94,24.70,25.17,15.80,14.90,16.71,63.36
S08000022,Highland,Female,65 to 69,20.75,20.52,20.97,12.59,11.72,13.47,60.71
S08000022,Highland,Female,70 to 74,16.64,16.43,16.85,9.59,8.72,10.46,57.64
S08000022,Highland,Female,75 to 79,12.76,12.55,12.96,6.90,6.02,7.78,54.09
S08000022,Highland,Female,80 to 84,9.45,9.26,9.64,4.76,3.92,5.61,50.38
S08000022,Highland,Female,85 to 89,6.59,6.40,6.78,3.10,2.40,3.81,47.08
S08000022,Highland,Female,90+,4.34,4.11,4.57,1.94,1.30,2.58,44.63
S08000022,Highland,Male,less than 1,77.78,77.38,78.18,64.29,62.78,65.80,82.65
S08000022,Highland,Male,1 to 4,76.87,76.48,77.26,63.38,61.86,64.89,82.45
S08000022,Highland,Male,5 to 9,72.92,72.53,73.30,59.50,58.00,61.01,81.61
S08000022,Highland,Male,10 to 14,67.93,67.54,68.31,54.69,53.20,56.18,80.51
S08000022,Highland,Male,15 to 19,62.97,62.58,63.35,49.92,48.44,51.39,79.28
S08000022,Highland,Male,20 to 24,58.19,57.82,58.56,45.37,43.92,46.83,77.98
S08000022,Highland,Male,25 to 29,53.42,53.06,53.78,40.94,39.54,42.34,76.63
S08000022,Highland,Male,30 to 34,48.93,48.59,49.27,36.81,35.50,38.12,75.23
S08000022,Highland,Male,35 to 39,44.24,43.92,44.56,32.56,31.36,33.77,73.61
S08000022,Highland,Male,40 to 44,39.69,39.38,39.99,28.52,27.43,29.60,71.85
S08000022,Highland,Male,45 to 49,35.20,34.92,35.49,24.56,23.54,25.58,69.77
S08000022,Highland,Male,50 to 54,30.75,30.48,31.02,20.71,19.77,21.66,67.36
S08000022,Highland,Male,55 to 59,26.38,26.12,26.64,17.16,16.27,18.05,65.05
S08000022,Highland,Male,60 to 64,22.33,22.08,22.57,13.93,13.09,14.77,62.38
S08000022,Highland,Male,65 to 69,18.40,18.17,18.63,11.04,10.22,11.85,59.98
S08000022,Highland,Male,70 to 74,14.73,14.51,14.95,8.38,7.57,9.20,56.90
S08000022,Highland,Male,75 to 79,11.32,11.10,11.53,6.06,5.22,6.90,53.57
S08000022,Highland,Male,80 to 84,8.28,8.07,8.48,4.10,3.26,4.94,49.54
S08000022,Highland,Male,85 to 89,5.84,5.62,6.06,2.74,2.05,3.44,46.95
S08000022,Highland,Male,90+,3.99,3.68,4.29,1.94,1.30,2.58,48.66
S08000024,Lothian,Female,less than 1,81.94,81.72,82.15,63.20,61.79,64.61,77.13
S08000024,Lothian,Female,1 to 4,81.15,80.94,81.35,62.50,61.09,63.91,77.02
S08000024,Lothian,Female,5 to 9,77.18,76.98,77.38,59.08,57.70,60.45,76.54
S08000024,Lothian,Female,10 to 14,72.19,71.99,72.40,54.72,53.40,56.05,75.80
S08000024,Lothian,Female,15 to 19,67.23,67.03,67.43,50.37,49.10,51.65,74.92
S08000024,Lothian,Female,20 to 24,62.30,62.11,62.50,46.12,44.90,47.33,74.02
S08000024,Lothian,Female,25 to 29,57.36,57.17,57.56,41.87,40.71,43.02,72.98
S08000024,Lothian,Female,30 to 34,52.43,52.23,52.62,37.63,36.52,38.75,71.78
S08000024,Lothian,Female,35 to 39,47.55,47.35,47.74,33.45,32.36,34.53,70.34
S08000024,Lothian,Female,40 to 44,42.74,42.55,42.93,29.40,28.36,30.44,68.80
S08000024,Lothian,Female,45 to 49,37.99,37.81,38.17,25.50,24.48,26.52,67.12
S08000024,Lothian,Female,50 to 54,33.32,33.14,33.50,21.70,20.71,22.69,65.13
S08000024,Lothian,Female,55 to 59,28.79,28.62,28.96,18.12,17.15,19.08,62.93
S08000024,Lothian,Female,60 to 64,24.37,24.20,24.54,14.77,13.82,15.72,60.62
S08000024,Lothian,Female,65 to 69,20.18,20.02,20.33,11.57,10.63,12.50,57.32
S08000024,Lothian,Female,70 to 74,16.19,16.04,16.34,8.60,7.66,9.53,53.12
S08000024,Lothian,Female,75 to 79,12.53,12.39,12.67,6.01,5.08,6.95,48.00
S08000024,Lothian,Female,80 to 84,9.35,9.22,9.48,3.96,3.13,4.79,42.36
S08000024,Lothian,Female,85 to 89,6.59,6.46,6.72,2.50,1.82,3.19,37.98
S08000024,Lothian,Female,90+,4.51,4.34,4.67,1.61,0.97,2.25,35.81
S08000024,Lothian,Male,less than 1,78.12,77.89,78.36,64.47,63.29,65.64,82.52
S08000024,Lothian,Male,1 to 4,77.45,77.23,77.68,63.79,62.61,64.97,82.36
S08000024,Lothian,Male,5 to 9,73.48,73.26,73.70,60.01,58.85,61.18,81.67
S08000024,Lothian,Male,10 to 14,68.53,68.31,68.75,55.31,54.17,56.45,80.71
S08000024,Lothian,Male,15 to 19,63.58,63.36,63.80,50.62,49.51,51.74,79.62
S08000024,Lothian,Male,20 to 24,58.68,58.46,58.89,46.00,44.91,47.10,78.41
S08000024,Lothian,Male,25 to 29,53.81,53.60,54.02,41.47,40.40,42.54,77.07
S08000024,Lothian,Male,30 to 34,49.01,48.80,49.21,37.04,36.00,38.09,75.59
S08000024,Lothian,Male,35 to 39,44.27,44.06,44.47,32.74,31.72,33.77,73.96
S08000024,Lothian,Male,40 to 44,39.56,39.36,39.76,28.57,27.57,29.57,72.22
S08000024,Lothian,Male,45 to 49,34.97,34.78,35.17,24.60,23.62,25.57,70.33
S08000024,Lothian,Male,50 to 54,30.47,30.28,30.66,20.79,19.83,21.75,68.23
S08000024,Lothian,Male,55 to 59,26.16,25.98,26.34,17.23,16.30,18.17,65.89
S08000024,Lothian,Male,60 to 64,21.94,21.77,22.12,13.92,13.01,14.83,63.44
S08000024,Lothian,Male,65 to 69,17.99,17.82,18.15,10.95,10.06,11.85,60.91
S08000024,Lothian,Male,70 to 74,14.30,14.14,14.46,8.30,7.39,9.20,58.04
S08000024,Lothian,Male,75 to 79,10.99,10.84,11.15,6.01,5.05,6.97,54.68
S08000024,Lothian,Male,80 to 84,8.23,8.08,8.37,4.18,3.22,5.14,50.82
S08000024,Lothian,Male,85 to 89,5.94,5.78,6.09,2.80,1.98,3.61,47.12
S08000024,Lothian,Male,90+,4.15,3.94,4.37,1.85,1.08,2.62,44.51
S08000025,Orkney,Female,less than 1,82.07,80.73,83.41,73.32,69.14,77.49,89.33
