"Table 6: Healthy Life Expectancy (HLE1) estimates by urban rural classificaiton in Scotland, 2017-2019",,,,,,,,,
,,,,,,,,,
Urban Rural (2016) code,Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)"
UR1,Male,65 to 69,17.10,16.99,17.22,9.78,9.16,10.39,57.15
UR1,Male,70 to 74,13.60,13.49,13.71,7.47,6.86,8.07,54.91
UR1,Male,75 to 79,10.45,10.34,10.55,5.47,4.83,6.11,52.35
UR1,Male,80 to 84,7.89,7.80,7.99,3.93,3.29,4.57,49.77
UR1,Male,85 to 89,5.78,5.67,5.88,2.73,2.18,3.28,47.29
UR1,Male,90+,4.15,4.00,4.31,1.93,1.39,2.46,46.36
UR2,Female,<1,80.46,80.31,80.60,60.29,59.61,60.98,74.94
UR2,Female,1 to 4,79.69,79.55,79.82,59.55,58.87,60.24,74.74
UR2,Female,5 to 9,75.73,75.59,75.87,55.96,55.28,56.63,73.89
UR2,Female,10 to 14,70.77,70.63,70.90,51.46,50.80,52.12,72.72
UR2,Female,15 to 19,65.80,65.67,65.93,46.99,46.35,47.63,71.41
UR2,Female,20 to 24,60.88,60.75,61.01,42.62,42.00,43.24,70.01
UR2,Female,25 to 29,55.98,55.85,56.11,38.36,37.76,38.96,68.52
UR2,Female,30 to 34,51.12,50.99,51.25,34.20,33.62,34.78,66.91
UR2,Female,35 to 39,46.30,46.17,46.42,30.14,29.59,30.69,65.10
UR2,Female,40 to 44,41.58,41.47,41.70,26.26,25.73,26.80,63.15
UR2,Female,45 to 49,36.98,36.87,37.09,22.57,22.06,23.09,61.04
UR2,Female,50 to 54,32.37,32.27,32.48,19.02,18.52,19.51,58.74
UR2,Female,55 to 59,27.89,27.79,28.00,15.71,15.22,16.19,56.31
UR2,Female,60 to 64,23.58,23.48,23.67,12.67,12.21,13.14,53.75
UR2,Female,65 to 69,19.42,19.33,19.51,9.85,9.41,10.30,50.75
UR2,Female,70 to 74,15.54,15.45,15.63,7.35,6.91,7.79,47.29
UR2,Female,75 to 79,11.95,11.87,12.03,5.21,4.77,5.65,43.58
UR2,Female,80 to 84,8.84,8.77,8.92,3.53,3.13,3.93,39.91
UR2,Female,85 to 89,6.27,6.19,6.35,2.29,1.96,2.62,36.54
UR2,Female,90+,4.36,4.26,4.46,1.46,1.16,1.77,33.61
UR2,Male,<1,76.51,76.35,76.67,60.00,59.35,60.64,78.42
UR2,Male,1 to 4,75.80,75.64,75.95,59.28,58.63,59.92,78.20
UR2,Male,5 to 9,71.85,71.69,72.00,55.54,54.90,56.18,77.30
UR2,Male,10 to 14,66.86,66.71,67.02,50.86,50.24,51.49,76.07
UR2,Male,15 to 19,61.90,61.75,62.06,46.25,45.64,46.87,74.72
UR2,Male,20 to 24,57.03,56.88,57.18,41.77,41.17,42.38,73.24
UR2,Male,25 to 29,52.25,52.11,52.40,37.44,36.85,38.02,71.64
UR2,Male,30 to 34,47.55,47.41,47.69,33.24,32.68,33.81,69.91
UR2,Male,35 to 39,42.91,42.77,43.04,29.20,28.66,29.74,68.05
UR2,Male,40 to 44,38.40,38.28,38.53,25.36,24.84,25.89,66.04
UR2,Male,45 to 49,34.00,33.88,34.12,21.72,21.22,22.23,63.90
UR2,Male,50 to 54,29.67,29.56,29.79,18.28,17.79,18.76,61.60
UR2,Male,55 to 59,25.38,25.27,25.49,15.00,14.54,15.47,59.13
UR2,Male,60 to 64,21.22,21.11,21.32,11.98,11.53,12.43,56.45
UR2,Male,65 to 69,17.35,17.26,17.45,9.29,8.86,9.73,53.54
UR2,Male,70 to 74,13.80,13.71,13.89,6.95,6.52,7.39,50.37
UR2,Male,75 to 79,10.55,10.46,10.64,4.94,4.49,5.39,46.87
UR2,Male,80 to 84,7.88,7.79,7.97,3.38,2.95,3.81,42.94
UR2,Male,85 to 89,5.75,5.65,5.85,2.21,1.85,2.57,38.45
UR2,Male,90+,4.21,4.07,4.35,1.39,1.04,1.74,33.02
UR3,Female,<1,82.04,81.75,82.32,62.59,61.13,64.04,76.29
UR3,Female,1 to 4,81.19,80.92,81.46,61.80,60.35,63.26,76.12
UR3,Female,5 to 9,77.21,76.94,77.48,58.22,56.79,59.65,75.40
UR3,Female,10 to 14,72.21,71.94,72.48,53.73,52.34,55.12,74.41
UR3,Female,15 to 19,67.28,67.01,67.54,49.30,47.96,50.65,73.29
UR3,Female,20 to 24,62.35,62.09,62.61,44.94,43.65,46.23,72.08
UR3,Female,25 to 29,57.44,57.19,57.70,40.66,39.42,41.89,70.77
UR3,Female,30 to 34,52.56,52.31,52.81,36.45,35.26,37.65,69.35
UR3,Female,35 to 39,47.70,47.46,47.94,32.34,31.18,33.49,67.79
UR3,Female,40 to 44,42.93,42.70,43.17,28.36,27.23,29.48,66.05
UR3,Female,45 to 49,38.15,37.92,38.37,24.48,23.40,25.56,64.17
UR3,Female,50 to 54,33.48,33.26,33.70,20.79,19.73,21.85,62.10
UR3,Female,55 to 59,28.91,28.69,29.12,17.31,16.28,18.35,59.90
UR3,Female,60 to 64,24.48,24.27,24.68,14.07,13.06,15.07,57.47
UR3,Female,65 to 69,20.25,20.05,20.44,11.07,10.10,12.04,54.69
UR3,Female,70 to 74,16.29,16.11,16.47,8.40,7.43,9.37,51.54
UR3,Female,75 to 79,12.55,12.38,12.73,6.03,5.04,7.02,48.03
UR3,Female,80 to 84,9.29,9.13,9.46,4.12,3.21,5.02,44.31
UR3,Female,85 to 89,6.59,6.42,6.75,2.69,1.93,3.45,40.83
UR3,Female,90+,4.41,4.20,4.62,1.65,0.96,2.34,37.39
UR3,Male,<1,78.41,78.10,78.73,64.08,62.91,65.26,81.73
UR3,Male,1 to 4,77.58,77.28,77.88,63.27,62.09,64.45,81.55
UR3,Male,5 to 9,73.64,73.34,73.94,59.51,58.35,60.68,80.82
UR3,Male,10 to 14,68.66,68.36,68.96,54.77,53.63,55.92,79.78
UR3,Male,15 to 19,63.68,63.38,63.98,50.02,48.89,51.14,78.54
UR3,Male,20 to 24,58.74,58.44,59.03,45.32,44.22,46.42,77.16
UR3,Male,25 to 29,53.98,53.69,54.27,40.83,39.75,41.91,75.64
UR3,Male,30 to 34,49.26,48.98,49.53,36.45,35.40,37.50,74.00
UR3,Male,35 to 39,44.65,44.39,44.91,32.21,31.19,33.23,72.14
UR3,Male,40 to 44,39.96,39.71,40.21,27.98,26.98,28.97,70.01
UR3,Male,45 to 49,35.33,35.09,35.57,23.85,22.89,24.81,67.50
UR3,Male,50 to 54,30.91,30.68,31.13,19.96,19.04,20.89,64.59
UR3,Male,55 to 59,26.49,26.27,26.71,16.28,15.39,17.18,61.47
UR3,Male,60 to 64,22.21,22.01,22.42,12.92,12.06,13.77,58.14
UR3,Male,65 to 69,18.15,17.95,18.34,9.95,9.11,10.78,54.81
UR3,Male,70 to 74,14.53,14.35,14.72,7.39,6.56,8.21,50.83
UR3,Male,75 to 79,11.10,10.92,11.28,5.15,4.32,5.98,46.39
UR3,Male,80 to 84,8.08,7.90,8.25,3.38,2.60,4.17,41.88
UR3,Male,85 to 89,5.75,5.56,5.94,2.18,1.53,2.82,37.89
UR3,Male,90+,3.98,3.71,4.24,1.38,0.79,1.98,34.83
UR4,Female,<1,80.90,80.42,81.37,63.55,61.55,65.55,78.56
UR4,Female,1 to 4,80.16,79.72,80.60,62.92,60.92,64.92,78.49
UR4,Female,5 to 9,76.22,75.79,76.66,59.56,57.61,61.50,78.14
UR4,Female,10 to 14,71.25,70.82,71.68,55.28,53.42,57.13,77.58
UR4,Female,15 to 19,66.31,65.89,66.74,50.98,49.20,52.75,76.87
UR4,Female,20 to 24,61.40,60.99,61.82,46.65,44.95,48.34,75.97
UR4,Female,25 to 29,56.51,56.10,56.91,42.30,40.69,43.91,74.86
UR4,Female,30 to 34,51.65,51.26,52.05,38.00,36.49,39.52,73.58
UR4,Female,35 to 39,46.80,46.42,47.19,33.76,32.35,35.18,72.14
UR4,Female,40 to 44,42.05,41.69,42.42,29.66,28.34,30.98,70.52
UR4,Female,45 to 49,37.56,37.22,37.90,25.83,24.55,27.11,68.77
UR4,Female,50 to 54,32.86,32.53,33.19,21.97,20.75,23.18,66.86
UR4,Female,55 to 59,28.47,28.16,28.77,18.44,17.27,19.62,64.80
UR4,Female,60 to 64,24.05,23.76,24.34,14.99,13.86,16.13,62.34
UR4,Female,65 to 69,19.87,19.60,20.15,11.94,10.83,13.04,60.06
UR4,Female,70 to 74,16.03,15.79,16.28,9.27,8.17,10.37,57.81
UR4,Female,75 to 79,12.29,12.06,12.52,6.81,5.69,7.92,55.38
UR4,Female,80 to 84,9.17,8.96,9.38,4.80,3.76,5.83,52.32
UR4,Female,85 to 89,6.35,6.14,6.55,3.04,2.19,3.89,47.91
UR4,Female,90+,4.34,4.09,4.59,1.77,0.97,2.56,40.73
UR4,Male,<1,76.88,76.38,77.39,62.35,60.59,64.10,81.09
UR4,Male,1 to 4,75.94,75.44,76.44,61.45,59.69,63.20,80.92
UR4,Male,5 to 9,71.94,71.44,72.44,57.66,55.92,59.39,80.15
UR4,Male,10 to 14,66.94,66.44,67.44,52.90,51.19,54.61,79.02
UR4,Male,15 to 19,61.96,61.46,62.46,48.14,46.46,49.82,77.69
UR4,Male,20 to 24,57.12,56.63,57.61,43.51,41.85,45.17,76.18
UR4,Male,25 to 29,52.42,51.95,52.89,39.04,37.41,40.66,74.47
UR4,Male,30 to 34,47.90,47.46,48.35,34.77,33.22,36.31,72.57
UR4,Male,35 to 39,43.35,42.93,43.77,30.55,29.09,32.01,70.47
UR4,Male,40 to 44,38.87,38.48,39.26,26.49,25.12,27.86,68.15
UR4,Male,45 to 49,34.37,34.01,34.74,22.53,21.27,23.80,65.55
UR4,Male,50 to 54,29.91,29.56,30.25,18.74,17.55,19.94,62.68
UR4,Male,55 to 59,25.55,25.22,25.87,15.21,14.10,16.33,59.55
UR4,Male,60 to 64,21.51,21.20,21.81,12.09,11.02,13.16,56.20
UR4,Male,65 to 69,17.73,17.44,18.01,9.33,8.27,10.39,52.62
UR4,Male,70 to 74,14.16,13.90,14.43,6.88,5.81,7.95,48.58
UR4,Male,75 to 79,10.91,10.66,11.16,4.80,3.69,5.92,44.03
UR4,Male,80 to 84,8.11,7.87,8.35,3.16,2.05,4.28,39.02
UR4,Male,85 to 89,5.59,5.34,5.83,1.87,1.00,2.75,33.54
UR4,Male,90+,3.97,3.62,4.32,1.10,0.31,1.89,27.66
UR5,Female,<1,82.93,82.67,83.19,65.77,64.56,66.98,79.31
UR5,Female,1 to 4,82.11,81.87,82.35,64.97,63.76,66.18,79.13
UR5,Female,5 to 9,78.14,77.90,78.38,61.24,60.04,62.43,78.37
UR5,Female,10 to 14,73.16,72.92,73.40,56.59,55.42,57.77,77.35
UR5,Female,15 to 19,68.18,67.94,68.42,51.98,50.83,53.13,76.24
UR5,Female,20 to 24,63.23,62.99,63.47,47.48,46.36,48.60,75.09
UR5,Female,25 to 29,58.33,58.10,58.56,43.12,42.05,44.19,73.92
UR5,Female,30 to 34,53.44,53.22,53.67,38.83,37.82,39.83,72.65
UR5,Female,35 to 39,48.57,48.35,48.79,34.61,33.64,35.57,71.25
UR5,Female,40 to 44,43.78,43.56,43.99,30.52,29.58,31.45,69.71
UR5,Female,45 to 49,39.01,38.81,39.22,26.53,25.62,27.43,68.00
UR5,Female,50 to 54,34.27,34.07,34.47,22.66,21.79,23.54,66.12
UR5,Female,55 to 59,29.64,29.44,29.84,18.99,18.13,19.84,64.06
UR5,Female,60 to 64,25.20,25.01,25.39,15.58,14.75,16.42,61.85
UR5,Female,65 to 69,20.92,20.74,21.10,12.38,11.56,13.20,59.19
UR5,Female,70 to 74,16.82,16.65,17.00,9.46,8.65,10.26,56.20
UR5,Female,75 to 79,12.99,12.82,13.16,6.83,6.00,7.66,52.58
UR5,Female,80 to 84,9.69,9.52,9.86,4.72,3.96,5.47,48.69
UR5,Female,85 to 89,6.84,6.66,7.02,3.09,2.46,3.73,45.19
UR5,Female,90+,4.85,4.62,5.08,2.11,1.48,2.73,43.40
UR5,Male,<1,79.71,79.43,79.99,66.03,65.05,67.00,82.83
UR5,Male,1 to 4,78.92,78.66,79.19,65.24,64.27,66.22,82.66
UR5,Male,5 to 9,74.93,74.67,75.19,61.39,60.42,62.36,81.93
UR5,Male,10 to 14,69.95,69.69,70.21,56.58,55.62,57.54,80.88
UR5,Male,15 to 19,64.97,64.71,65.23,51.77,50.81,52.72,79.68
UR5,Male,20 to 24,60.09,59.84,60.35,47.07,46.12,48.01,78.32
UR5,Male,25 to 29,55.27,55.02,55.51,42.46,41.53,43.39,76.83
UR5,Male,30 to 34,50.55,50.31,50.78,38.01,37.10,38.92,75.19
UR5,Male,35 to 39,45.88,45.66,46.10,33.65,32.77,34.54,73.36
UR5,Male,40 to 44,41.15,40.94,41.37,29.34,28.48,30.20,71.30
UR5,Male,45 to 49,36.52,36.32,36.72,25.18,24.35,26.01,68.95
UR5,Male,50 to 54,31.95,31.76,32.15,21.20,20.39,22.01,66.34
UR5,Male,55 to 59,27.39,27.21,27.58,17.38,16.60,18.17,63.46
UR5,Male,60 to 64,22.98,22.80,23.16,13.88,13.13,14.64,60.42
UR5,Male,65 to 69,18.87,18.69,19.04,10.80,10.06,11.54,57.22
UR5,Male,70 to 74,15.01,14.84,15.17,8.02,7.29,8.75,53.43
UR5,Male,75 to 79,11.41,11.25,11.57,5.63,4.87,6.38,49.33
UR5,Male,80 to 84,8.39,8.23,8.55,3.74,3.03,4.45,44.58
UR5,Male,85 to 89,5.97,5.79,6.15,2.35,1.77,2.94,39.42
UR5,Male,90+,4.14,3.89,4.39,1.40,0.86,1.93,33.72
UR6,Female,<1,83.07,82.73,83.40,63.78,61.80,65.76,76.78
UR6,Female,1 to 4,82.14,81.81,82.47,62.97,60.98,64.95,76.66
UR6,Female,5 to 9,78.16,77.84,78.49,59.49,57.56,61.41,76.11
UR6,Female,10 to 14,73.18,72.85,73.50,55.18,53.34,57.01,75.40
UR6,Female,15 to 19,68.21,67.88,68.53,50.88,49.15,52.61,74.60
UR6,Female,20 to 24,63.34,63.03,63.65,46.78,45.16,48.39,73.85
UR6,Female,25 to 29,58.48,58.19,58.78,42.78,41.33,44.23,73.15
UR6,Female,30 to 34,53.59,53.30,53.87,38.75,37.43,40.08,72.32
UR6,Female,35 to 39,48.70,48.42,48.98,34.78,33.55,36.01,71.42
UR6,Female,40 to 44,43.87,43.61,44.14,30.88,29.77,31.98,70.38
UR6,Female,45 to 49,39.06,38.80,39.32,26.99,25.95,28.03,69.10
UR6,Female,50 to 54,34.38,34.13,34.62,23.26,22.27,24.26,67.67
UR6,Female,55 to 59,29.75,29.51,29.99,19.62,18.67,20.58,65.97
UR6,Female,60 to 64,25.30,25.07,25.52,16.18,15.26,17.10,63.95
UR6,Female,65 to 69,21.02,20.81,21.24,12.85,11.95,13.74,61.11
UR6,Female,70 to 74,16.86,16.66,17.07,9.73,8.84,10.61,57.67
UR6,Female,75 to 79,12.93,12.73,13.13,6.94,6.05,7.83,53.65
UR6,Female,80 to 84,9.40,9.21,9.58,4.60,3.79,5.41,48.93
UR6,Female,85 to 89,6.48,6.30,6.67,2.93,2.26,3.60,45.22
UR6,Female,90+,4.23,4.01,4.45,1.94,1.34,2.54,45.82
UR6,Male,<1,79.35,78.95,79.75,65.53,64.02,67.05,82.59
UR6,Male,1 to 4,78.46,78.07,78.85,64.62,63.11,66.14,82.36
UR6,Male,5 to 9,74.54,74.15,74.92,60.68,59.17,62.20,81.42
UR6,Male,10 to 14,69.55,69.17,69.93,55.73,54.22,57.25,80.13
UR6,Male,15 to 19,64.60,64.23,64.98,50.90,49.40,52.41,78.80
UR6,Male,20 to 24,59.89,59.53,60.25,46.37,44.88,47.86,77.42
UR6,Male,25 to 29,55.07,54.72,55.41,41.84,40.40,43.29,75.99
UR6,Male,30 to 34,50.40,50.08,50.73,37.56,36.19,38.93,74.52
UR6,Male,35 to 39,45.71,45.41,46.02,33.36,32.09,34.64,72.99
UR6,Male,40 to 44,41.05,40.76,41.33,29.30,28.11,30.49,71.39
UR6,Male,45 to 49,36.43,36.16,36.70,25.39,24.27,26.50,69.68
UR6,Male,50 to 54,31.82,31.56,32.08,21.60,20.56,22.64,67.88
UR6,Male,55 to 59,27.39,27.15,27.64,18.08,17.09,19.07,66.01
UR6,Male,60 to 64,23.12,22.88,23.35,14.79,13.82,15.76,63.99
UR6,Male,65 to 69,18.98,18.76,19.20,11.77,10.82,12.71,62.01
UR6,Male,70 to 74,15.15,14.94,15.36,9.06,8.10,10.02,59.78
UR6,Male,75 to 79,11.58,11.37,11.79,6.63,5.62,7.64,57.28
UR6,Male,80 to 84,8.52,8.31,8.72,4.67,3.63,5.71,54.81
UR6,Male,85 to 89,6.01,5.78,6.24,3.13,2.26,4.00,52.12
UR6,Male,90+,4.21,3.90,4.53,2.13,1.30,2.97,50.60
,,,,,,,,,
Footnotes,,,,,,,,,
1) HLE estimates are based on the five point response general health question in the annual population survey (APS). Those answered as in 'good' or 'very good' health were classified as being in health.,,,,,,,,,
,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
