"Table 3: Healthy Life Expectancy (HLE1) estimates by health board in Scotland, 2017-2019",,,,,,,,,,
,,,,,,,,,,
NHS Board,Area code,Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)"
Ayrshire and Arran,S08000015,Male,25 to 29,52.14,51.80,52.48,36.93,35.95,37.91,70.82
Ayrshire and Arran,S08000015,Male,30 to 34,47.53,47.20,47.86,32.78,31.85,33.72,68.98
Ayrshire and Arran,S08000015,Male,35 to 39,42.87,42.56,43.18,28.71,27.81,29.61,66.98
Ayrshire and Arran,S08000015,Male,40 to 44,38.50,38.21,38.78,24.95,24.09,25.80,64.81
Ayrshire and Arran,S08000015,Male,45 to 49,34.14,33.88,34.40,21.31,20.50,22.11,62.41
Ayrshire and Arran,S08000015,Male,50 to 54,29.91,29.66,30.15,17.88,17.11,18.66,59.79
Ayrshire and Arran,S08000015,Male,55 to 59,25.58,25.35,25.81,14.58,13.84,15.32,56.99
Ayrshire and Arran,S08000015,Male,60 to 64,21.39,21.17,21.61,11.55,10.85,12.25,53.97
Ayrshire and Arran,S08000015,Male,65 to 69,17.40,17.19,17.61,8.84,8.17,9.51,50.81
Ayrshire and Arran,S08000015,Male,70 to 74,13.83,13.63,14.02,6.53,5.88,7.18,47.20
Ayrshire and Arran,S08000015,Male,75 to 79,10.54,10.35,10.73,4.56,3.89,5.23,43.27
Ayrshire and Arran,S08000015,Male,80 to 84,7.79,7.60,7.97,3.04,2.41,3.67,39.01
Ayrshire and Arran,S08000015,Male,85 to 89,5.62,5.42,5.83,1.92,1.40,2.43,34.10
Ayrshire and Arran,S08000015,Male,90+,4.18,3.87,4.49,1.20,0.70,1.69,28.59
Borders,S08000016,Female,<1,81.93,81.32,82.54,63.81,61.68,65.95,77.89
Borders,S08000016,Female,1 to 4,81.17,80.60,81.73,63.09,60.96,65.23,77.74
Borders,S08000016,Female,5 to 9,77.17,76.60,77.73,59.47,57.36,61.57,77.06
Borders,S08000016,Female,10 to 14,72.21,71.65,72.77,55.00,52.95,57.05,76.17
Borders,S08000016,Female,15 to 19,67.21,66.65,67.77,50.51,48.51,52.50,75.15
Borders,S08000016,Female,20 to 24,62.28,61.73,62.84,46.17,44.25,48.10,74.13
Borders,S08000016,Female,25 to 29,57.47,56.94,58.00,42.00,40.17,43.83,73.09
Borders,S08000016,Female,30 to 34,52.75,52.25,53.24,38.02,36.28,39.76,72.08
Borders,S08000016,Female,35 to 39,47.96,47.48,48.43,34.04,32.38,35.70,70.98
Borders,S08000016,Female,40 to 44,43.21,42.76,43.66,30.12,28.53,31.70,69.70
Borders,S08000016,Female,45 to 49,38.48,38.06,38.91,26.24,24.74,27.73,68.17
Borders,S08000016,Female,50 to 54,33.73,33.32,34.15,22.44,21.00,23.88,66.52
Borders,S08000016,Female,55 to 59,29.24,28.85,29.64,18.91,17.51,20.31,64.66
Borders,S08000016,Female,60 to 64,24.85,24.48,25.23,15.54,14.17,16.90,62.51
Borders,S08000016,Female,65 to 69,20.57,20.22,20.93,12.28,10.95,13.62,59.69
Borders,S08000016,Female,70 to 74,16.56,16.23,16.89,9.29,7.98,10.60,56.12
Borders,S08000016,Female,75 to 79,12.70,12.38,13.01,6.54,5.20,7.88,51.49
Borders,S08000016,Female,80 to 84,9.34,9.05,9.62,4.39,3.23,5.55,47.02
Borders,S08000016,Female,85 to 89,6.40,6.12,6.67,2.75,1.81,3.70,43.04
Borders,S08000016,Female,90+,3.91,3.58,4.23,1.63,0.84,2.42,41.73
Borders,S08000016,Male,<1,79.15,78.49,79.81,63.31,61.41,65.21,79.99
Borders,S08000016,Male,1 to 4,78.41,77.79,79.03,62.55,60.64,64.45,79.77
Borders,S08000016,Male,5 to 9,74.41,73.79,75.03,58.72,56.83,60.60,78.91
Borders,S08000016,Male,10 to 14,69.44,68.83,70.06,54.01,52.15,55.86,77.77
Borders,S08000016,Male,15 to 19,64.44,63.83,65.06,49.24,47.42,51.07,76.41
Borders,S08000016,Male,20 to 24,59.48,58.87,60.09,44.63,42.85,46.41,75.03
Borders,S08000016,Male,25 to 29,54.78,54.20,55.36,40.27,38.53,42.01,73.52
Borders,S08000016,Male,30 to 34,49.95,49.39,50.52,35.91,34.24,37.58,71.89
Borders,S08000016,Male,35 to 39,45.43,44.91,45.94,31.98,30.38,33.58,70.39
Borders,S08000016,Male,40 to 44,40.90,40.43,41.38,28.06,26.53,29.59,68.61
Borders,S08000016,Male,45 to 49,36.37,35.93,36.80,24.07,22.64,25.50,66.17
Borders,S08000016,Male,50 to 54,31.84,31.44,32.25,20.23,18.87,21.60,63.54
Borders,S08000016,Male,55 to 59,27.36,26.97,27.75,16.58,15.26,17.91,60.62
Borders,S08000016,Male,60 to 64,22.94,22.57,23.31,13.19,11.91,14.46,57.48
Borders,S08000016,Male,65 to 69,18.79,18.45,19.14,10.23,9.01,11.46,54.45
Borders,S08000016,Male,70 to 74,14.85,14.53,15.18,7.27,6.07,8.46,48.92
Borders,S08000016,Male,75 to 79,11.17,10.85,11.48,4.86,3.64,6.08,43.51
Borders,S08000016,Male,80 to 84,8.03,7.73,8.33,2.99,2.02,3.97,37.30
Borders,S08000016,Male,85 to 89,5.53,5.23,5.84,1.64,0.89,2.40,29.72
Borders,S08000016,Male,90+,3.47,3.06,3.88,1.01,0.39,1.63,29.03
Dumfries and Galloway,S08000017,Female,<1,81.44,80.92,81.95,62.53,60.32,64.74,76.78
Dumfries and Galloway,S08000017,Female,1 to 4,80.62,80.13,81.10,61.80,59.59,64.01,76.66
Dumfries and Galloway,S08000017,Female,5 to 9,76.66,76.18,77.14,58.34,56.20,60.49,76.11
Dumfries and Galloway,S08000017,Female,10 to 14,71.66,71.18,72.14,53.98,51.94,56.02,75.33
Dumfries and Galloway,S08000017,Female,15 to 19,66.69,66.21,67.16,49.63,47.70,51.56,74.42
Dumfries and Galloway,S08000017,Female,20 to 24,61.78,61.32,62.25,45.37,43.56,47.18,73.43
Dumfries and Galloway,S08000017,Female,25 to 29,56.92,56.47,57.37,41.19,39.47,42.90,72.36
Dumfries and Galloway,S08000017,Female,30 to 34,52.06,51.63,52.50,37.04,35.40,38.68,71.15
Dumfries and Galloway,S08000017,Female,35 to 39,47.28,46.86,47.70,33.01,31.49,34.53,69.82
Dumfries and Galloway,S08000017,Female,40 to 44,42.61,42.22,43.00,29.12,27.68,30.56,68.35
Dumfries and Galloway,S08000017,Female,45 to 49,37.89,37.52,38.26,25.29,23.92,26.65,66.74
Dumfries and Galloway,S08000017,Female,50 to 54,33.22,32.87,33.57,21.59,20.29,22.89,65.00
Dumfries and Galloway,S08000017,Female,55 to 59,28.58,28.24,28.92,18.03,16.79,19.26,63.07
Dumfries and Galloway,S08000017,Female,60 to 64,24.24,23.92,24.55,14.79,13.59,15.98,61.01
Dumfries and Galloway,S08000017,Female,65 to 69,20.04,19.75,20.34,11.76,10.59,12.92,58.65
Dumfries and Galloway,S08000017,Female,70 to 74,16.13,15.86,16.41,9.03,7.88,10.18,55.97
Dumfries and Galloway,S08000017,Female,75 to 79,12.35,12.10,12.61,6.54,5.43,7.66,52.98
Dumfries and Galloway,S08000017,Female,80 to 84,8.96,8.72,9.20,4.46,3.43,5.50,49.80
Dumfries and Galloway,S08000017,Female,85 to 89,6.06,5.83,6.29,2.82,1.99,3.65,46.49
Dumfries and Galloway,S08000017,Female,90+,3.95,3.67,4.23,1.70,0.97,2.43,43.03
Dumfries and Galloway,S08000017,Male,<1,78.19,77.59,78.80,62.39,60.57,64.22,79.80
Dumfries and Galloway,S08000017,Male,1 to 4,77.53,76.97,78.09,61.71,59.88,63.55,79.60
Dumfries and Galloway,S08000017,Male,5 to 9,73.53,72.97,74.09,57.92,56.11,59.73,78.77
Dumfries and Galloway,S08000017,Male,10 to 14,68.53,67.97,69.09,53.18,51.41,54.96,77.60
Dumfries and Galloway,S08000017,Male,15 to 19,63.56,63.00,64.12,48.49,46.75,50.22,76.29
Dumfries and Galloway,S08000017,Male,20 to 24,58.69,58.14,59.24,43.92,42.22,45.61,74.83
Dumfries and Galloway,S08000017,Male,25 to 29,53.86,53.32,54.39,39.43,37.80,41.06,73.21
Dumfries and Galloway,S08000017,Male,30 to 34,49.09,48.57,49.61,35.07,33.52,36.63,71.45
Dumfries and Galloway,S08000017,Male,35 to 39,44.50,44.01,44.99,30.94,29.46,32.43,69.54
Dumfries and Galloway,S08000017,Male,40 to 44,40.12,39.68,40.56,27.06,25.64,28.48,67.45
Dumfries and Galloway,S08000017,Male,45 to 49,35.76,35.37,36.16,23.31,21.98,24.65,65.19
Dumfries and Galloway,S08000017,Male,50 to 54,31.33,30.96,31.70,19.63,18.35,20.91,62.66
Dumfries and Galloway,S08000017,Male,55 to 59,26.95,26.61,27.30,16.16,14.92,17.40,59.96
Dumfries and Galloway,S08000017,Male,60 to 64,22.64,22.31,22.96,12.93,11.75,14.11,57.13
Dumfries and Galloway,S08000017,Male,65 to 69,18.54,18.23,18.84,10.04,8.92,11.16,54.19
Dumfries and Galloway,S08000017,Male,70 to 74,14.70,14.41,14.99,7.47,6.37,8.57,50.82
Dumfries and Galloway,S08000017,Male,75 to 79,11.18,10.90,11.46,5.25,4.14,6.37,46.98
Dumfries and Galloway,S08000017,Male,80 to 84,8.18,7.91,8.45,3.50,2.45,4.56,42.81
Dumfries and Galloway,S08000017,Male,85 to 89,5.76,5.48,6.05,2.21,1.34,3.07,38.25
Dumfries and Galloway,S08000017,Male,90+,3.92,3.53,4.32,1.29,0.53,2.06,33.00
Fife,S08000029,Female,<1,81.15,80.80,81.49,61.27,59.07,63.46,75.50
Fife,S08000029,Female,1 to 4,80.50,80.18,80.81,60.61,58.40,62.81,75.29
Fife,S08000029,Female,5 to 9,76.55,76.24,76.86,56.99,54.83,59.15,74.45
Fife,S08000029,Female,10 to 14,71.58,71.27,71.88,52.48,50.39,54.57,73.32
Fife,S08000029,Female,15 to 19,66.60,66.29,66.91,48.05,46.05,50.04,72.14
Fife,S08000029,Female,20 to 24,61.67,61.37,61.98,43.70,41.80,45.59,70.85
Fife,S08000029,Female,25 to 29,56.78,56.48,57.08,39.44,37.60,41.28,69.46
Fife,S08000029,Female,30 to 34,51.88,51.58,52.17,35.26,33.48,37.04,67.97
Fife,S08000029,Female,35 to 39,47.04,46.75,47.33,31.27,29.56,32.98,66.48
Fife,S08000029,Female,40 to 44,42.35,42.08,42.63,27.48,25.83,29.13,64.89
Fife,S08000029,Female,45 to 49,37.64,37.38,37.91,23.80,22.21,25.38,63.21
Fife,S08000029,Female,50 to 54,33.09,32.83,33.34,20.34,18.84,21.84,61.49
Fife,S08000029,Female,55 to 59,28.52,28.28,28.77,16.98,15.51,18.45,59.54
Fife,S08000029,Female,60 to 64,24.28,24.05,24.51,13.96,12.53,15.39,57.50
Fife,S08000029,Female,65 to 69,20.04,19.82,20.26,11.14,9.75,12.53,55.58
Fife,S08000029,Female,70 to 74,16.11,15.91,16.32,8.66,7.28,10.05,53.76
Fife,S08000029,Female,75 to 79,12.41,12.21,12.60,6.45,5.06,7.84,52.01
Fife,S08000029,Female,80 to 84,9.16,8.97,9.34,4.56,3.15,5.97,49.85
Fife,S08000029,Female,85 to 89,6.56,6.38,6.75,3.05,1.85,4.25,46.50
Fife,S08000029,Female,90+,4.46,4.23,4.69,1.83,0.72,2.95,41.09
Fife,S08000029,Male,<1,77.30,76.93,77.67,61.56,59.78,63.34,79.64
Fife,S08000029,Male,1 to 4,76.63,76.28,76.97,60.85,59.06,62.64,79.42
Fife,S08000029,Male,5 to 9,72.69,72.34,73.03,57.03,55.25,58.81,78.46
Fife,S08000029,Male,10 to 14,67.71,67.37,68.05,52.24,50.48,54.00,77.15
Fife,S08000029,Male,15 to 19,62.77,62.43,63.11,47.52,45.79,49.26,75.71
Fife,S08000029,Male,20 to 24,57.91,57.57,58.24,42.93,41.23,44.63,74.13
Fife,S08000029,Male,25 to 29,53.07,52.74,53.39,38.43,36.77,40.09,72.41
Fife,S08000029,Male,30 to 34,48.31,47.99,48.63,34.08,32.47,35.70,70.55
Fife,S08000029,Male,35 to 39,43.66,43.36,43.96,29.92,28.36,31.49,68.54
Fife,S08000029,Male,40 to 44,39.10,38.82,39.39,25.95,24.44,27.47,66.38
Fife,S08000029,Male,45 to 49,34.56,34.29,34.83,22.12,20.68,23.57,64.02
Fife,S08000029,Male,50 to 54,30.24,29.98,30.49,18.59,17.21,19.96,61.47
Fife,S08000029,Male,55 to 59,25.89,25.65,26.14,15.21,13.91,16.51,58.74
Fife,S08000029,Male,60 to 64,21.66,21.43,21.90,12.10,10.87,13.33,55.86
Fife,S08000029,Male,65 to 69,17.74,17.52,17.96,9.36,8.17,10.54,52.73
Fife,S08000029,Male,70 to 74,14.21,14.00,14.41,7.01,5.86,8.15,49.31
Fife,S08000029,Male,75 to 79,10.77,10.57,10.97,4.90,3.74,6.06,45.48
Fife,S08000029,Male,80 to 84,7.94,7.75,8.14,3.27,2.21,4.33,41.15
Fife,S08000029,Male,85 to 89,5.75,5.54,5.96,2.11,1.23,2.98,36.62
Fife,S08000029,Male,90+,4.00,3.71,4.29,1.25,0.46,2.05,31.41
Forth Valley,S08000019,Female,<1,81.12,80.75,81.49,61.49,60.21,62.77,75.80
Forth Valley,S08000019,Female,1 to 4,80.38,80.04,80.72,60.75,59.47,62.04,75.58
Forth Valley,S08000019,Female,5 to 9,76.43,76.09,76.77,57.10,55.83,58.36,74.70
Forth Valley,S08000019,Female,10 to 14,71.45,71.11,71.78,52.47,51.23,53.71,73.44
Forth Valley,S08000019,Female,15 to 19,66.50,66.17,66.83,47.86,46.65,49.08,71.98
Forth Valley,S08000019,Female,20 to 24,61.53,61.20,61.86,43.32,42.15,44.50,70.42
Forth Valley,S08000019,Female,25 to 29,56.64,56.31,56.96,38.98,37.84,40.12,68.82
Forth Valley,S08000019,Female,30 to 34,51.77,51.45,52.09,34.75,33.64,35.85,67.12
Forth Valley,S08000019,Female,35 to 39,46.90,46.59,47.22,30.53,29.46,31.60,65.09
Forth Valley,S08000019,Female,40 to 44,42.15,41.85,42.45,26.45,25.41,27.49,62.76
Forth Valley,S08000019,Female,45 to 49,37.49,37.20,37.78,22.56,21.55,23.57,60.19
Forth Valley,S08000019,Female,50 to 54,32.76,32.48,33.04,18.81,17.83,19.78,57.40
Forth Valley,S08000019,Female,55 to 59,28.28,28.01,28.55,15.40,14.45,16.34,54.44
Forth Valley,S08000019,Female,60 to 64,23.91,23.65,24.17,12.28,11.38,13.19,51.39
Forth Valley,S08000019,Female,65 to 69,19.80,19.56,20.05,9.38,8.51,10.26,47.39
Forth Valley,S08000019,Female,70 to 74,15.84,15.61,16.07,6.73,5.87,7.59,42.47
Forth Valley,S08000019,Female,75 to 79,12.19,11.97,12.41,4.52,3.65,5.38,37.07
Forth Valley,S08000019,Female,80 to 84,8.95,8.74,9.17,2.91,2.09,3.72,32.47
Forth Valley,S08000019,Female,85 to 89,6.48,6.26,6.69,1.84,1.17,2.51,28.35
Forth Valley,S08000019,Female,90+,4.48,4.21,4.76,1.31,0.66,1.96,29.25
Forth Valley,S08000019,Male,<1,77.48,77.08,77.89,62.26,61.06,63.46,80.35
Forth Valley,S08000019,Male,1 to 4,76.73,76.35,77.12,61.52,60.31,62.73,80.17
Forth Valley,S08000019,Male,5 to 9,72.77,72.39,73.14,57.77,56.57,58.96,79.39
Forth Valley,S08000019,Male,10 to 14,67.77,67.39,68.14,53.06,51.89,54.23,78.30
Forth Valley,S08000019,Male,15 to 19,62.82,62.44,63.19,48.41,47.26,49.57,77.07
Forth Valley,S08000019,Male,20 to 24,57.92,57.55,58.29,43.85,42.72,44.98,75.71
Forth Valley,S08000019,Male,25 to 29,53.12,52.76,53.48,39.42,38.32,40.52,74.21
Forth Valley,S08000019,Male,30 to 34,48.41,48.06,48.76,35.13,34.07,36.19,72.57
Forth Valley,S08000019,Male,35 to 39,43.70,43.36,44.04,30.93,29.90,31.96,70.78
Forth Valley,S08000019,Male,40 to 44,39.11,38.79,39.44,26.92,25.92,27.92,68.83
Forth Valley,S08000019,Male,45 to 49,34.69,34.39,34.99,23.13,22.16,24.10,66.67
Forth Valley,S08000019,Male,50 to 54,30.31,30.02,30.59,19.50,18.56,20.43,64.34
Forth Valley,S08000019,Male,55 to 59,25.84,25.56,26.12,15.98,15.07,16.88,61.82
Forth Valley,S08000019,Male,60 to 64,21.66,21.39,21.93,12.80,11.94,13.67,59.11
Forth Valley,S08000019,Male,65 to 69,17.76,17.50,18.01,9.98,9.14,10.83,56.22
Forth Valley,S08000019,Male,70 to 74,14.13,13.89,14.37,7.49,6.66,8.32,53.02
Forth Valley,S08000019,Male,75 to 79,10.76,10.53,11.00,5.33,4.48,6.19,49.55
Forth Valley,S08000019,Male,80 to 84,8.01,7.77,8.25,3.66,2.80,4.51,45.64
Forth Valley,S08000019,Male,85 to 89,5.86,5.59,6.13,2.43,1.71,3.15,41.40
Forth Valley,S08000019,Male,90+,4.40,3.99,4.80,1.62,0.90,2.35,36.94
Grampian,S08000020,Female,<1,81.97,81.71,82.23,63.96,62.53,65.38,78.03
Grampian,S08000020,Female,1 to 4,81.15,80.90,81.40,63.21,61.78,64.63,77.89
Grampian,S08000020,Female,5 to 9,77.21,76.96,77.46,59.68,58.29,61.07,77.30
Grampian,S08000020,Female,10 to 14,72.23,71.99,72.48,55.22,53.88,56.56,76.45
Grampian,S08000020,Female,15 to 19,67.24,67.00,67.49,50.77,49.49,52.06,75.51
Grampian,S08000020,Female,20 to 24,62.30,62.06,62.54,46.43,45.20,47.66,74.52
Grampian,S08000020,Female,25 to 29,57.41,57.17,57.64,42.16,41.00,43.32,73.44
Grampian,S08000020,Female,30 to 34,52.50,52.27,52.74,37.90,36.76,39.03,72.18
Grampian,S08000020,Female,35 to 39,47.68,47.45,47.91,33.75,32.65,34.85,70.78
Grampian,S08000020,Female,40 to 44,42.88,42.65,43.10,29.66,28.60,30.72,69.18
Grampian,S08000020,Female,45 to 49,38.17,37.95,38.39,25.73,24.71,26.75,67.41
Grampian,S08000020,Female,50 to 54,33.51,33.31,33.72,21.91,20.92,22.90,65.38
Grampian,S08000020,Female,55 to 59,28.98,28.78,29.18,18.28,17.33,19.24,63.09
Grampian,S08000020,Female,60 to 64,24.55,24.36,24.74,14.85,13.93,15.76,60.48
Grampian,S08000020,Female,65 to 69,20.32,20.14,20.51,11.63,10.73,12.52,57.22
Grampian,S08000020,Female,70 to 74,16.35,16.17,16.52,8.71,7.83,9.58,53.26
Grampian,S08000020,Female,75 to 79,12.57,12.41,12.73,6.11,5.24,6.99,48.62
Grampian,S08000020,Female,80 to 84,9.27,9.11,9.42,4.06,3.30,4.82,43.83
Grampian,S08000020,Female,85 to 89,6.44,6.29,6.59,2.57,1.95,3.19,39.94
Grampian,S08000020,Female,90+,4.40,4.21,4.60,1.72,1.14,2.31,39.14
Grampian,S08000020,Male,<1,78.52,78.25,78.79,64.40,63.20,65.61,82.02
Grampian,S08000020,Male,1 to 4,77.65,77.39,77.91,63.53,62.32,64.74,81.82
Grampian,S08000020,Male,5 to 9,73.69,73.43,73.95,59.66,58.46,60.86,80.97
Grampian,S08000020,Male,10 to 14,68.72,68.47,68.98,54.84,53.64,56.03,79.80
Grampian,S08000020,Male,15 to 19,63.74,63.48,63.99,50.05,48.86,51.23,78.52
Grampian,S08000020,Male,20 to 24,58.84,58.59,59.10,45.39,44.22,46.57,77.14
Grampian,S08000020,Male,25 to 29,53.95,53.71,54.20,40.82,39.71,41.93,75.65
Grampian,S08000020,Male,30 to 34,49.16,48.92,49.41,36.39,35.31,37.47,74.02
Grampian,S08000020,Male,35 to 39,44.43,44.20,44.67,32.10,31.04,33.15,72.24
Grampian,S08000020,Male,40 to 44,39.73,39.50,39.96,27.93,26.92,28.94,70.30
Grampian,S08000020,Male,45 to 49,35.13,34.92,35.35,23.93,22.96,24.91,68.12
Grampian,S08000020,Male,50 to 54,30.64,30.43,30.85,20.11,19.17,21.06,65.65
Grampian,S08000020,Male,55 to 59,26.20,26.00,26.41,16.50,15.59,17.40,62.96
Grampian,S08000020,Male,60 to 64,21.95,21.76,22.15,13.19,12.30,14.07,60.06
Grampian,S08000020,Male,65 to 69,18.01,17.83,18.19,10.28,9.42,11.15,57.10
Grampian,S08000020,Male,70 to 74,14.31,14.13,14.48,7.67,6.80,8.53,53.59
Grampian,S08000020,Male,75 to 79,10.90,10.73,11.07,5.38,4.48,6.28,49.38
Grampian,S08000020,Male,80 to 84,8.02,7.86,8.18,3.64,2.78,4.51,45.38
Grampian,S08000020,Male,85 to 89,5.62,5.45,5.79,2.32,1.62,3.03,41.30
Grampian,S08000020,Male,90+,3.95,3.71,4.19,1.55,0.89,2.21,39.14
Greater Glasgow and Clyde,S08000031,Female,<1,79.95,79.76,80.15,60.43,59.35,61.50,75.58
Greater Glasgow and Clyde,S08000031,Female,1 to 4,79.23,79.05,79.41,59.67,58.59,60.76,75.31
Greater Glasgow and Clyde,S08000031,Female,5 to 9,75.28,75.10,75.46,55.89,54.82,56.97,74.25
Greater Glasgow and Clyde,S08000031,Female,10 to 14,70.31,70.13,70.49,51.23,50.17,52.29,72.86
Greater Glasgow and Clyde,S08000031,Female,15 to 19,65.35,65.17,65.53,46.65,45.61,47.69,71.39
Greater Glasgow and Clyde,S08000031,Female,20 to 24,60.42,60.25,60.60,42.21,41.19,43.22,69.86
Greater Glasgow and Clyde,S08000031,Female,25 to 29,55.50,55.33,55.67,37.87,36.88,38.87,68.24
Greater Glasgow and Clyde,S08000031,Female,30 to 34,50.60,50.42,50.77,33.67,32.71,34.63,66.55
Greater Glasgow and Clyde,S08000031,Female,35 to 39,45.71,45.54,45.88,29.61,28.68,30.54,64.77
Greater Glasgow and Clyde,S08000031,Female,40 to 44,41.02,40.85,41.18,25.82,24.93,26.71,62.95
Greater Glasgow and Clyde,S08000031,Female,45 to 49,36.43,36.27,36.58,22.24,21.40,23.08,61.06
Greater Glasgow and Clyde,S08000031,Female,50 to 54,31.91,31.76,32.06,18.85,18.04,19.66,59.08
Greater Glasgow and Clyde,S08000031,Female,55 to 59,27.48,27.34,27.63,15.68,14.90,16.46,57.06
Greater Glasgow and Clyde,S08000031,Female,60 to 64,23.19,23.05,23.33,12.74,11.98,13.49,54.93
Greater Glasgow and Clyde,S08000031,Female,65 to 69,19.12,18.99,19.26,10.05,9.33,10.76,52.53
Greater Glasgow and Clyde,S08000031,Female,70 to 74,15.37,15.25,15.49,7.68,6.97,8.39,49.96
Greater Glasgow and Clyde,S08000031,Female,75 to 79,11.96,11.85,12.08,5.66,4.94,6.37,47.29
Greater Glasgow and Clyde,S08000031,Female,80 to 84,9.01,8.90,9.11,4.02,3.32,4.71,44.61
Greater Glasgow and Clyde,S08000031,Female,85 to 89,6.51,6.40,6.62,2.74,2.15,3.33,42.06
Greater Glasgow and Clyde,S08000031,Female,90+,4.56,4.42,4.70,1.81,1.24,2.37,39.62
Greater Glasgow and Clyde,S08000031,Male,<1,75.40,75.19,75.61,59.01,57.97,60.05,78.26
Greater Glasgow and Clyde,S08000031,Male,1 to 4,74.71,74.51,74.91,58.27,57.22,59.31,77.99
Greater Glasgow and Clyde,S08000031,Male,5 to 9,70.74,70.54,70.94,54.40,53.36,55.44,76.90
Greater Glasgow and Clyde,S08000031,Male,10 to 14,65.76,65.56,65.96,49.62,48.60,50.65,75.46
Greater Glasgow and Clyde,S08000031,Male,15 to 19,60.80,60.61,61.00,44.95,43.95,45.95,73.93
Greater Glasgow and Clyde,S08000031,Male,20 to 24,55.93,55.74,56.12,40.44,39.47,41.41,72.30
Greater Glasgow and Clyde,S08000031,Male,25 to 29,51.13,50.94,51.32,36.08,35.14,37.02,70.56
Greater Glasgow and Clyde,S08000031,Male,30 to 34,46.33,46.14,46.51,31.84,30.93,32.75,68.73
Greater Glasgow and Clyde,S08000031,Male,35 to 39,41.61,41.43,41.80,27.79,26.92,28.67,66.79
Greater Glasgow and Clyde,S08000031,Male,40 to 44,37.04,36.87,37.22,24.00,23.17,24.84,64.80
Greater Glasgow and Clyde,S08000031,Male,45 to 49,32.76,32.59,32.93,20.56,19.77,21.35,62.76
Greater Glasgow and Clyde,S08000031,Male,50 to 54,28.59,28.43,28.74,17.31,16.56,18.07,60.57
Greater Glasgow and Clyde,S08000031,Male,55 to 59,24.47,24.32,24.62,14.26,13.54,14.98,58.29
Greater Glasgow and Clyde,S08000031,Male,60 to 64,20.48,20.33,20.62,11.46,10.77,12.14,55.94
