"Table 4: Healthy Life Expectancy (HLE1) estimates by SIMD decile in Scotland, 2017-2019",,,,,,,,,,
,,,,,,,,,,
SIMD decile,Sex,Age Group,LE,LE lower CI,LE upper CI,HLE,HLE lower CI,HLE upper CI,Proportion of life in good health ,
2,Female,40 to 44,38.60,38.36,38.84,21.48,20.13,22.82,55.64,
2,Female,45 to 49,34.13,33.91,34.36,18.29,17.01,19.56,53.58,
2,Female,50 to 54,29.66,29.44,29.87,15.27,14.03,16.51,51.49,
2,Female,55 to 59,25.38,25.17,25.58,12.57,11.37,13.76,49.52,
2,Female,60 to 64,21.33,21.13,21.52,10.19,9.02,11.35,47.76,
2,Female,65 to 69,17.49,17.31,17.67,8.01,6.86,9.16,45.81,
2,Female,70 to 74,13.98,13.81,14.14,6.09,4.91,7.26,43.55,
2,Female,75 to 79,10.79,10.63,10.94,4.45,3.19,5.72,41.27,
2,Female,80 to 84,8.21,8.07,8.35,3.23,1.80,4.66,39.34,
2,Female,85 to 89,5.96,5.82,6.11,2.24,1.03,3.45,37.55,
2,Female,90+,4.15,3.97,4.33,1.55,0.41,2.69,37.32,
2,Male,<1,72.02,71.70,72.33,53.10,51.68,54.52,73.73,
2,Male,1 to 4,71.43,71.13,71.73,52.42,50.99,53.85,73.39,
2,Male,5 to 9,67.50,67.21,67.80,48.57,47.14,50.00,71.95,
2,Male,10 to 14,62.51,62.21,62.80,43.80,42.39,45.22,70.08,
2,Male,15 to 19,57.56,57.27,57.85,39.18,37.78,40.57,68.06,
2,Male,20 to 24,52.71,52.42,53.00,34.73,33.36,36.10,65.90,
2,Male,25 to 29,47.99,47.71,48.27,30.50,29.15,31.84,63.55,
2,Male,30 to 34,43.31,43.03,43.58,26.44,25.14,27.74,61.05,
2,Male,35 to 39,38.74,38.47,39.01,22.65,21.40,23.89,58.46,
2,Male,40 to 44,34.41,34.15,34.66,19.22,18.02,20.42,55.86,
2,Male,45 to 49,30.32,30.08,30.56,16.11,14.98,17.25,53.15,
2,Male,50 to 54,26.38,26.16,26.60,13.25,12.16,14.34,50.24,
2,Male,55 to 59,22.47,22.26,22.67,10.66,9.63,11.69,47.45,
2,Male,60 to 64,18.68,18.49,18.88,8.41,7.44,9.39,45.04,
2,Male,65 to 69,15.22,15.03,15.40,6.56,5.60,7.52,43.09,
2,Male,70 to 74,12.14,11.97,12.31,4.99,4.01,5.96,41.08,
2,Male,75 to 79,9.30,9.13,9.46,3.59,2.53,4.64,38.58,
2,Male,80 to 84,7.05,6.89,7.21,2.60,1.43,3.77,36.86,
2,Male,85 to 89,5.32,5.14,5.50,1.86,0.86,2.86,34.99,
2,Male,90+,4.09,3.81,4.37,1.39,0.37,2.42,34.03,
3,Female,<1,79.09,78.80,79.37,55.38,53.91,56.85,70.02,
3,Female,1 to 4,78.42,78.15,78.68,54.72,53.25,56.20,69.78,
3,Female,5 to 9,74.47,74.21,74.74,51.22,49.77,52.67,68.77,
3,Female,10 to 14,69.48,69.22,69.74,46.79,45.38,48.21,67.35,
3,Female,15 to 19,64.51,64.25,64.77,42.37,41.00,43.75,65.69,
3,Female,20 to 24,59.52,59.26,59.78,38.04,36.72,39.37,63.91,
3,Female,25 to 29,54.60,54.34,54.85,33.83,32.54,35.12,61.96,
3,Female,30 to 34,49.67,49.42,49.93,29.69,28.44,30.95,59.77,
3,Female,35 to 39,44.86,44.61,45.11,25.71,24.49,26.93,57.32,
3,Female,40 to 44,40.16,39.92,40.40,22.01,20.82,23.19,54.79,
3,Female,45 to 49,35.64,35.41,35.87,18.59,17.48,19.69,52.15,
3,Female,50 to 54,31.12,30.90,31.34,15.32,14.26,16.38,49.23,
3,Female,55 to 59,26.77,26.56,26.98,12.40,11.39,13.41,46.32,
3,Female,60 to 64,22.57,22.37,22.77,9.89,8.94,10.85,43.84,
3,Female,65 to 69,18.67,18.49,18.86,7.60,6.70,8.51,40.73,
3,Female,70 to 74,15.06,14.89,15.23,5.58,4.71,6.45,37.04,
3,Female,75 to 79,11.70,11.54,11.86,3.90,3.03,4.76,33.33,
3,Female,80 to 84,8.82,8.67,8.97,2.70,1.91,3.50,30.67,
3,Female,85 to 89,6.32,6.17,6.48,1.84,1.18,2.50,29.09,
3,Female,90+,4.47,4.27,4.67,1.36,0.71,2.02,30.50,
3,Male,<1,73.97,73.64,74.30,56.40,55.07,57.73,76.25,
3,Male,1 to 4,73.57,73.27,73.87,55.90,54.56,57.24,75.98,
3,Male,5 to 9,69.59,69.29,69.90,52.14,50.81,53.46,74.92,
3,Male,10 to 14,64.62,64.32,64.92,47.46,46.15,48.77,73.45,
3,Male,15 to 19,59.64,59.34,59.94,42.82,41.53,44.11,71.80,
3,Male,20 to 24,54.83,54.54,55.12,38.34,37.07,39.60,69.92,
3,Male,25 to 29,50.11,49.82,50.39,34.02,32.78,35.26,67.90,
3,Male,30 to 34,45.41,45.13,45.68,29.79,28.57,31.00,65.60,
3,Male,35 to 39,40.77,40.50,41.04,25.72,24.55,26.89,63.08,
3,Male,40 to 44,36.36,36.10,36.62,22.00,20.87,23.14,60.51,
3,Male,45 to 49,32.14,31.90,32.38,18.58,17.50,19.66,57.81,
3,Male,50 to 54,28.05,27.83,28.28,15.35,14.31,16.39,54.72,
3,Male,55 to 59,23.95,23.74,24.16,12.35,11.37,13.34,51.58,
3,Male,60 to 64,20.03,19.83,20.23,9.75,8.79,10.70,48.66,
3,Male,65 to 69,16.38,16.19,16.57,7.64,6.73,8.55,46.63,
3,Male,70 to 74,12.96,12.79,13.14,5.70,4.82,6.59,43.98,
3,Male,75 to 79,9.98,9.81,10.15,4.09,3.17,5.01,40.95,
3,Male,80 to 84,7.57,7.41,7.74,2.89,1.92,3.86,38.11,
3,Male,85 to 89,5.55,5.37,5.74,2.02,1.21,2.84,36.46,
3,Male,90+,4.02,3.75,4.29,1.52,0.71,2.32,37.69,
4,Female,<1,80.32,80.04,80.60,59.76,58.35,61.18,74.40,
4,Female,1 to 4,79.58,79.31,79.84,59.04,57.62,60.46,74.19,
4,Female,5 to 9,75.63,75.38,75.89,55.45,54.05,56.85,73.31,
4,Female,10 to 14,70.65,70.40,70.91,50.96,49.59,52.32,72.12,
4,Female,15 to 19,65.67,65.41,65.92,46.51,45.18,47.83,70.82,
4,Female,20 to 24,60.76,60.51,61.01,42.20,40.92,43.47,69.45,
4,Female,25 to 29,55.84,55.59,56.08,37.96,36.73,39.19,67.98,
4,Female,30 to 34,50.93,50.68,51.17,33.79,32.62,34.97,66.36,
4,Female,35 to 39,46.08,45.84,46.32,29.75,28.62,30.88,64.56,
4,Female,40 to 44,41.36,41.12,41.59,25.92,24.83,27.00,62.67,
4,Female,45 to 49,36.71,36.49,36.93,22.28,21.25,23.32,60.70,
4,Female,50 to 54,32.11,31.90,32.32,18.83,17.84,19.82,58.64,
4,Female,55 to 59,27.67,27.46,27.87,15.64,14.69,16.59,56.53,
4,Female,60 to 64,23.37,23.18,23.57,12.72,11.81,13.62,54.42,
4,Female,65 to 69,19.24,19.05,19.42,9.94,9.10,10.78,51.67,
4,Female,70 to 74,15.48,15.31,15.65,7.56,6.74,8.38,48.83,
4,Female,75 to 79,11.99,11.83,12.15,5.46,4.64,6.28,45.54,
4,Female,80 to 84,8.99,8.83,9.14,3.83,3.14,4.53,42.66,
4,Female,85 to 89,6.37,6.21,6.53,2.59,2.01,3.17,40.65,
4,Female,90+,4.61,4.40,4.81,1.83,1.25,2.41,39.68,
4,Male,<1,76.04,75.74,76.34,59.83,58.57,61.10,78.68,
4,Male,1 to 4,75.29,75.00,75.58,59.06,57.79,60.33,78.44,
4,Male,5 to 9,71.37,71.08,71.65,55.27,54.01,56.53,77.44,
4,Male,10 to 14,66.38,66.09,66.66,50.49,49.24,51.74,76.06,
4,Male,15 to 19,61.41,61.13,61.69,45.77,44.53,47.01,74.53,
4,Male,20 to 24,56.58,56.31,56.86,41.22,40.00,42.44,72.84,
4,Male,25 to 29,51.78,51.51,52.05,36.75,35.55,37.95,70.98,
4,Male,30 to 34,47.01,46.75,47.28,32.40,31.24,33.56,68.91,
4,Male,35 to 39,42.41,42.15,42.66,28.26,27.15,29.37,66.64,
4,Male,40 to 44,37.79,37.54,38.04,24.29,23.22,25.35,64.27,
4,Male,45 to 49,33.36,33.13,33.59,20.58,19.58,21.58,61.70,
4,Male,50 to 54,29.07,28.85,29.28,17.11,16.15,18.06,58.86,
4,Male,55 to 59,24.81,24.61,25.02,13.87,12.97,14.77,55.88,
4,Male,60 to 64,20.67,20.48,20.87,10.94,10.08,11.80,52.93,
4,Male,65 to 69,16.87,16.68,17.05,8.46,7.64,9.29,50.18,
4,Male,70 to 74,13.44,13.27,13.62,6.32,5.52,7.13,47.04,
4,Male,75 to 79,10.35,10.18,10.52,4.51,3.69,5.33,43.59,
4,Male,80 to 84,7.74,7.58,7.91,3.12,2.39,3.85,40.30,
4,Male,85 to 89,5.63,5.45,5.81,2.10,1.49,2.71,37.29,
4,Male,90+,4.05,3.78,4.31,1.45,0.86,2.03,35.71,
5,Female,<1,81.13,80.86,81.40,61.16,59.70,62.63,75.39,
5,Female,1 to 4,80.32,80.07,80.57,60.41,58.94,61.88,75.21,
5,Female,5 to 9,76.35,76.10,76.60,56.85,55.41,58.29,74.46,
5,Female,10 to 14,71.36,71.11,71.61,52.35,50.96,53.74,73.36,
5,Female,15 to 19,66.39,66.14,66.63,47.87,46.53,49.21,72.11,
5,Female,20 to 24,61.48,61.23,61.72,43.49,42.21,44.78,70.75,
5,Female,25 to 29,56.61,56.37,56.85,39.21,37.97,40.44,69.26,
5,Female,30 to 34,51.71,51.48,51.94,34.93,33.73,36.13,67.54,
5,Female,35 to 39,46.83,46.60,47.05,30.71,29.55,31.88,65.59,
5,Female,40 to 44,42.04,41.82,42.26,26.69,25.57,27.81,63.50,
5,Female,45 to 49,37.33,37.11,37.54,22.83,21.77,23.90,61.17,
5,Female,50 to 54,32.69,32.48,32.89,19.16,18.15,20.17,58.62,
5,Female,55 to 59,28.21,28.02,28.41,15.78,14.81,16.76,55.95,
5,Female,60 to 64,23.87,23.68,24.05,12.64,11.69,13.58,52.95,
5,Female,65 to 69,19.70,19.53,19.88,9.72,8.82,10.62,49.32,
5,Female,70 to 74,15.74,15.58,15.90,7.08,6.20,7.96,44.99,
5,Female,75 to 79,12.16,12.01,12.32,4.86,3.98,5.73,39.92,
5,Female,80 to 84,8.96,8.82,9.10,3.14,2.36,3.92,35.09,
5,Female,85 to 89,6.26,6.12,6.40,1.97,1.34,2.60,31.48,
5,Female,90+,4.32,4.14,4.50,1.27,0.69,1.85,29.43,
5,Male,<1,77.53,77.24,77.82,61.58,60.21,62.96,79.43,
5,Male,1 to 4,76.70,76.42,76.98,60.78,59.41,62.16,79.25,
5,Male,5 to 9,72.75,72.48,73.03,57.12,55.77,58.47,78.51,
5,Male,10 to 14,67.77,67.50,68.05,52.49,51.18,53.80,77.45,
5,Male,15 to 19,62.80,62.53,63.08,47.88,46.60,49.15,76.23,
5,Male,20 to 24,57.94,57.68,58.21,43.37,42.14,44.60,74.85,
5,Male,25 to 29,53.12,52.86,53.38,38.94,37.77,40.10,73.30,
5,Male,30 to 34,48.33,48.08,48.59,34.58,33.45,35.72,71.55,
5,Male,35 to 39,43.64,43.40,43.89,30.38,29.28,31.48,69.61,
5,Male,40 to 44,38.98,38.74,39.21,26.32,25.25,27.39,67.53,
5,Male,45 to 49,34.49,34.27,34.72,22.46,21.43,23.49,65.11,
5,Male,50 to 54,30.05,29.84,30.26,18.74,17.76,19.72,62.35,
5,Male,55 to 59,25.63,25.42,25.83,15.23,14.30,16.15,59.41,
5,Male,60 to 64,21.46,21.26,21.65,12.08,11.18,12.97,56.29,
5,Male,65 to 69,17.56,17.38,17.74,9.40,8.53,10.27,53.56,
5,Male,70 to 74,13.94,13.76,14.11,7.00,6.14,7.86,50.23,
5,Male,75 to 79,10.65,10.49,10.82,4.92,4.04,5.80,46.20,
5,Male,80 to 84,7.92,7.76,8.09,3.36,2.50,4.22,42.39,
5,Male,85 to 89,5.66,5.48,5.83,2.26,1.55,2.98,39.97,
5,Male,90+,4.12,3.86,4.37,1.59,0.89,2.29,38.72,
6,Female,<1,82.03,81.77,82.29,64.28,62.88,65.68,78.36,
6,Female,1 to 4,81.19,80.95,81.44,63.52,62.12,64.92,78.24,
6,Female,5 to 9,77.24,76.99,77.48,60.00,58.63,61.38,77.69,
6,Female,10 to 14,72.25,72.01,72.49,55.57,54.23,56.91,76.91,
6,Female,15 to 19,67.28,67.04,67.52,51.14,49.84,52.44,76.01,
6,Female,20 to 24,62.33,62.10,62.57,46.76,45.50,48.02,75.01,
6,Female,25 to 29,57.42,57.19,57.65,42.44,41.23,43.64,73.91,
6,Female,30 to 34,52.54,52.32,52.77,38.19,37.03,39.34,72.68,
6,Female,35 to 39,47.62,47.39,47.84,33.96,32.85,35.07,71.31,
6,Female,40 to 44,42.84,42.63,43.06,29.91,28.84,30.99,69.82,
6,Female,45 to 49,38.09,37.88,38.30,25.97,24.95,26.98,68.18,
6,Female,50 to 54,33.41,33.21,33.61,22.18,21.20,23.16,66.38,
6,Female,55 to 59,28.81,28.62,29.01,18.57,17.62,19.51,64.44,
6,Female,60 to 64,24.41,24.23,24.60,15.21,14.30,16.13,62.31,
6,Female,65 to 69,20.14,19.96,20.31,12.06,11.17,12.95,59.89,
6,Female,70 to 74,16.09,15.92,16.25,9.20,8.33,10.07,57.18,
6,Female,75 to 79,12.27,12.11,12.42,6.64,5.77,7.51,54.15,
6,Female,80 to 84,9.00,8.86,9.15,4.58,3.81,5.35,50.87,
6,Female,85 to 89,6.33,6.18,6.47,3.00,2.35,3.64,47.40,
6,Female,90+,4.14,3.97,4.32,1.80,1.23,2.38,43.55,
6,Male,<1,78.54,78.26,78.82,65.33,64.15,66.51,83.18,
6,Male,1 to 4,77.72,77.45,77.98,64.49,63.31,65.67,82.98,
6,Male,5 to 9,73.74,73.48,74.01,60.56,59.38,61.73,82.11,
6,Male,10 to 14,68.77,68.50,69.04,55.68,54.52,56.84,80.96,
6,Male,15 to 19,63.77,63.50,64.04,50.82,49.68,51.96,79.69,
6,Male,20 to 24,58.92,58.66,59.18,46.15,45.04,47.27,78.33,
6,Male,25 to 29,54.01,53.75,54.27,41.51,40.42,42.60,76.85,
6,Male,30 to 34,49.20,48.95,49.45,37.02,35.97,38.07,75.25,
6,Male,35 to 39,44.45,44.21,44.69,32.67,31.65,33.69,73.50,
6,Male,40 to 44,39.79,39.56,40.03,28.49,27.50,29.48,71.59,
6,Male,45 to 49,35.23,35.01,35.45,24.48,23.53,25.44,69.49,
6,Male,50 to 54,30.73,30.52,30.93,20.63,19.70,21.56,67.14,
6,Male,55 to 59,26.33,26.13,26.53,17.02,16.12,17.91,64.62,
6,Male,60 to 64,22.10,21.91,22.29,13.71,12.84,14.58,62.01,
6,Male,65 to 69,18.10,17.92,18.28,10.75,9.89,11.60,59.37,
6,Male,70 to 74,14.36,14.18,14.53,8.06,7.20,8.93,56.18,
6,Male,75 to 79,10.94,10.78,11.11,5.77,4.86,6.69,52.76,
6,Male,80 to 84,8.02,7.86,8.18,3.93,2.97,4.88,48.96,
6,Male,85 to 89,5.74,5.57,5.91,2.60,1.80,3.40,45.33,
6,Male,90+,3.83,3.60,4.07,1.66,0.94,2.38,43.22,
7,Female,<1,82.76,82.50,83.02,64.65,63.12,66.17,78.12,
7,Female,1 to 4,81.94,81.69,82.19,63.89,62.37,65.41,77.97,
7,Female,5 to 9,77.98,77.74,78.22,60.35,58.86,61.84,77.39,
7,Female,10 to 14,73.01,72.77,73.25,55.91,54.46,57.35,76.57,
7,Female,15 to 19,68.06,67.82,68.30,51.50,50.11,52.90,75.67,
7,Female,20 to 24,63.13,62.90,63.37,47.19,45.86,48.53,74.75,
7,Female,25 to 29,58.23,58.00,58.46,42.96,41.68,44.24,73.78,
7,Female,30 to 34,53.32,53.09,53.54,38.75,37.53,39.97,72.68,
7,Female,35 to 39,48.45,48.23,48.67,34.61,33.46,35.77,71.44,
7,Female,40 to 44,43.59,43.38,43.81,30.54,29.45,31.64,70.07,
7,Female,45 to 49,38.81,38.60,39.01,26.58,25.52,27.65,68.50,
7,Female,50 to 54,34.09,33.89,34.29,22.76,21.73,23.79,66.76,
7,Female,55 to 59,29.45,29.26,29.65,19.08,18.09,20.08,64.80,
7,Female,60 to 64,24.94,24.75,25.13,15.60,14.65,16.56,62.57,
7,Female,65 to 69,20.64,20.46,20.82,12.30,11.36,13.24,59.61,
7,Female,70 to 74,16.50,16.33,16.67,9.26,8.33,10.19,56.09,
7,Female,75 to 79,12.65,12.48,12.81,6.56,5.62,7.51,51.91,
7,Female,80 to 84,9.30,9.15,9.46,4.45,3.58,5.31,47.79,
7,Female,85 to 89,6.50,6.34,6.65,2.86,2.14,3.57,43.98,
7,Female,90+,4.42,4.24,4.61,1.88,1.20,2.55,42.40,
7,Male,<1,80.05,79.77,80.32,65.49,64.31,66.68,81.82,
7,Male,1 to 4,79.17,78.91,79.44,64.66,63.47,65.85,81.66,
7,Male,5 to 9,75.19,74.93,75.46,60.91,59.73,62.09,81.00,
7,Male,10 to 14,70.23,69.96,70.49,56.22,55.06,57.39,80.06,
7,Male,15 to 19,65.30,65.04,65.56,51.55,50.40,52.70,78.94,
7,Male,20 to 24,60.39,60.14,60.65,46.92,45.78,48.05,77.69,
7,Male,25 to 29,55.56,55.31,55.81,42.38,41.27,43.49,76.28,
7,Male,30 to 34,50.77,50.52,51.01,37.94,36.88,39.00,74.73,
7,Male,35 to 39,46.02,45.78,46.25,33.59,32.55,34.62,72.99,
7,Male,40 to 44,41.27,41.04,41.49,29.29,28.29,30.30,70.99,
7,Male,45 to 49,36.59,36.37,36.81,25.10,24.14,26.05,68.59,
7,Male,50 to 54,31.95,31.73,32.16,21.04,20.11,21.96,65.85,
7,Male,55 to 59,27.43,27.23,27.64,17.21,16.31,18.12,62.75,
7,Male,60 to 64,23.05,22.86,23.25,13.70,12.82,14.57,59.42,
7,Male,65 to 69,18.83,18.65,19.02,10.56,9.71,11.41,56.08,
7,Male,70 to 74,14.98,14.80,15.16,7.79,6.94,8.64,52.01,
7,Male,75 to 79,11.40,11.23,11.58,5.37,4.50,6.25,47.14,
7,Male,80 to 84,8.35,8.18,8.53,3.52,2.71,4.33,42.14,
7,Male,85 to 89,6.00,5.81,6.19,2.24,1.57,2.92,37.41,
7,Male,90+,4.31,4.05,4.58,1.47,0.82,2.11,33.99,
8,Female,<1,83.48,83.23,83.74,68.29,66.91,69.67,81.80,
8,Female,1 to 4,82.71,82.48,82.95,67.53,66.15,68.92,81.65,
8,Female,5 to 9,78.72,78.49,78.96,63.76,62.40,65.13,81.00,
8,Female,10 to 14,73.76,73.53,73.99,59.06,57.72,60.40,80.07,
8,Female,15 to 19,68.80,68.57,69.03,54.38,53.06,55.69,79.03,
8,Female,20 to 24,63.86,63.63,64.08,49.72,48.43,51.00,77.85,
8,Female,25 to 29,58.92,58.70,59.15,45.10,43.85,46.35,76.55,
8,Female,30 to 34,54.01,53.79,54.23,40.57,39.36,41.78,75.12,
8,Female,35 to 39,49.09,48.88,49.31,36.12,34.97,37.28,73.58,
8,Female,40 to 44,44.24,44.02,44.45,31.82,30.69,32.95,71.94,
8,Female,45 to 49,39.44,39.23,39.64,27.67,26.58,28.76,70.17,
8,Female,50 to 54,34.65,34.45,34.85,23.66,22.60,24.73,68.29,
8,Female,55 to 59,29.99,29.79,30.18,19.88,18.84,20.92,66.29,
8,Female,60 to 64,25.40,25.21,25.59,16.29,15.28,17.30,64.14,
8,Female,65 to 69,21.03,20.85,21.21,13.03,12.05,14.02,61.96,
8,Female,70 to 74,16.86,16.69,17.03,10.07,9.09,11.04,59.72,
8,Female,75 to 79,12.89,12.73,13.06,7.39,6.41,8.36,57.29,
8,Female,80 to 84,9.46,9.30,9.61,5.16,4.26,6.06,54.59,
8,Female,85 to 89,6.54,6.38,6.69,3.33,2.58,4.08,50.93,
8,Female,90+,4.39,4.20,4.58,2.02,1.33,2.72,46.04,
8,Male,<1,80.47,80.20,80.74,68.30,67.16,69.44,84.88,
8,Male,1 to 4,79.60,79.34,79.86,67.43,66.29,68.58,84.71,
8,Male,5 to 9,75.66,75.41,75.92,63.57,62.43,64.71,84.02,
8,Male,10 to 14,70.69,70.43,70.94,58.72,57.58,59.85,83.07,
8,Male,15 to 19,65.72,65.46,65.97,53.89,52.77,55.02,82.01,
8,Male,20 to 24,60.82,60.57,61.07,49.19,48.07,50.30,80.87,
8,Male,25 to 29,55.95,55.71,56.20,44.56,43.45,45.66,79.63,
8,Male,30 to 34,51.14,50.90,51.37,40.02,38.95,41.10,78.26,
8,Male,35 to 39,46.30,46.07,46.53,35.49,34.45,36.54,76.66,
8,Male,40 to 44,41.51,41.29,41.74,31.07,30.05,32.08,74.84,
8,Male,45 to 49,36.79,36.57,37.01,26.76,25.78,27.75,72.74,
8,Male,50 to 54,32.16,31.95,32.37,22.61,21.66,23.57,70.31,
8,Male,55 to 59,27.61,27.40,27.81,18.68,17.76,19.61,67.67,
8,Male,60 to 64,23.19,22.99,23.39,15.00,14.11,15.90,64.70,
8,Male,65 to 69,18.96,18.77,19.15,11.66,10.79,12.53,61.50,
8,Male,70 to 74,15.06,14.88,15.24,8.66,7.79,9.52,57.47,
8,Male,75 to 79,11.41,11.23,11.59,6.07,5.20,6.95,53.24,
8,Male,80 to 84,8.44,8.27,8.61,4.06,3.27,4.86,48.15,
8,Male,85 to 89,5.95,5.76,6.13,2.57,1.91,3.23,43.18,
8,Male,90+,4.06,3.81,4.32,1.72,1.11,2.33,42.29,
9,Female,<1,84.68,84.43,84.93,70.04,68.66,71.43,82.72,
9,Female,1 to 4,83.80,83.56,84.03,69.21,67.82,70.60,82.60,
9,Female,5 to 9,79.84,79.60,80.07,65.52,64.15,66.89,82.06,
9,Female,10 to 14,74.86,74.63,75.10,60.85,59.51,62.19,81.29,
9,Female,15 to 19,69.89,69.66,70.13,56.19,54.87,57.50,80.39,
9,Female,20 to 24,64.96,64.73,65.19,51.56,50.28,52.85,79.38,
9,Female,25 to 29,59.99,59.76,60.22,46.94,45.68,48.21,78.25,
9,Female,30 to 34,55.04,54.82,55.27,42.37,41.14,43.61,76.98,
9,Female,35 to 39,50.10,49.87,50.32,37.84,36.64,39.05,75.54,
9,Female,40 to 44,45.20,44.98,45.42,33.41,32.22,34.60,73.93,
9,Female,45 to 49,40.35,40.13,40.56,29.09,27.94,30.25,72.11,
9,Female,50 to 54,35.52,35.30,35.73,24.89,23.76,26.02,70.08,
9,Female,55 to 59,30.80,30.59,31.00,20.88,19.77,21.99,67.80,
9,Female,60 to 64,26.20,26.00,26.40,17.08,15.99,18.18,65.22,
9,Female,65 to 69,21.75,21.56,21.94,13.53,12.46,14.60,62.23,
9,Female,70 to 74,17.52,17.34,17.71,10.29,9.22,11.36,58.71,
9,Female,75 to 79,13.52,13.34,13.70,7.39,6.32,8.47,54.68,
9,Female,80 to 84,9.94,9.76,10.11,4.99,4.00,5.98,50.17,
9,Female,85 to 89,7.02,6.84,7.19,3.18,2.34,4.02,45.35,
9,Female,90+,5.08,4.86,5.30,2.10,1.26,2.94,41.27,
9,Male,<1,81.71,81.45,81.98,69.97,68.72,71.22,85.63,
9,Male,1 to 4,80.82,80.57,81.08,69.10,67.85,70.35,85.50,
9,Male,5 to 9,76.83,76.58,77.08,65.28,64.05,66.51,84.97,
9,Male,10 to 14,71.85,71.60,72.11,60.51,59.30,61.72,84.22,
9,Male,15 to 19,66.90,66.65,67.15,55.78,54.60,56.96,83.38,
