"Table 4: Healthy Life Expectancy HLE estimates by SIMD decile in Scotland, 2019-2021",,,,,,,,,
,,,,,,,,,
SIMD decile,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%)
Decile 1 (most deprived),Male,40 to 44,31.62,31.34,31.89,16.36,14.93,17.79,51.75
Decile 1 (most deprived),Male,45 to 49,27.88,27.63,28.14,13.75,12.44,15.07,49.32
Decile 1 (most deprived),Male,50 to 54,24.42,24.19,24.65,11.42,10.18,12.66,46.77
Decile 1 (most deprived),Male,55 to 59,20.99,20.77,21.21,9.32,8.17,10.47,44.39
Decile 1 (most deprived),Male,60 to 64,17.66,17.46,17.87,7.56,6.43,8.69,42.82
Decile 1 (most deprived),Male,65 to 69,14.53,14.34,14.73,6.19,5.07,7.31,42.57
Decile 1 (most deprived),Male,70 to 74,11.70,11.51,11.89,4.89,3.75,6.02,41.77
Decile 1 (most deprived),Male,75 to 79,9.18,8.99,9.37,3.79,2.54,5.04,41.33
Decile 1 (most deprived),Male,80 to 84,7.25,7.05,7.45,3.02,1.86,4.18,41.59
Decile 1 (most deprived),Male,85 to 89,5.85,5.60,6.10,2.58,1.51,3.66,44.18
Decile 1 (most deprived),Male,90+,4.98,4.58,5.38,2.56,1.28,3.84,51.44
Decile 2,Female,<1,76.62,76.32,76.91,51.65,49.55,53.76,67.42
Decile 2,Female,1 to 4,75.99,75.71,76.26,51.03,48.91,53.14,67.15
Decile 2,Female,5 to 9,72.07,71.80,72.34,47.62,45.55,49.68,66.07
Decile 2,Female,10 to 14,67.10,66.83,67.37,43.41,41.43,45.39,64.69
Decile 2,Female,15 to 19,62.11,61.85,62.38,39.30,37.42,41.18,63.27
Decile 2,Female,20 to 24,57.17,56.91,57.44,35.35,33.59,37.11,61.83
Decile 2,Female,25 to 29,52.33,52.07,52.59,31.61,29.93,33.28,60.39
Decile 2,Female,30 to 34,47.48,47.23,47.73,27.96,26.38,29.55,58.90
Decile 2,Female,35 to 39,42.75,42.50,43.00,24.52,23.06,25.99,57.37
Decile 2,Female,40 to 44,38.11,37.87,38.35,21.30,19.90,22.69,55.89
Decile 2,Female,45 to 49,33.65,33.43,33.88,18.31,17.00,19.61,54.40
Decile 2,Female,50 to 54,29.37,29.15,29.58,15.54,14.33,16.74,52.91
Decile 2,Female,55 to 59,25.16,24.96,25.36,12.96,11.84,14.09,51.53
Decile 2,Female,60 to 64,21.09,20.90,21.28,10.61,9.54,11.67,50.28
Decile 2,Female,65 to 69,17.29,17.11,17.47,8.46,7.47,9.46,48.94
Decile 2,Female,70 to 74,13.78,13.61,13.94,6.54,5.56,7.51,47.43
Decile 2,Female,75 to 79,10.76,10.61,10.92,4.94,3.96,5.93,45.93
Decile 2,Female,80 to 84,8.13,7.98,8.27,3.63,2.73,4.53,44.67
Decile 2,Female,85 to 89,5.91,5.77,6.05,2.57,1.81,3.34,43.52
Decile 2,Female,90+,4.19,4.01,4.37,1.82,1.08,2.55,43.34
Decile 2,Male,<1,71.31,71.00,71.63,49.99,48.19,51.79,70.10
Decile 2,Male,1 to 4,70.67,70.37,70.97,49.27,47.47,51.07,69.72
Decile 2,Male,5 to 9,66.73,66.43,67.02,45.48,43.69,47.28,68.16
Decile 2,Male,10 to 14,61.73,61.44,62.03,40.84,39.08,42.60,66.16
Decile 2,Male,15 to 19,56.75,56.45,57.04,36.36,34.65,38.06,64.07
Decile 2,Male,20 to 24,51.96,51.68,52.25,32.17,30.52,33.81,61.91
Decile 2,Male,25 to 29,47.24,46.96,47.52,28.18,26.61,29.76,59.66
Decile 2,Male,30 to 34,42.57,42.29,42.84,24.40,22.93,25.88,57.33
Decile 2,Male,35 to 39,38.04,37.77,38.30,20.88,19.48,22.28,54.89
Decile 2,Male,40 to 44,33.67,33.42,33.93,17.63,16.31,18.94,52.35
Decile 2,Male,45 to 49,29.62,29.39,29.86,14.72,13.48,15.96,49.70
Decile 2,Male,50 to 54,25.76,25.54,25.98,12.09,10.94,13.24,46.94
Decile 2,Male,55 to 59,21.96,21.76,22.16,9.67,8.62,10.73,44.05
Decile 2,Male,60 to 64,18.24,18.05,18.44,7.48,6.49,8.47,41.00
Decile 2,Male,65 to 69,14.87,14.69,15.05,5.61,4.66,6.56,37.74
Decile 2,Male,70 to 74,11.81,11.65,11.98,4.05,3.11,4.98,34.25
Decile 2,Male,75 to 79,9.11,8.94,9.27,2.78,1.79,3.76,30.49
Decile 2,Male,80 to 84,6.96,6.80,7.12,1.83,0.97,2.70,26.33
Decile 2,Male,85 to 89,5.37,5.18,5.56,1.17,0.45,1.88,21.72
Decile 2,Male,90+,4.42,4.12,4.72,0.73,0.03,1.43,16.47
Decile 3,Female,<1,78.43,78.14,78.72,55.50,53.53,57.46,70.76
Decile 3,Female,1 to 4,77.73,77.46,78.00,54.82,52.85,56.79,70.53
Decile 3,Female,5 to 9,73.80,73.53,74.06,51.33,49.41,53.24,69.55
Decile 3,Female,10 to 14,68.82,68.55,69.09,46.97,45.16,48.79,68.26
Decile 3,Female,15 to 19,63.87,63.60,64.13,42.72,41.02,44.41,66.89
Decile 3,Female,20 to 24,58.93,58.67,59.19,38.55,36.99,40.11,65.41
Decile 3,Female,25 to 29,54.09,53.83,54.34,34.53,33.06,35.99,63.83
Decile 3,Female,30 to 34,49.15,48.90,49.41,30.56,29.16,31.96,62.17
Decile 3,Female,35 to 39,44.39,44.14,44.63,26.82,25.48,28.16,60.42
Decile 3,Female,40 to 44,39.75,39.51,39.99,23.27,22.01,24.53,58.53
Decile 3,Female,45 to 49,35.26,35.03,35.48,19.92,18.72,21.12,56.50
Decile 3,Female,50 to 54,30.83,30.62,31.04,16.76,15.64,17.88,54.36
Decile 3,Female,55 to 59,26.49,26.29,26.69,13.78,12.72,14.84,52.02
Decile 3,Female,60 to 64,22.35,22.16,22.55,11.04,10.02,12.05,49.37
Decile 3,Female,65 to 69,18.35,18.17,18.53,8.55,7.61,9.49,46.61
Decile 3,Female,70 to 74,14.72,14.56,14.88,6.43,5.53,7.34,43.71
Decile 3,Female,75 to 79,11.36,11.21,11.52,4.60,3.73,5.47,40.47
Decile 3,Female,80 to 84,8.47,8.33,8.61,3.10,2.35,3.85,36.54
Decile 3,Female,85 to 89,6.09,5.95,6.23,1.93,1.32,2.55,31.75
Decile 3,Female,90+,4.11,3.93,4.29,1.03,0.51,1.56,25.08
Decile 3,Male,<1,73.24,72.92,73.56,55.05,53.29,56.81,75.16
Decile 3,Male,1 to 4,72.63,72.33,72.93,54.38,52.61,56.15,74.87
Decile 3,Male,5 to 9,68.70,68.40,69.00,50.62,48.88,52.37,73.69
Decile 3,Male,10 to 14,63.71,63.41,64.01,45.95,44.25,47.64,72.12
Decile 3,Male,15 to 19,58.76,58.47,59.06,41.39,39.76,43.02,70.45
Decile 3,Male,20 to 24,53.99,53.70,54.28,37.07,35.52,38.62,68.66
Decile 3,Male,25 to 29,49.23,48.95,49.51,32.88,31.37,34.38,66.78
Decile 3,Male,30 to 34,44.57,44.30,44.84,28.87,27.41,30.33,64.77
Decile 3,Male,35 to 39,39.97,39.71,40.23,25.04,23.64,26.43,62.64
Decile 3,Male,40 to 44,35.57,35.32,35.82,21.49,20.18,22.80,60.40
Decile 3,Male,45 to 49,31.31,31.07,31.54,18.17,16.97,19.37,58.04
Decile 3,Male,50 to 54,27.22,27.00,27.44,15.11,14.00,16.22,55.52
Decile 3,Male,55 to 59,23.23,23.02,23.43,12.28,11.24,13.32,52.86
Decile 3,Male,60 to 64,19.39,19.19,19.58,9.71,8.72,10.70,50.09
Decile 3,Male,65 to 69,15.78,15.60,15.96,7.46,6.52,8.40,47.25
Decile 3,Male,70 to 74,12.61,12.44,12.78,5.57,4.64,6.50,44.15
Decile 3,Male,75 to 79,9.58,9.42,9.75,3.91,2.96,4.85,40.74
Decile 3,Male,80 to 84,7.21,7.05,7.36,2.67,1.85,3.48,37.03
Decile 3,Male,85 to 89,5.32,5.15,5.49,1.76,1.08,2.43,33.03
Decile 3,Male,90+,4.05,3.79,4.32,1.16,0.50,1.82,28.63
Decile 4,Female,<1,79.91,79.63,80.19,55.80,53.82,57.78,69.83
Decile 4,Female,1 to 4,79.15,78.89,79.42,55.21,53.23,57.20,69.76
Decile 4,Female,5 to 9,75.17,74.91,75.43,52.18,50.28,54.08,69.41
Decile 4,Female,10 to 14,70.18,69.92,70.44,48.27,46.50,50.04,68.78
Decile 4,Female,15 to 19,65.21,64.96,65.47,44.29,42.65,45.93,67.91
Decile 4,Female,20 to 24,60.32,60.06,60.57,40.34,38.84,41.84,66.87
Decile 4,Female,25 to 29,55.41,55.16,55.66,36.36,34.93,37.79,65.62
Decile 4,Female,30 to 34,50.56,50.31,50.80,32.40,31.03,33.77,64.08
Decile 4,Female,35 to 39,45.71,45.47,45.95,28.45,27.16,29.74,62.25
Decile 4,Female,40 to 44,41.01,40.77,41.24,24.68,23.46,25.90,60.19
Decile 4,Female,45 to 49,36.40,36.18,36.62,21.09,19.94,22.23,57.93
Decile 4,Female,50 to 54,31.87,31.66,32.09,17.68,16.60,18.75,55.45
Decile 4,Female,55 to 59,27.43,27.22,27.63,14.47,13.46,15.49,52.78
Decile 4,Female,60 to 64,23.18,22.99,23.37,11.58,10.63,12.53,49.96
Decile 4,Female,65 to 69,19.13,18.95,19.31,8.86,7.96,9.77,46.33
Decile 4,Female,70 to 74,15.35,15.18,15.52,6.51,5.66,7.36,42.42
Decile 4,Female,75 to 79,11.89,11.74,12.05,4.50,3.66,5.34,37.85
Decile 4,Female,80 to 84,8.91,8.76,9.06,2.98,2.27,3.69,33.45
Decile 4,Female,85 to 89,6.36,6.21,6.51,1.88,1.30,2.47,29.64
Decile 4,Female,90+,4.41,4.21,4.60,1.16,0.63,1.70,26.40
Decile 4,Male,<1,75.27,74.97,75.58,54.55,52.40,56.71,72.47
Decile 4,Male,1 to 4,74.51,74.22,74.80,53.95,51.79,56.10,72.41
Decile 4,Male,5 to 9,70.54,70.25,70.82,50.83,48.79,52.87,72.06
Decile 4,Male,10 to 14,65.57,65.28,65.85,46.81,44.95,48.67,71.39
Decile 4,Male,15 to 19,60.59,60.31,60.87,42.69,41.02,44.36,70.46
Decile 4,Male,20 to 24,55.74,55.47,56.02,38.61,37.13,40.08,69.26
Decile 4,Male,25 to 29,50.98,50.71,51.25,34.55,33.16,35.95,67.78
Decile 4,Male,30 to 34,46.27,46.01,46.53,30.54,29.22,31.86,65.99
Decile 4,Male,35 to 39,41.65,41.40,41.90,26.61,25.36,27.86,63.90
Decile 4,Male,40 to 44,37.04,36.80,37.28,22.79,21.63,23.96,61.54
Decile 4,Male,45 to 49,32.64,32.41,32.87,19.21,18.10,20.32,58.84
Decile 4,Male,50 to 54,28.37,28.16,28.59,15.83,14.78,16.87,55.78
Decile 4,Male,55 to 59,24.28,24.08,24.49,12.72,11.73,13.71,52.39
Decile 4,Male,60 to 64,20.24,20.05,20.43,9.86,8.97,10.75,48.73
Decile 4,Male,65 to 69,16.57,16.39,16.75,7.43,6.59,8.27,44.84
Decile 4,Male,70 to 74,13.23,13.07,13.40,5.35,4.57,6.13,40.42
Decile 4,Male,75 to 79,10.14,9.98,10.31,3.59,2.85,4.34,35.42
Decile 4,Male,80 to 84,7.53,7.38,7.69,2.26,1.63,2.89,29.96
Decile 4,Male,85 to 89,5.48,5.31,5.65,1.31,0.81,1.81,23.91
Decile 4,Male,90+,3.91,3.66,4.15,0.68,0.26,1.09,17.29
Decile 5,Female,<1,80.97,80.70,81.24,62.86,61.08,64.64,77.63
Decile 5,Female,1 to 4,80.16,79.90,80.41,62.08,60.30,63.86,77.45
Decile 5,Female,5 to 9,76.18,75.93,76.43,58.40,56.67,60.12,76.66
Decile 5,Female,10 to 14,71.20,70.95,71.44,53.79,52.15,55.42,75.55
Decile 5,Female,15 to 19,66.21,65.96,66.45,49.19,47.65,50.73,74.30
Decile 5,Female,20 to 24,61.25,61.01,61.50,44.68,43.26,46.09,72.94
Decile 5,Female,25 to 29,56.38,56.14,56.62,40.29,38.91,41.66,71.46
Decile 5,Female,30 to 34,51.48,51.25,51.72,35.94,34.61,37.26,69.80
Decile 5,Female,35 to 39,46.59,46.36,46.82,31.67,30.39,32.95,67.97
Decile 5,Female,40 to 44,41.81,41.58,42.03,27.59,26.37,28.82,66.00
Decile 5,Female,45 to 49,37.17,36.96,37.38,23.73,22.56,24.90,63.84
Decile 5,Female,50 to 54,32.61,32.40,32.81,20.06,18.95,21.17,61.51
Decile 5,Female,55 to 59,28.14,27.95,28.33,16.61,15.55,17.67,59.03
Decile 5,Female,60 to 64,23.77,23.59,23.96,13.39,12.37,14.40,56.31
Decile 5,Female,65 to 69,19.63,19.45,19.80,10.44,9.46,11.41,53.18
Decile 5,Female,70 to 74,15.75,15.58,15.91,7.81,6.86,8.76,49.60
Decile 5,Female,75 to 79,12.09,11.94,12.24,5.50,4.55,6.45,45.52
Decile 5,Female,80 to 84,8.93,8.79,9.07,3.69,2.82,4.57,41.36
Decile 5,Female,85 to 89,6.32,6.18,6.47,2.37,1.65,3.09,37.51
Decile 5,Female,90+,4.28,4.10,4.45,1.45,0.80,2.11,33.93
Decile 5,Male,<1,77.12,76.83,77.41,61.43,59.88,62.97,79.65
Decile 5,Male,1 to 4,76.31,76.03,76.59,60.67,59.13,62.22,79.51
Decile 5,Male,5 to 9,72.37,72.09,72.64,57.10,55.59,58.62,78.91
Decile 5,Male,10 to 14,67.41,67.13,67.68,52.58,51.11,54.05,78.01
Decile 5,Male,15 to 19,62.42,62.14,62.69,48.02,46.59,49.44,76.93
Decile 5,Male,20 to 24,57.59,57.33,57.86,43.59,42.21,44.97,75.69
Decile 5,Male,25 to 29,52.74,52.48,53.00,39.17,37.85,40.49,74.26
Decile 5,Male,30 to 34,47.93,47.68,48.18,34.82,33.53,36.10,72.64
Decile 5,Male,35 to 39,43.26,43.01,43.50,30.64,29.40,31.87,70.82
Decile 5,Male,40 to 44,38.61,38.38,38.85,26.58,25.39,27.76,68.83
Decile 5,Male,45 to 49,34.11,33.89,34.33,22.71,21.58,23.83,66.57
Decile 5,Male,50 to 54,29.73,29.52,29.94,19.04,17.97,20.10,64.03
Decile 5,Male,55 to 59,25.41,25.21,25.61,15.57,14.56,16.58,61.27
Decile 5,Male,60 to 64,21.26,21.08,21.45,12.39,11.42,13.37,58.28
Decile 5,Male,65 to 69,17.33,17.16,17.51,9.58,8.66,10.50,55.28
Decile 5,Male,70 to 74,13.72,13.55,13.88,7.11,6.21,8.00,51.81
Decile 5,Male,75 to 79,10.54,10.39,10.70,5.04,4.10,5.97,47.79
Decile 5,Male,80 to 84,7.81,7.65,7.96,3.40,2.45,4.35,43.56
Decile 5,Male,85 to 89,5.55,5.38,5.71,2.19,1.41,2.97,39.50
Decile 5,Male,90+,4.06,3.82,4.30,1.43,0.68,2.18,35.21
Decile 6,Female,<1,81.72,81.45,81.99,63.39,61.73,65.06,77.57
Decile 6,Female,1 to 4,81.03,80.79,81.27,62.76,61.10,64.43,77.46
Decile 6,Female,5 to 9,77.07,76.84,77.31,59.33,57.71,60.95,76.98
Decile 6,Female,10 to 14,72.10,71.87,72.34,54.99,53.44,56.54,76.27
Decile 6,Female,15 to 19,67.13,66.89,67.36,50.63,49.16,52.11,75.43
Decile 6,Female,20 to 24,62.18,61.95,62.41,46.32,44.92,47.72,74.49
Decile 6,Female,25 to 29,57.24,57.01,57.46,42.04,40.71,43.36,73.44
Decile 6,Female,30 to 34,52.32,52.10,52.55,37.81,36.52,39.09,72.26
Decile 6,Female,35 to 39,47.44,47.22,47.66,33.64,32.42,34.87,70.92
Decile 6,Female,40 to 44,42.58,42.37,42.80,29.56,28.39,30.74,69.43
Decile 6,Female,45 to 49,37.86,37.66,38.07,25.66,24.60,26.71,67.76
Decile 6,Female,50 to 54,33.24,33.04,33.44,21.91,20.92,22.91,65.93
Decile 6,Female,55 to 59,28.69,28.50,28.88,18.35,17.39,19.31,63.94
Decile 6,Female,60 to 64,24.24,24.06,24.42,14.96,14.05,15.87,61.72
Decile 6,Female,65 to 69,19.99,19.82,20.16,11.81,10.94,12.68,59.09
Decile 6,Female,70 to 74,15.97,15.82,16.13,8.96,8.11,9.81,56.10
Decile 6,Female,75 to 79,12.18,12.03,12.33,6.42,5.58,7.26,52.71
Decile 6,Female,80 to 84,8.91,8.77,9.05,4.38,3.62,5.14,49.15
Decile 6,Female,85 to 89,6.21,6.08,6.35,2.84,2.21,3.47,45.63
Decile 6,Female,90+,4.02,3.86,4.19,1.70,1.14,2.25,42.15
Decile 6,Male,<1,77.93,77.64,78.22,65.04,63.71,66.38,83.46
Decile 6,Male,1 to 4,77.20,76.93,77.47,64.27,62.93,65.61,83.25
Decile 6,Male,5 to 9,73.21,72.94,73.48,60.28,58.95,61.62,82.34
Decile 6,Male,10 to 14,68.25,67.98,68.52,55.37,54.04,56.70,81.13
Decile 6,Male,15 to 19,63.29,63.03,63.56,50.55,49.23,51.87,79.87
Decile 6,Male,20 to 24,58.37,58.10,58.63,45.83,44.53,47.12,78.51
Decile 6,Male,25 to 29,53.56,53.31,53.82,41.29,40.03,42.55,77.09
Decile 6,Male,30 to 34,48.75,48.50,49.00,36.86,35.63,38.10,75.61
Decile 6,Male,35 to 39,44.07,43.83,44.31,32.64,31.46,33.81,74.06
Decile 6,Male,40 to 44,39.39,39.16,39.62,28.54,27.43,29.64,72.45
Decile 6,Male,45 to 49,34.86,34.64,35.07,24.67,23.65,25.70,70.79
Decile 6,Male,50 to 54,30.43,30.23,30.64,21.03,20.09,21.97,69.11
Decile 6,Male,55 to 59,26.14,25.95,26.34,17.60,16.71,18.50,67.34
Decile 6,Male,60 to 64,21.86,21.67,22.04,14.29,13.45,15.14,65.40
Decile 6,Male,65 to 69,17.83,17.66,18.00,11.27,10.47,12.07,63.20
Decile 6,Male,70 to 74,14.15,13.99,14.31,8.64,7.85,9.43,61.05
Decile 6,Male,75 to 79,10.77,10.61,10.93,6.31,5.52,7.11,58.64
Decile 6,Male,80 to 84,7.93,7.78,8.09,4.44,3.65,5.22,55.96
Decile 6,Male,85 to 89,5.60,5.44,5.76,2.94,2.28,3.60,52.48
Decile 6,Male,90+,3.90,3.68,4.13,1.82,1.20,2.43,46.60
Decile 7,Female,<1,82.67,82.40,82.94,66.02,64.33,67.72,79.86
Decile 7,Female,1 to 4,81.98,81.74,82.22,65.37,63.68,67.07,79.74
Decile 7,Female,5 to 9,78.03,77.80,78.27,61.84,60.18,63.50,79.25
Decile 7,Female,10 to 14,73.04,72.81,73.28,57.37,55.77,58.98,78.55
Decile 7,Female,15 to 19,68.08,67.84,68.31,52.94,51.40,54.48,77.77
Decile 7,Female,20 to 24,63.14,62.91,63.37,48.58,47.11,50.06,76.95
Decile 7,Female,25 to 29,58.24,58.02,58.46,44.30,42.99,45.61,76.07
Decile 7,Female,30 to 34,53.34,53.12,53.55,40.04,38.82,41.26,75.07
Decile 7,Female,35 to 39,48.45,48.23,48.66,35.83,34.67,36.99,73.96
Decile 7,Female,40 to 44,43.57,43.36,43.78,31.69,30.57,32.80,72.72
Decile 7,Female,45 to 49,38.76,38.55,38.96,27.64,26.59,28.70,71.32
Decile 7,Female,50 to 54,34.06,33.87,34.26,23.77,22.74,24.79,69.78
Decile 7,Female,55 to 59,29.36,29.17,29.55,19.97,18.99,20.95,68.04
Decile 7,Female,60 to 64,24.93,24.75,25.11,16.48,15.53,17.42,66.09
Decile 7,Female,65 to 69,20.61,20.44,20.78,13.10,12.19,14.02,63.58
Decile 7,Female,70 to 74,16.52,16.36,16.68,10.02,9.13,10.91,60.65
Decile 7,Female,75 to 79,12.66,12.51,12.82,7.25,6.36,8.13,57.22
Decile 7,Female,80 to 84,9.16,9.01,9.31,4.92,4.13,5.71,53.74
Decile 7,Female,85 to 89,6.38,6.23,6.52,3.21,2.55,3.87,50.36
Decile 7,Female,90+,4.34,4.16,4.52,2.10,1.48,2.72,48.37
Decile 7,Male,<1,79.41,79.13,79.69,64.43,62.88,65.98,81.14
Decile 7,Male,1 to 4,78.58,78.32,78.85,63.63,62.08,65.19,80.98
Decile 7,Male,5 to 9,74.62,74.36,74.88,59.94,58.42,61.46,80.33
Decile 7,Male,10 to 14,69.65,69.39,69.91,55.32,53.85,56.79,79.43
Decile 7,Male,15 to 19,64.70,64.44,64.96,50.72,49.31,52.13,78.40
Decile 7,Male,20 to 24,59.78,59.53,60.04,46.20,44.85,47.54,77.28
Decile 7,Male,25 to 29,54.95,54.71,55.20,41.79,40.50,43.07,76.04
Decile 7,Male,30 to 34,50.14,49.90,50.38,37.46,36.23,38.70,74.71
Decile 7,Male,35 to 39,45.37,45.13,45.60,33.22,32.02,34.41,73.22
Decile 7,Male,40 to 44,40.65,40.43,40.88,29.06,27.92,30.20,71.48
Decile 7,Male,45 to 49,36.04,35.83,36.26,24.99,23.93,26.04,69.33
Decile 7,Male,50 to 54,31.43,31.22,31.63,21.00,20.01,21.99,66.83
Decile 7,Male,55 to 59,26.97,26.78,27.17,17.25,16.30,18.21,63.96
Decile 7,Male,60 to 64,22.67,22.48,22.86,13.81,12.89,14.74,60.92
Decile 7,Male,65 to 69,18.57,18.39,18.75,10.78,9.91,11.64,58.03
Decile 7,Male,70 to 74,14.74,14.57,14.91,8.01,7.18,8.84,54.32
Decile 7,Male,75 to 79,11.30,11.13,11.47,5.63,4.78,6.48,49.79
Decile 7,Male,80 to 84,8.31,8.14,8.47,3.77,3.00,4.54,45.37
Decile 7,Male,85 to 89,5.96,5.78,6.13,2.48,1.84,3.12,41.65
Decile 7,Male,90+,4.16,3.92,4.40,1.67,1.06,2.28,40.18
Decile 8,Female,<1,83.50,83.24,83.75,67.63,66.12,69.15,81.00
Decile 8,Female,1 to 4,82.71,82.48,82.95,66.88,65.36,68.40,80.86
Decile 8,Female,5 to 9,78.75,78.52,78.98,63.19,61.69,64.69,80.23
Decile 8,Female,10 to 14,73.79,73.56,74.02,58.61,57.15,60.07,79.43
Decile 8,Female,15 to 19,68.82,68.59,69.05,54.07,52.65,55.49,78.57
Decile 8,Female,20 to 24,63.87,63.64,64.09,49.67,48.30,51.04,77.77
Decile 8,Female,25 to 29,58.92,58.70,59.14,45.33,44.03,46.63,76.93
Decile 8,Female,30 to 34,53.98,53.76,54.20,41.05,39.82,42.27,76.04
Decile 8,Female,35 to 39,49.06,48.84,49.27,36.77,35.59,37.96,74.96
Decile 8,Female,40 to 44,44.19,43.98,44.40,32.57,31.44,33.70,73.70
Decile 8,Female,45 to 49,39.39,39.18,39.60,28.47,27.39,29.56,72.29
Decile 8,Female,50 to 54,34.65,34.45,34.85,24.45,23.41,25.49,70.57
Decile 8,Female,55 to 59,29.97,29.78,30.17,20.56,19.56,21.57,68.61
Decile 8,Female,60 to 64,25.41,25.22,25.60,16.88,15.92,17.84,66.42
Decile 8,Female,65 to 69,21.07,20.89,21.25,13.31,12.38,14.24,63.19
Decile 8,Female,70 to 74,16.95,16.78,17.13,9.98,9.06,10.90,58.89
Decile 8,Female,75 to 79,13.04,12.87,13.21,7.03,6.11,7.94,53.89
Decile 8,Female,80 to 84,9.62,9.46,9.78,4.64,3.79,5.49,48.25
Decile 8,Female,85 to 89,6.83,6.67,6.99,3.07,2.35,3.79,44.93
Decile 8,Female,90+,4.67,4.47,4.87,2.02,1.34,2.71,43.31
Decile 8,Male,<1,80.27,80.00,80.53,67.66,66.35,68.96,84.29
Decile 8,Male,1 to 4,79.52,79.27,79.76,66.90,65.59,68.21,84.14
Decile 8,Male,5 to 9,75.53,75.29,75.78,63.05,61.75,64.36,83.48
Decile 8,Male,10 to 14,70.53,70.29,70.78,58.23,56.94,59.53,82.56
Decile 8,Male,15 to 19,65.55,65.31,65.80,53.45,52.17,54.74,81.54
Decile 8,Male,20 to 24,60.66,60.42,60.90,48.78,47.51,50.06,80.42
Decile 8,Male,25 to 29,55.75,55.52,55.99,44.16,42.92,45.39,79.20
Decile 8,Male,30 to 34,50.91,50.69,51.14,39.64,38.42,40.85,77.85
Decile 8,Male,35 to 39,46.07,45.85,46.29,35.14,33.97,36.31,76.28
Decile 8,Male,40 to 44,41.33,41.12,41.55,30.80,29.70,31.90,74.51
Decile 8,Male,45 to 49,36.59,36.38,36.80,26.52,25.51,27.53,72.48
Decile 8,Male,50 to 54,31.93,31.73,32.13,22.40,21.42,23.38,70.15
Decile 8,Male,55 to 59,27.40,27.21,27.59,18.52,17.60,19.44,67.61
