"Table 3: Healthy Life Expectancy (HLE1) estimates by health board in Scotland, 2019-2021",,,,,,,,,,
,,,,,,,,,,
NHS Board,Area code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%)
Ayrshire and Arran,S08000015,Male,25 to 29,50.90,50.55,51.25,35.75,34.38,37.13,70.25
Ayrshire and Arran,S08000015,Male,30 to 34,46.38,46.05,46.71,31.91,30.61,33.21,68.80
Ayrshire and Arran,S08000015,Male,35 to 39,41.78,41.46,42.09,28.11,26.90,29.32,67.28
Ayrshire and Arran,S08000015,Male,40 to 44,37.43,37.13,37.72,24.58,23.46,25.70,65.67
Ayrshire and Arran,S08000015,Male,45 to 49,33.17,32.91,33.44,21.18,20.13,22.23,63.85
Ayrshire and Arran,S08000015,Male,50 to 54,29.02,28.78,29.27,17.96,16.98,18.94,61.87
Ayrshire and Arran,S08000015,Male,55 to 59,24.87,24.65,25.10,14.88,13.95,15.81,59.82
Ayrshire and Arran,S08000015,Male,60 to 64,20.84,20.63,21.06,12.02,11.12,12.91,57.65
Ayrshire and Arran,S08000015,Male,65 to 69,17.00,16.80,17.19,9.45,8.59,10.31,55.58
Ayrshire and Arran,S08000015,Male,70 to 74,13.52,13.34,13.70,7.18,6.33,8.02,53.09
Ayrshire and Arran,S08000015,Male,75 to 79,10.31,10.14,10.49,5.21,4.32,6.09,50.48
Ayrshire and Arran,S08000015,Male,80 to 84,7.59,7.42,7.76,3.64,2.76,4.52,47.93
Ayrshire and Arran,S08000015,Male,85 to 89,5.43,5.25,5.62,2.45,1.71,3.18,45.01
Ayrshire and Arran,S08000015,Male,90+,3.83,3.57,4.10,1.62,0.93,2.31,42.27
Borders,S08000016,Female,<1,82.51,81.93,83.09,66.57,63.97,69.16,80.68
Borders,S08000016,Female,1 to 4,81.71,81.17,82.24,65.73,63.12,68.33,80.44
Borders,S08000016,Female,5 to 9,77.76,77.23,78.29,61.77,59.16,64.37,79.43
Borders,S08000016,Female,10 to 14,72.76,72.23,73.29,56.88,54.29,59.47,78.18
Borders,S08000016,Female,15 to 19,67.76,67.23,68.29,52.09,49.54,54.65,76.88
Borders,S08000016,Female,20 to 24,62.84,62.32,63.35,47.65,45.16,50.13,75.83
Borders,S08000016,Female,25 to 29,57.91,57.41,58.42,43.42,41.05,45.79,74.98
Borders,S08000016,Female,30 to 34,53.09,52.60,53.57,39.52,37.36,41.69,74.45
Borders,S08000016,Female,35 to 39,48.27,47.81,48.73,35.71,33.67,37.74,73.97
Borders,S08000016,Female,40 to 44,43.51,43.07,43.95,31.91,29.98,33.84,73.34
Borders,S08000016,Female,45 to 49,38.76,38.34,39.18,28.06,26.27,29.84,72.38
Borders,S08000016,Female,50 to 54,34.09,33.69,34.49,24.35,22.66,26.04,71.42
Borders,S08000016,Female,55 to 59,29.46,29.08,29.84,20.71,19.08,22.35,70.31
Borders,S08000016,Female,60 to 64,25.09,24.73,25.45,17.26,15.68,18.85,68.82
Borders,S08000016,Female,65 to 69,20.67,20.33,21.01,13.67,12.11,15.22,66.12
Borders,S08000016,Female,70 to 74,16.53,16.21,16.85,10.25,8.72,11.79,62.02
Borders,S08000016,Female,75 to 79,12.86,12.56,13.16,7.19,5.60,8.78,55.91
Borders,S08000016,Female,80 to 84,9.37,9.09,9.64,4.76,3.25,6.28,50.85
Borders,S08000016,Female,85 to 89,6.28,6.01,6.54,3.00,1.78,4.22,47.77
Borders,S08000016,Female,90+,3.77,3.46,4.07,2.00,1.01,3.00,53.15
Borders,S08000016,Male,<1,79.14,78.49,79.79,61.36,58.73,63.99,77.53
Borders,S08000016,Male,1 to 4,78.14,77.49,78.79,60.51,57.89,63.14,77.44
Borders,S08000016,Male,5 to 9,74.23,73.60,74.87,57.25,54.68,59.83,77.12
Borders,S08000016,Male,10 to 14,69.23,68.60,69.87,53.06,50.57,55.55,76.64
Borders,S08000016,Male,15 to 19,64.27,63.64,64.90,48.78,46.36,51.20,75.90
Borders,S08000016,Male,20 to 24,59.51,58.90,60.12,44.72,42.37,47.06,75.14
Borders,S08000016,Male,25 to 29,54.71,54.12,55.31,40.61,38.38,42.84,74.22
Borders,S08000016,Male,30 to 34,50.12,49.57,50.67,36.67,34.58,38.77,73.18
Borders,S08000016,Male,35 to 39,45.49,44.98,46.01,32.89,30.94,34.84,72.29
Borders,S08000016,Male,40 to 44,40.95,40.48,41.42,29.09,27.30,30.89,71.06
Borders,S08000016,Male,45 to 49,36.24,35.80,36.69,25.01,23.32,26.71,69.02
Borders,S08000016,Male,50 to 54,31.80,31.39,32.21,21.23,19.62,22.84,66.75
Borders,S08000016,Male,55 to 59,27.39,27.01,27.78,17.57,16.04,19.10,64.14
Borders,S08000016,Male,60 to 64,23.04,22.67,23.41,14.11,12.65,15.58,61.27
Borders,S08000016,Male,65 to 69,18.93,18.58,19.28,11.09,9.69,12.49,58.58
Borders,S08000016,Male,70 to 74,15.01,14.69,15.34,7.93,6.58,9.29,52.84
Borders,S08000016,Male,75 to 79,11.42,11.10,11.73,5.40,4.03,6.78,47.33
Borders,S08000016,Male,80 to 84,8.23,7.94,8.53,3.37,2.13,4.62,40.99
Borders,S08000016,Male,85 to 89,5.63,5.32,5.93,1.86,0.90,2.83,33.13
Borders,S08000016,Male,90+,3.50,3.10,3.89,1.19,0.38,2.00,34.05
Dumfries and Galloway,S08000017,Female,<1,81.17,80.61,81.73,59.21,56.55,61.86,72.94
Dumfries and Galloway,S08000017,Female,1 to 4,80.56,80.07,81.06,58.61,55.94,61.27,72.74
Dumfries and Galloway,S08000017,Female,5 to 9,76.56,76.07,77.06,55.06,52.45,57.66,71.91
Dumfries and Galloway,S08000017,Female,10 to 14,71.63,71.15,72.12,50.68,48.17,53.19,70.75
Dumfries and Galloway,S08000017,Female,15 to 19,66.63,66.15,67.12,46.27,43.87,48.67,69.43
Dumfries and Galloway,S08000017,Female,20 to 24,61.70,61.22,62.17,42.01,39.73,44.28,68.09
Dumfries and Galloway,S08000017,Female,25 to 29,56.84,56.38,57.30,37.94,35.82,40.06,66.76
Dumfries and Galloway,S08000017,Female,30 to 34,51.96,51.51,52.41,33.87,31.90,35.84,65.18
Dumfries and Galloway,S08000017,Female,35 to 39,47.20,46.77,47.63,29.97,28.12,31.81,63.49
Dumfries and Galloway,S08000017,Female,40 to 44,42.44,42.03,42.86,26.14,24.43,27.84,61.58
Dumfries and Galloway,S08000017,Female,45 to 49,37.87,37.49,38.25,22.53,20.91,24.14,59.48
Dumfries and Galloway,S08000017,Female,50 to 54,33.32,32.97,33.67,19.08,17.57,20.59,57.27
Dumfries and Galloway,S08000017,Female,55 to 59,28.82,28.49,29.16,15.78,14.38,17.18,54.74
Dumfries and Galloway,S08000017,Female,60 to 64,24.45,24.13,24.76,12.75,11.43,14.06,52.14
Dumfries and Galloway,S08000017,Female,65 to 69,20.17,19.87,20.46,9.85,8.62,11.08,48.83
Dumfries and Galloway,S08000017,Female,70 to 74,16.30,16.02,16.57,7.31,6.16,8.45,44.82
Dumfries and Galloway,S08000017,Female,75 to 79,12.49,12.23,12.74,5.03,3.92,6.13,40.25
Dumfries and Galloway,S08000017,Female,80 to 84,8.99,8.75,9.24,3.22,2.25,4.20,35.83
Dumfries and Galloway,S08000017,Female,85 to 89,6.15,5.92,6.39,1.99,1.22,2.76,32.35
Dumfries and Galloway,S08000017,Female,90+,4.16,3.86,4.46,1.29,0.59,2.00,31.13
Dumfries and Galloway,S08000017,Male,<1,77.43,76.82,78.04,62.31,59.93,64.69,80.47
Dumfries and Galloway,S08000017,Male,1 to 4,76.60,76.01,77.19,61.52,59.14,63.90,80.31
Dumfries and Galloway,S08000017,Male,5 to 9,72.72,72.14,73.29,57.86,55.51,60.21,79.57
Dumfries and Galloway,S08000017,Male,10 to 14,67.72,67.14,68.29,53.19,50.89,55.49,78.55
Dumfries and Galloway,S08000017,Male,15 to 19,62.72,62.14,63.29,48.55,46.31,50.79,77.41
Dumfries and Galloway,S08000017,Male,20 to 24,57.88,57.32,58.44,44.07,41.89,46.25,76.15
Dumfries and Galloway,S08000017,Male,25 to 29,53.12,52.58,53.66,39.72,37.62,41.82,74.77
Dumfries and Galloway,S08000017,Male,30 to 34,48.39,47.87,48.91,35.44,33.48,37.40,73.25
Dumfries and Galloway,S08000017,Male,35 to 39,43.92,43.43,44.41,31.43,29.60,33.27,71.58
Dumfries and Galloway,S08000017,Male,40 to 44,39.44,38.99,39.90,27.53,25.80,29.27,69.80
Dumfries and Galloway,S08000017,Male,45 to 49,35.17,34.77,35.57,23.88,22.31,25.46,67.92
Dumfries and Galloway,S08000017,Male,50 to 54,30.68,30.30,31.05,20.26,18.80,21.72,66.03
Dumfries and Galloway,S08000017,Male,55 to 59,26.42,26.07,26.76,16.89,15.49,18.29,63.94
Dumfries and Galloway,S08000017,Male,60 to 64,22.31,21.98,22.63,13.73,12.44,15.03,61.57
Dumfries and Galloway,S08000017,Male,65 to 69,18.26,17.96,18.56,10.73,9.52,11.94,58.76
Dumfries and Galloway,S08000017,Male,70 to 74,14.61,14.33,14.89,8.17,7.02,9.32,55.92
Dumfries and Galloway,S08000017,Male,75 to 79,11.15,10.88,11.42,5.91,4.76,7.05,52.97
Dumfries and Galloway,S08000017,Male,80 to 84,8.14,7.87,8.40,4.02,2.98,5.06,49.42
Dumfries and Galloway,S08000017,Male,85 to 89,5.72,5.44,6.00,2.57,1.71,3.42,44.91
Dumfries and Galloway,S08000017,Male,90+,4.06,3.66,4.46,1.57,0.76,2.37,38.62
Fife,S08000029,Female,<1,81.03,80.69,81.38,54.52,51.76,57.28,67.28
Fife,S08000029,Female,1 to 4,80.41,80.10,80.71,54.14,51.38,56.91,67.34
Fife,S08000029,Female,5 to 9,76.48,76.18,76.78,51.59,48.94,54.25,67.46
Fife,S08000029,Female,10 to 14,71.49,71.19,71.79,48.18,45.70,50.65,67.39
Fife,S08000029,Female,15 to 19,66.50,66.20,66.80,44.56,42.27,46.86,67.01
Fife,S08000029,Female,20 to 24,61.56,61.26,61.85,40.90,38.79,43.01,66.44
Fife,S08000029,Female,25 to 29,56.63,56.34,56.93,37.19,35.23,39.16,65.67
Fife,S08000029,Female,30 to 34,51.73,51.44,52.02,33.44,31.60,35.28,64.64
Fife,S08000029,Female,35 to 39,46.89,46.61,47.18,29.63,27.86,31.40,63.19
Fife,S08000029,Female,40 to 44,42.21,41.94,42.48,25.95,24.26,27.64,61.48
Fife,S08000029,Female,45 to 49,37.50,37.25,37.76,22.30,20.71,23.89,59.46
Fife,S08000029,Female,50 to 54,32.98,32.74,33.23,18.81,17.32,20.31,57.04
Fife,S08000029,Female,55 to 59,28.41,28.18,28.65,15.49,14.09,16.89,54.52
Fife,S08000029,Female,60 to 64,24.04,23.81,24.26,12.40,11.04,13.75,51.58
Fife,S08000029,Female,65 to 69,19.83,19.62,20.04,9.47,8.18,10.76,47.77
Fife,S08000029,Female,70 to 74,15.99,15.79,16.19,6.87,5.62,8.13,42.99
Fife,S08000029,Female,75 to 79,12.31,12.12,12.50,4.58,3.35,5.81,37.19
Fife,S08000029,Female,80 to 84,9.06,8.88,9.24,2.81,1.66,3.95,30.97
Fife,S08000029,Female,85 to 89,6.46,6.28,6.64,1.65,0.74,2.56,25.52
Fife,S08000029,Female,90+,4.40,4.18,4.63,0.95,0.15,1.76,21.63
Fife,S08000029,Male,<1,76.88,76.50,77.26,58.60,56.41,60.79,76.22
Fife,S08000029,Male,1 to 4,76.30,75.95,76.65,58.00,55.80,60.20,76.02
Fife,S08000029,Male,5 to 9,72.31,71.96,72.66,54.33,52.17,56.48,75.13
Fife,S08000029,Male,10 to 14,67.32,66.97,67.67,49.73,47.65,51.80,73.87
Fife,S08000029,Male,15 to 19,62.36,62.01,62.71,45.17,43.17,47.16,72.43
Fife,S08000029,Male,20 to 24,57.48,57.14,57.82,40.70,38.79,42.61,70.80
Fife,S08000029,Male,25 to 29,52.71,52.38,53.04,36.37,34.53,38.21,69.00
Fife,S08000029,Male,30 to 34,48.07,47.75,48.38,32.21,30.43,33.99,67.02
Fife,S08000029,Male,35 to 39,43.37,43.06,43.67,28.12,26.42,29.83,64.85
Fife,S08000029,Male,40 to 44,38.91,38.62,39.20,24.31,22.65,25.97,62.47
Fife,S08000029,Male,45 to 49,34.43,34.16,34.70,20.56,18.98,22.15,59.72
Fife,S08000029,Male,50 to 54,30.09,29.83,30.34,17.05,15.56,18.53,56.66
Fife,S08000029,Male,55 to 59,25.82,25.58,26.07,13.79,12.38,15.21,53.42
Fife,S08000029,Male,60 to 64,21.64,21.41,21.87,10.87,9.51,12.22,50.22
Fife,S08000029,Male,65 to 69,17.76,17.55,17.98,8.30,7.01,9.58,46.70
Fife,S08000029,Male,70 to 74,14.16,13.96,14.36,6.05,4.83,7.28,42.75
Fife,S08000029,Male,75 to 79,10.74,10.55,10.94,4.09,2.86,5.32,38.05
Fife,S08000029,Male,80 to 84,8.03,7.84,8.23,2.63,1.40,3.85,32.70
Fife,S08000029,Male,85 to 89,5.78,5.57,5.99,1.65,0.66,2.65,28.62
Fife,S08000029,Male,90+,4.09,3.80,4.38,1.04,0.12,1.95,25.32
Forth Valley,S08000019,Female,<1,80.60,80.24,80.97,60.96,59.07,62.85,75.63
Forth Valley,S08000019,Female,1 to 4,79.84,79.50,80.18,60.23,58.34,62.12,75.44
Forth Valley,S08000019,Female,5 to 9,75.93,75.60,76.27,56.70,54.85,58.55,74.67
Forth Valley,S08000019,Female,10 to 14,70.93,70.60,71.27,52.22,50.46,53.99,73.62
Forth Valley,S08000019,Female,15 to 19,65.95,65.61,66.28,47.79,46.11,49.46,72.46
Forth Valley,S08000019,Female,20 to 24,61.04,60.71,61.36,43.48,41.90,45.05,71.23
Forth Valley,S08000019,Female,25 to 29,56.11,55.79,56.43,39.25,37.75,40.75,69.95
Forth Valley,S08000019,Female,30 to 34,51.22,50.90,51.53,35.13,33.69,36.57,68.59
Forth Valley,S08000019,Female,35 to 39,46.34,46.03,46.65,31.08,29.70,32.46,67.07
Forth Valley,S08000019,Female,40 to 44,41.63,41.34,41.93,27.22,25.93,28.52,65.39
Forth Valley,S08000019,Female,45 to 49,36.94,36.65,37.22,23.49,22.26,24.71,63.59
Forth Valley,S08000019,Female,50 to 54,32.24,31.96,32.52,19.88,18.70,21.05,61.65
Forth Valley,S08000019,Female,55 to 59,27.82,27.55,28.08,16.58,15.45,17.71,59.59
Forth Valley,S08000019,Female,60 to 64,23.59,23.33,23.84,13.55,12.45,14.64,57.44
Forth Valley,S08000019,Female,65 to 69,19.50,19.27,19.74,10.71,9.65,11.76,54.89
Forth Valley,S08000019,Female,70 to 74,15.61,15.39,15.83,8.11,7.07,9.14,51.93
Forth Valley,S08000019,Female,75 to 79,11.99,11.78,12.20,5.84,4.80,6.88,48.69
Forth Valley,S08000019,Female,80 to 84,8.82,8.61,9.02,4.02,3.06,4.97,45.58
Forth Valley,S08000019,Female,85 to 89,6.34,6.14,6.55,2.69,1.88,3.50,42.44
Forth Valley,S08000019,Female,90+,4.31,4.05,4.56,1.76,1.00,2.51,40.75
Forth Valley,S08000019,Male,<1,76.43,76.03,76.83,61.61,60.06,63.15,80.61
Forth Valley,S08000019,Male,1 to 4,75.61,75.23,76.00,60.80,59.25,62.35,80.41
Forth Valley,S08000019,Male,5 to 9,71.61,71.23,72.00,56.96,55.43,58.50,79.54
Forth Valley,S08000019,Male,10 to 14,66.63,66.25,67.01,52.22,50.70,53.73,78.37
Forth Valley,S08000019,Male,15 to 19,61.66,61.28,62.04,47.52,46.03,49.00,77.06
Forth Valley,S08000019,Male,20 to 24,56.79,56.42,57.16,42.95,41.49,44.40,75.63
Forth Valley,S08000019,Male,25 to 29,52.07,51.71,52.43,38.58,37.18,39.99,74.10
Forth Valley,S08000019,Male,30 to 34,47.42,47.08,47.77,34.36,33.01,35.71,72.46
Forth Valley,S08000019,Male,35 to 39,42.76,42.43,43.09,30.21,28.93,31.48,70.65
Forth Valley,S08000019,Male,40 to 44,38.15,37.83,38.47,26.20,24.98,27.42,68.67
Forth Valley,S08000019,Male,45 to 49,33.82,33.52,34.11,22.45,21.27,23.62,66.38
Forth Valley,S08000019,Male,50 to 54,29.50,29.22,29.78,18.86,17.76,19.96,63.94
Forth Valley,S08000019,Male,55 to 59,25.22,24.96,25.49,15.47,14.43,16.50,61.32
Forth Valley,S08000019,Male,60 to 64,21.16,20.91,21.41,12.40,11.41,13.38,58.59
Forth Valley,S08000019,Male,65 to 69,17.30,17.07,17.54,9.67,8.72,10.62,55.88
Forth Valley,S08000019,Male,70 to 74,13.67,13.44,13.89,7.21,6.30,8.12,52.78
Forth Valley,S08000019,Male,75 to 79,10.34,10.12,10.55,5.14,4.21,6.06,49.68
Forth Valley,S08000019,Male,80 to 84,7.70,7.49,7.91,3.56,2.64,4.47,46.18
Forth Valley,S08000019,Male,85 to 89,5.57,5.34,5.80,2.40,1.63,3.16,43.01
Forth Valley,S08000019,Male,90+,4.00,3.66,4.33,1.65,0.92,2.38,41.28
Grampian,S08000020,Female,<1,81.81,81.54,82.07,64.48,62.80,66.16,78.82
Grampian,S08000020,Female,1 to 4,81.05,80.79,81.30,63.76,62.07,65.44,78.67
Grampian,S08000020,Female,5 to 9,77.10,76.85,77.35,60.14,58.49,61.79,78.01
Grampian,S08000020,Female,10 to 14,72.15,71.90,72.39,55.64,54.05,57.23,77.12
Grampian,S08000020,Female,15 to 19,67.16,66.92,67.40,51.17,49.64,52.69,76.19
Grampian,S08000020,Female,20 to 24,62.19,61.95,62.43,46.80,45.36,48.24,75.25
Grampian,S08000020,Female,25 to 29,57.30,57.06,57.54,42.55,41.23,43.87,74.26
Grampian,S08000020,Female,30 to 34,52.41,52.18,52.65,38.34,37.08,39.60,73.16
Grampian,S08000020,Female,35 to 39,47.53,47.30,47.76,34.20,32.99,35.41,71.95
Grampian,S08000020,Female,40 to 44,42.73,42.50,42.95,30.16,29.00,31.33,70.59
Grampian,S08000020,Female,45 to 49,38.10,37.88,38.31,26.34,25.21,27.46,69.13
Grampian,S08000020,Female,50 to 54,33.47,33.26,33.67,22.58,21.51,23.65,67.46
Grampian,S08000020,Female,55 to 59,28.96,28.76,29.16,18.99,17.97,20.01,65.59
Grampian,S08000020,Female,60 to 64,24.58,24.38,24.77,15.60,14.62,16.58,63.47
Grampian,S08000020,Female,65 to 69,20.37,20.19,20.55,12.38,11.43,13.33,60.78
Grampian,S08000020,Female,70 to 74,16.35,16.18,16.52,9.40,8.46,10.33,57.49
Grampian,S08000020,Female,75 to 79,12.57,12.41,12.73,6.74,5.81,7.67,53.61
Grampian,S08000020,Female,80 to 84,9.25,9.10,9.40,4.60,3.79,5.40,49.69
Grampian,S08000020,Female,85 to 89,6.52,6.37,6.68,3.05,2.38,3.73,46.79
Grampian,S08000020,Female,90+,4.43,4.24,4.61,2.09,1.45,2.72,47.12
Grampian,S08000020,Male,<1,78.15,77.87,78.44,63.88,62.43,65.32,81.73
Grampian,S08000020,Male,1 to 4,77.48,77.21,77.74,63.16,61.72,64.61,81.53
Grampian,S08000020,Male,5 to 9,73.51,73.25,73.77,59.32,57.88,60.75,80.69
Grampian,S08000020,Male,10 to 14,68.55,68.29,68.81,54.53,53.12,55.95,79.55
Grampian,S08000020,Male,15 to 19,63.60,63.34,63.86,49.81,48.42,51.20,78.32
Grampian,S08000020,Male,20 to 24,58.71,58.45,58.96,45.20,43.85,46.55,77.00
Grampian,S08000020,Male,25 to 29,53.87,53.62,54.12,40.71,39.42,42.01,75.58
Grampian,S08000020,Male,30 to 34,49.11,48.87,49.35,36.35,35.12,37.59,74.02
Grampian,S08000020,Male,35 to 39,44.39,44.15,44.62,32.10,30.89,33.31,72.33
Grampian,S08000020,Male,40 to 44,39.71,39.48,39.94,27.99,26.85,29.13,70.48
Grampian,S08000020,Male,45 to 49,35.13,34.92,35.35,24.03,22.96,25.09,68.39
Grampian,S08000020,Male,50 to 54,30.67,30.46,30.87,20.24,19.22,21.26,66.01
Grampian,S08000020,Male,55 to 59,26.29,26.09,26.48,16.67,15.69,17.64,63.40
Grampian,S08000020,Male,60 to 64,22.02,21.83,22.21,13.35,12.43,14.27,60.62
Grampian,S08000020,Male,65 to 69,18.07,17.89,18.25,10.44,9.56,11.32,57.80
Grampian,S08000020,Male,70 to 74,14.37,14.20,14.54,7.82,6.96,8.68,54.42
Grampian,S08000020,Male,75 to 79,10.91,10.75,11.08,5.49,4.63,6.35,50.30
Grampian,S08000020,Male,80 to 84,7.98,7.83,8.14,3.71,2.91,4.51,46.51
Grampian,S08000020,Male,85 to 89,5.67,5.50,5.83,2.42,1.76,3.09,42.78
Grampian,S08000020,Male,90+,3.85,3.63,4.07,1.60,1.00,2.20,41.61
Greater Glasgow and Clyde,S08000031,Female,<1,79.51,79.32,79.71,58.67,57.32,60.03,73.79
Greater Glasgow and Clyde,S08000031,Female,1 to 4,78.77,78.59,78.95,57.97,56.61,59.32,73.59
Greater Glasgow and Clyde,S08000031,Female,5 to 9,74.82,74.64,74.99,54.43,53.10,55.76,72.75
Greater Glasgow and Clyde,S08000031,Female,10 to 14,69.84,69.66,70.01,50.03,48.76,51.31,71.64
Greater Glasgow and Clyde,S08000031,Female,15 to 19,64.87,64.69,65.05,45.72,44.50,46.94,70.48
Greater Glasgow and Clyde,S08000031,Female,20 to 24,59.95,59.78,60.12,41.52,40.36,42.67,69.25
Greater Glasgow and Clyde,S08000031,Female,25 to 29,55.05,54.88,55.22,37.41,36.29,38.52,67.95
Greater Glasgow and Clyde,S08000031,Female,30 to 34,50.15,49.98,50.32,33.40,32.33,34.47,66.59
Greater Glasgow and Clyde,S08000031,Female,35 to 39,45.29,45.12,45.45,29.50,28.48,30.53,65.15
Greater Glasgow and Clyde,S08000031,Female,40 to 44,40.58,40.42,40.74,25.82,24.85,26.79,63.62
Greater Glasgow and Clyde,S08000031,Female,45 to 49,35.97,35.82,36.13,22.30,21.40,23.21,62.00
Greater Glasgow and Clyde,S08000031,Female,50 to 54,31.51,31.36,31.66,19.00,18.15,19.84,60.29
Greater Glasgow and Clyde,S08000031,Female,55 to 59,27.11,26.97,27.25,15.85,15.05,16.65,58.45
Greater Glasgow and Clyde,S08000031,Female,60 to 64,22.85,22.72,22.99,12.91,12.15,13.68,56.51
Greater Glasgow and Clyde,S08000031,Female,65 to 69,18.84,18.71,18.97,10.26,9.53,10.99,54.48
Greater Glasgow and Clyde,S08000031,Female,70 to 74,15.09,14.97,15.20,7.89,7.19,8.59,52.30
Greater Glasgow and Clyde,S08000031,Female,75 to 79,11.63,11.52,11.74,5.80,5.11,6.50,49.89
Greater Glasgow and Clyde,S08000031,Female,80 to 84,8.67,8.57,8.77,4.09,3.46,4.72,47.16
Greater Glasgow and Clyde,S08000031,Female,85 to 89,6.29,6.19,6.40,2.76,2.23,3.30,43.93
Greater Glasgow and Clyde,S08000031,Female,90+,4.40,4.27,4.53,1.76,1.25,2.27,39.93
Greater Glasgow and Clyde,S08000031,Male,<1,74.75,74.55,74.96,57.95,56.67,59.23,77.52
Greater Glasgow and Clyde,S08000031,Male,1 to 4,74.04,73.84,74.24,57.27,55.98,58.55,77.35
Greater Glasgow and Clyde,S08000031,Male,5 to 9,70.07,69.88,70.27,53.66,52.41,54.91,76.58
Greater Glasgow and Clyde,S08000031,Male,10 to 14,65.09,64.90,65.29,49.12,47.93,50.31,75.47
Greater Glasgow and Clyde,S08000031,Male,15 to 19,60.14,59.95,60.33,44.62,43.49,45.74,74.19
Greater Glasgow and Clyde,S08000031,Male,20 to 24,55.27,55.08,55.46,40.20,39.14,41.26,72.73
Greater Glasgow and Clyde,S08000031,Male,25 to 29,50.46,50.27,50.64,35.87,34.85,36.90,71.10
Greater Glasgow and Clyde,S08000031,Male,30 to 34,45.66,45.48,45.84,31.63,30.64,32.62,69.27
Greater Glasgow and Clyde,S08000031,Male,35 to 39,40.98,40.81,41.16,27.56,26.61,28.52,67.25
Greater Glasgow and Clyde,S08000031,Male,40 to 44,36.40,36.23,36.57,23.67,22.77,24.57,65.03
Greater Glasgow and Clyde,S08000031,Male,45 to 49,32.08,31.92,32.25,20.08,19.23,20.92,62.59
Greater Glasgow and Clyde,S08000031,Male,50 to 54,27.94,27.79,28.10,16.74,15.95,17.54,59.92
Greater Glasgow and Clyde,S08000031,Male,55 to 59,23.96,23.81,24.10,13.66,12.92,14.40,57.01
Greater Glasgow and Clyde,S08000031,Male,60 to 64,20.03,19.89,20.17,10.78,10.07,11.49,53.83
