"Table 5: Healthy Life Expectancy (HLE1) estimates by SIMD quintile in Scotland, 2019-2021",,,,,,,,,
,,,,,,,,,
SIMD quintile,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%)
Quintile 1 (most deprived),Male,35 to 39,36.85,36.66,37.05,20.21,19.18,21.25,54.84
Quintile 1 (most deprived),Male,40 to 44,32.64,32.45,32.83,17.09,16.11,18.07,52.35
Quintile 1 (most deprived),Male,45 to 49,28.76,28.58,28.93,14.31,13.39,15.22,49.75
Quintile 1 (most deprived),Male,50 to 54,25.10,24.94,25.25,11.78,10.93,12.64,46.96
Quintile 1 (most deprived),Male,55 to 59,21.48,21.33,21.63,9.50,8.72,10.29,44.24
Quintile 1 (most deprived),Male,60 to 64,17.96,17.82,18.10,7.53,6.77,8.29,41.94
Quintile 1 (most deprived),Male,65 to 69,14.70,14.57,14.84,5.92,5.18,6.66,40.24
Quintile 1 (most deprived),Male,70 to 74,11.75,11.63,11.88,4.50,3.75,5.25,38.29
Quintile 1 (most deprived),Male,75 to 79,9.13,9.01,9.26,3.29,2.48,4.10,36.06
Quintile 1 (most deprived),Male,80 to 84,7.08,6.96,7.21,2.44,1.67,3.20,34.41
Quintile 1 (most deprived),Male,85 to 89,5.57,5.42,5.72,1.85,1.17,2.53,33.20
Quintile 1 (most deprived),Male,90+,4.66,4.41,4.90,1.57,0.79,2.34,33.69
Quintile 2,Female,<1,79.17,78.96,79.37,55.49,54.05,56.92,70.09
Quintile 2,Female,1 to 4,78.44,78.25,78.63,54.87,53.44,56.30,69.95
Quintile 2,Female,5 to 9,74.48,74.30,74.67,51.66,50.28,53.04,69.36
Quintile 2,Female,10 to 14,69.50,69.31,69.69,47.58,46.30,48.87,68.47
Quintile 2,Female,15 to 19,64.54,64.36,64.73,43.50,42.31,44.69,67.40
Quintile 2,Female,20 to 24,59.62,59.44,59.81,39.46,38.37,40.54,66.18
Quintile 2,Female,25 to 29,54.75,54.57,54.93,35.47,34.44,36.49,64.78
Quintile 2,Female,30 to 34,49.85,49.68,50.03,31.50,30.52,32.49,63.19
Quintile 2,Female,35 to 39,45.05,44.87,45.22,27.66,26.73,28.59,61.41
Quintile 2,Female,40 to 44,40.38,40.21,40.55,24.01,23.13,24.88,59.45
Quintile 2,Female,45 to 49,35.83,35.67,35.99,20.53,19.70,21.36,57.30
Quintile 2,Female,50 to 54,31.35,31.20,31.50,17.22,16.44,18.00,54.93
Quintile 2,Female,55 to 59,26.96,26.82,27.10,14.12,13.38,14.85,52.37
Quintile 2,Female,60 to 64,22.77,22.63,22.90,11.30,10.60,11.99,49.61
Quintile 2,Female,65 to 69,18.74,18.61,18.87,8.72,8.06,9.37,46.51
Quintile 2,Female,70 to 74,15.03,14.92,15.15,6.48,5.85,7.10,43.07
Quintile 2,Female,75 to 79,11.63,11.52,11.74,4.56,3.96,5.17,39.25
Quintile 2,Female,80 to 84,8.69,8.59,8.79,3.05,2.54,3.57,35.14
Quintile 2,Female,85 to 89,6.22,6.12,6.32,1.91,1.48,2.33,30.64
Quintile 2,Female,90+,4.26,4.13,4.39,1.09,0.71,1.46,25.50
Quintile 2,Male,<1,74.26,74.04,74.48,54.97,53.61,56.33,74.03
Quintile 2,Male,1 to 4,73.58,73.37,73.78,54.33,52.97,55.69,73.84
Quintile 2,Male,5 to 9,69.62,69.42,69.83,50.84,49.53,52.15,73.02
Quintile 2,Male,10 to 14,64.65,64.44,64.85,46.44,45.21,47.68,71.84
Quintile 2,Male,15 to 19,59.68,59.48,59.89,42.07,40.91,43.22,70.48
Quintile 2,Male,20 to 24,54.87,54.67,55.07,37.82,36.76,38.89,68.93
Quintile 2,Male,25 to 29,50.11,49.92,50.30,33.67,32.65,34.69,67.20
Quintile 2,Male,30 to 34,45.43,45.24,45.62,29.64,28.66,30.62,65.25
Quintile 2,Male,35 to 39,40.82,40.63,41.00,25.75,24.82,26.68,63.09
Quintile 2,Male,40 to 44,36.31,36.14,36.49,22.06,21.18,22.93,60.74
Quintile 2,Male,45 to 49,31.98,31.82,32.15,18.60,17.78,19.42,58.17
Quintile 2,Male,50 to 54,27.80,27.65,27.96,15.39,14.62,16.15,55.34
Quintile 2,Male,55 to 59,23.76,23.62,23.91,12.42,11.71,13.14,52.28
Quintile 2,Male,60 to 64,19.82,19.68,19.96,9.72,9.05,10.38,49.02
Quintile 2,Male,65 to 69,16.18,16.06,16.31,7.38,6.76,8.01,45.62
Quintile 2,Male,70 to 74,12.93,12.81,13.05,5.41,4.80,6.01,41.82
Quintile 2,Male,75 to 79,9.87,9.76,9.98,3.71,3.11,4.30,37.58
Quintile 2,Male,80 to 84,7.37,7.26,7.48,2.43,1.91,2.94,32.92
Quintile 2,Male,85 to 89,5.41,5.29,5.53,1.50,1.08,1.92,27.81
Quintile 2,Male,90+,3.98,3.80,4.16,0.88,0.50,1.26,22.15
Quintile 3,Female,<1,81.35,81.16,81.54,63.07,61.85,64.29,77.53
Quintile 3,Female,1 to 4,80.59,80.42,80.77,62.37,61.15,63.59,77.39
Quintile 3,Female,5 to 9,76.63,76.46,76.80,58.83,57.65,60.02,76.78
Quintile 3,Female,10 to 14,71.65,71.48,71.82,54.38,53.25,55.51,75.90
Quintile 3,Female,15 to 19,66.67,66.50,66.84,49.93,48.86,51.00,74.89
Quintile 3,Female,20 to 24,61.72,61.55,61.89,45.53,44.53,46.53,73.77
Quintile 3,Female,25 to 29,56.81,56.64,56.97,41.20,40.23,42.16,72.53
Quintile 3,Female,30 to 34,51.90,51.74,52.07,36.92,35.99,37.85,71.13
Quintile 3,Female,35 to 39,47.01,46.85,47.17,32.71,31.82,33.61,69.58
Quintile 3,Female,40 to 44,42.19,42.04,42.35,28.64,27.78,29.50,67.88
Quintile 3,Female,45 to 49,37.52,37.37,37.67,24.76,23.97,25.55,66.00
Quintile 3,Female,50 to 54,32.92,32.78,33.07,21.06,20.31,21.81,63.95
Quintile 3,Female,55 to 59,28.42,28.28,28.55,17.55,16.83,18.26,61.74
Quintile 3,Female,60 to 64,24.01,23.88,24.14,14.24,13.55,14.92,59.31
Quintile 3,Female,65 to 69,19.81,19.69,19.93,11.19,10.53,11.85,56.50
Quintile 3,Female,70 to 74,15.86,15.75,15.97,8.46,7.82,9.10,53.33
Quintile 3,Female,75 to 79,12.13,12.03,12.24,6.04,5.40,6.67,49.75
Quintile 3,Female,80 to 84,8.92,8.82,9.02,4.10,3.52,4.68,45.96
Quintile 3,Female,85 to 89,6.27,6.17,6.37,2.64,2.16,3.13,42.17
Quintile 3,Female,90+,4.15,4.03,4.27,1.59,1.15,2.02,38.24
Quintile 3,Male,<1,77.53,77.32,77.73,63.20,62.16,64.25,81.52
Quintile 3,Male,1 to 4,76.76,76.56,76.95,62.44,61.39,63.48,81.35
Quintile 3,Male,5 to 9,72.79,72.60,72.98,58.67,57.63,59.70,80.60
Quintile 3,Male,10 to 14,67.83,67.64,68.02,53.96,52.95,54.97,79.56
Quintile 3,Male,15 to 19,62.86,62.67,63.05,49.28,48.30,50.26,78.41
Quintile 3,Male,20 to 24,57.98,57.79,58.17,44.73,43.77,45.68,77.14
Quintile 3,Male,25 to 29,53.15,52.97,53.34,40.27,39.35,41.19,75.76
Quintile 3,Male,30 to 34,48.34,48.17,48.52,35.90,35.00,36.79,74.25
Quintile 3,Male,35 to 39,43.66,43.49,43.84,31.71,30.86,32.57,72.62
Quintile 3,Male,40 to 44,39.00,38.84,39.17,27.64,26.83,28.45,70.86
Quintile 3,Male,45 to 49,34.49,34.33,34.64,23.78,23.02,24.54,68.96
Quintile 3,Male,50 to 54,30.08,29.94,30.23,20.13,19.41,20.84,66.90
Quintile 3,Male,55 to 59,25.78,25.64,25.92,16.68,16.00,17.35,64.69
Quintile 3,Male,60 to 64,21.56,21.43,21.69,13.43,12.79,14.08,62.30
Quintile 3,Male,65 to 69,17.58,17.46,17.71,10.50,9.89,11.11,59.72
Quintile 3,Male,70 to 74,13.94,13.82,14.05,7.93,7.32,8.53,56.87
Quintile 3,Male,75 to 79,10.65,10.54,10.77,5.72,5.11,6.34,53.73
Quintile 3,Male,80 to 84,7.87,7.76,7.98,3.95,3.33,4.57,50.22
Quintile 3,Male,85 to 89,5.57,5.46,5.69,2.58,2.06,3.09,46.23
Quintile 3,Male,90+,3.98,3.81,4.15,1.65,1.16,2.13,41.39
Quintile 4,Female,<1,83.08,82.90,83.26,66.86,65.72,67.99,80.47
Quintile 4,Female,1 to 4,82.34,82.17,82.51,66.15,65.02,67.29,80.34
Quintile 4,Female,5 to 9,78.39,78.22,78.55,62.53,61.42,63.65,79.78
Quintile 4,Female,10 to 14,73.41,73.25,73.58,58.01,56.92,59.09,79.02
Quintile 4,Female,15 to 19,68.44,68.28,68.61,53.51,52.46,54.56,78.18
Quintile 4,Female,20 to 24,63.50,63.34,63.66,49.12,48.11,50.13,77.36
Quintile 4,Female,25 to 29,58.57,58.42,58.73,44.80,43.87,45.73,76.48
Quintile 4,Female,30 to 34,53.65,53.50,53.81,40.52,39.64,41.39,75.52
Quintile 4,Female,35 to 39,48.75,48.59,48.90,36.27,35.43,37.11,74.40
Quintile 4,Female,40 to 44,43.88,43.73,44.02,32.09,31.29,32.89,73.14
Quintile 4,Female,45 to 49,39.07,38.92,39.21,28.01,27.25,28.78,71.70
Quintile 4,Female,50 to 54,34.35,34.21,34.49,24.06,23.33,24.80,70.05
Quintile 4,Female,55 to 59,29.66,29.52,29.80,20.22,19.52,20.93,68.19
Quintile 4,Female,60 to 64,25.17,25.03,25.30,16.63,15.95,17.31,66.09
Quintile 4,Female,65 to 69,20.83,20.71,20.96,13.16,12.50,13.82,63.18
Quintile 4,Female,70 to 74,16.73,16.61,16.85,9.97,9.32,10.61,59.57
Quintile 4,Female,75 to 79,12.85,12.73,12.96,7.11,6.46,7.75,55.33
Quintile 4,Female,80 to 84,9.38,9.27,9.49,4.77,4.18,5.36,50.88
Quintile 4,Female,85 to 89,6.60,6.49,6.71,3.13,2.63,3.62,47.42
Quintile 4,Female,90+,4.50,4.37,4.63,2.06,1.60,2.53,45.87
Quintile 4,Male,<1,79.84,79.65,80.03,66.11,65.11,67.11,82.80
Quintile 4,Male,1 to 4,79.05,78.87,79.23,65.33,64.33,66.34,82.65
Quintile 4,Male,5 to 9,75.08,74.90,75.26,61.55,60.56,62.54,81.98
Quintile 4,Male,10 to 14,70.09,69.91,70.27,56.82,55.84,57.79,81.06
Quintile 4,Male,15 to 19,65.13,64.95,65.30,52.12,51.16,53.07,80.03
Quintile 4,Male,20 to 24,60.22,60.05,60.39,47.52,46.58,48.45,78.90
Quintile 4,Male,25 to 29,55.36,55.19,55.53,42.99,42.10,43.89,77.67
Quintile 4,Male,30 to 34,50.53,50.36,50.70,38.57,37.70,39.44,76.33
Quintile 4,Male,35 to 39,45.72,45.56,45.88,34.19,33.35,35.03,74.78
Quintile 4,Male,40 to 44,40.99,40.84,41.15,29.93,29.14,30.73,73.02
Quintile 4,Male,45 to 49,36.31,36.16,36.46,25.76,25.03,26.49,70.93
Quintile 4,Male,50 to 54,31.68,31.53,31.82,21.70,21.01,22.40,68.51
Quintile 4,Male,55 to 59,27.18,27.05,27.32,17.90,17.23,18.56,65.84
Quintile 4,Male,60 to 64,22.81,22.68,22.95,14.35,13.71,14.99,62.90
Quintile 4,Male,65 to 69,18.66,18.54,18.79,11.18,10.57,11.78,59.89
Quintile 4,Male,70 to 74,14.77,14.65,14.89,8.29,7.70,8.87,56.11
Quintile 4,Male,75 to 79,11.22,11.11,11.34,5.82,5.23,6.41,51.85
Quintile 4,Male,80 to 84,8.23,8.12,8.34,3.88,3.34,4.42,47.16
Quintile 4,Male,85 to 89,5.82,5.70,5.94,2.49,2.04,2.93,42.73
Quintile 4,Male,90+,3.97,3.80,4.13,1.64,1.23,2.05,41.25
Quintile 5 (least deprived),Female,<1,84.84,84.67,85.01,71.32,70.24,72.40,84.07
Quintile 5 (least deprived),Female,1 to 4,83.98,83.82,84.14,70.53,69.45,71.60,83.98
Quintile 5 (least deprived),Female,5 to 9,80.00,79.84,80.16,66.88,65.84,67.93,83.61
Quintile 5 (least deprived),Female,10 to 14,75.01,74.85,75.17,62.29,61.29,63.29,83.04
Quintile 5 (least deprived),Female,15 to 19,70.02,69.86,70.18,57.67,56.72,58.63,82.37
Quintile 5 (least deprived),Female,20 to 24,65.05,64.90,65.21,53.09,52.18,54.00,81.61
Quintile 5 (least deprived),Female,25 to 29,60.11,59.95,60.26,48.54,47.67,49.41,80.75
Quintile 5 (least deprived),Female,30 to 34,55.19,55.04,55.34,44.02,43.18,44.87,79.77
Quintile 5 (least deprived),Female,35 to 39,50.25,50.10,50.40,39.51,38.69,40.33,78.63
Quintile 5 (least deprived),Female,40 to 44,45.37,45.22,45.52,35.09,34.30,35.87,77.34
Quintile 5 (least deprived),Female,45 to 49,40.52,40.38,40.67,30.76,30.00,31.51,75.89
Quintile 5 (least deprived),Female,50 to 54,35.70,35.56,35.84,26.51,25.77,27.24,74.25
Quintile 5 (least deprived),Female,55 to 59,31.00,30.87,31.14,22.44,21.73,23.15,72.39
Quintile 5 (least deprived),Female,60 to 64,26.37,26.24,26.50,18.53,17.84,19.22,70.28
Quintile 5 (least deprived),Female,65 to 69,21.86,21.73,21.99,14.82,14.14,15.49,67.78
Quintile 5 (least deprived),Female,70 to 74,17.56,17.44,17.68,11.38,10.72,12.04,64.82
Quintile 5 (least deprived),Female,75 to 79,13.50,13.38,13.61,8.28,7.64,8.92,61.35
Quintile 5 (least deprived),Female,80 to 84,9.91,9.80,10.02,5.69,5.09,6.29,57.42
Quintile 5 (least deprived),Female,85 to 89,6.87,6.76,6.98,3.67,3.16,4.17,53.33
Quintile 5 (least deprived),Female,90+,4.55,4.42,4.68,2.26,1.79,2.72,49.59
Quintile 5 (least deprived),Male,<1,81.84,81.65,82.03,70.82,69.93,71.71,86.54
Quintile 5 (least deprived),Male,1 to 4,81.05,80.87,81.22,70.02,69.12,70.91,86.39
Quintile 5 (least deprived),Male,5 to 9,77.10,76.92,77.27,66.13,65.24,67.01,85.77
Quintile 5 (least deprived),Male,10 to 14,72.12,71.95,72.29,61.25,60.37,62.13,84.93
Quintile 5 (least deprived),Male,15 to 19,67.15,66.98,67.32,56.41,55.54,57.28,84.01
Quintile 5 (least deprived),Male,20 to 24,62.23,62.06,62.40,51.66,50.81,52.52,83.02
Quintile 5 (least deprived),Male,25 to 29,57.36,57.20,57.53,47.03,46.20,47.86,81.98
Quintile 5 (least deprived),Male,30 to 34,52.48,52.32,52.64,42.42,41.61,43.23,80.83
Quintile 5 (least deprived),Male,35 to 39,47.60,47.45,47.76,37.86,37.07,38.64,79.53
Quintile 5 (least deprived),Male,40 to 44,42.74,42.58,42.89,33.34,32.58,34.11,78.02
Quintile 5 (least deprived),Male,45 to 49,37.91,37.76,38.06,28.93,28.19,29.67,76.32
Quintile 5 (least deprived),Male,50 to 54,33.17,33.02,33.31,24.66,23.95,25.37,74.34
Quintile 5 (least deprived),Male,55 to 59,28.54,28.40,28.68,20.58,19.89,21.27,72.11
Quintile 5 (least deprived),Male,60 to 64,24.00,23.86,24.14,16.70,16.03,17.36,69.57
Quintile 5 (least deprived),Male,65 to 69,19.71,19.57,19.84,13.15,12.50,13.80,66.74
Quintile 5 (least deprived),Male,70 to 74,15.63,15.51,15.76,9.91,9.27,10.54,63.37
Quintile 5 (least deprived),Male,75 to 79,11.86,11.74,11.98,7.02,6.38,7.67,59.23
Quintile 5 (least deprived),Male,80 to 84,8.66,8.54,8.77,4.73,4.11,5.34,54.64
Quintile 5 (least deprived),Male,85 to 89,5.99,5.87,6.11,3.01,2.50,3.52,50.30
Quintile 5 (least deprived),Male,90+,4.05,3.89,4.21,1.93,1.46,2.40,47.61
,,,,,,,,,
,,,,,,,,,
Footnotes,,,,,,,,,
1) HLE estimates are based on the five point response general health question in the annual population survey (APS). Those answered as in 'good' or 'very good' health were classified as being in health.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
© Crown Copyright 2022,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
