"Table 6: Healthy Life Expectancy (HLE1) estimates by urban rural classification in Scotland, 2019-2021",,,,,,,,,
,,,,,,,,,
Urban Rural (2016) code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%)
UR1,Male,65 to 69,16.73,16.62,16.83,8.88,8.27,9.49,53.10
UR1,Male,70 to 74,13.31,13.21,13.41,6.64,6.04,7.24,49.88
UR1,Male,75 to 79,10.21,10.11,10.30,4.72,4.10,5.33,46.22
UR1,Male,80 to 84,7.66,7.56,7.75,3.24,2.65,3.82,42.25
UR1,Male,85 to 89,5.60,5.50,5.70,2.13,1.63,2.62,37.96
UR1,Male,90+,4.11,3.96,4.25,1.40,0.92,1.87,34.05
UR2,Female,<1,80.04,79.89,80.19,58.54,57.58,59.50,73.14
UR2,Female,1 to 4,79.28,79.15,79.42,57.87,56.91,58.83,72.99
UR2,Female,5 to 9,75.34,75.21,75.48,54.53,53.60,55.46,72.37
UR2,Female,10 to 14,70.36,70.23,70.50,50.29,49.41,51.18,71.48
UR2,Female,15 to 19,65.39,65.25,65.52,46.06,45.23,46.90,70.45
UR2,Female,20 to 24,60.46,60.33,60.59,41.90,41.12,42.69,69.31
UR2,Female,25 to 29,55.58,55.45,55.71,37.83,37.09,38.57,68.06
UR2,Female,30 to 34,50.74,50.61,50.87,33.83,33.13,34.54,66.68
UR2,Female,35 to 39,45.95,45.83,46.07,29.93,29.27,30.59,65.13
UR2,Female,40 to 44,41.25,41.13,41.37,26.16,25.53,26.79,63.43
UR2,Female,45 to 49,36.64,36.52,36.75,22.56,21.96,23.15,61.57
UR2,Female,50 to 54,32.08,31.97,32.18,19.10,18.54,19.66,59.53
UR2,Female,55 to 59,27.62,27.52,27.73,15.84,15.31,16.37,57.35
UR2,Female,60 to 64,23.28,23.18,23.37,12.80,12.30,13.31,55.01
UR2,Female,65 to 69,19.19,19.10,19.28,10.04,9.56,10.51,52.30
UR2,Female,70 to 74,15.37,15.28,15.45,7.57,7.11,8.03,49.23
UR2,Female,75 to 79,11.83,11.75,11.91,5.43,4.97,5.88,45.89
UR2,Female,80 to 84,8.76,8.68,8.83,3.72,3.30,4.13,42.42
UR2,Female,85 to 89,6.23,6.15,6.31,2.43,2.08,2.77,38.94
UR2,Female,90+,4.29,4.20,4.39,1.52,1.20,1.84,35.37
UR2,Male,<1,75.72,75.56,75.89,58.72,57.89,59.55,77.55
UR2,Male,1 to 4,75.02,74.86,75.18,58.02,57.18,58.85,77.34
UR2,Male,5 to 9,71.05,70.89,71.20,54.32,53.50,55.14,76.45
UR2,Male,10 to 14,66.07,65.91,66.22,49.71,48.92,50.51,75.25
UR2,Male,15 to 19,61.11,60.96,61.26,45.18,44.41,45.95,73.93
UR2,Male,20 to 24,56.26,56.11,56.41,40.78,40.04,41.52,72.49
UR2,Male,25 to 29,51.53,51.38,51.67,36.55,35.84,37.26,70.94
UR2,Male,30 to 34,46.86,46.72,47.00,32.46,31.78,33.14,69.27
UR2,Male,35 to 39,42.27,42.14,42.41,28.52,27.87,29.17,67.47
UR2,Male,40 to 44,37.80,37.67,37.93,24.77,24.15,25.39,65.53
UR2,Male,45 to 49,33.43,33.31,33.55,21.20,20.61,21.79,63.43
UR2,Male,50 to 54,29.17,29.06,29.28,17.84,17.29,18.39,61.16
UR2,Male,55 to 59,24.98,24.88,25.09,14.68,14.16,15.19,58.74
UR2,Male,60 to 64,20.93,20.83,21.03,11.76,11.27,12.25,56.17
UR2,Male,65 to 69,17.10,17.01,17.20,9.15,8.68,9.61,53.49
UR2,Male,70 to 74,13.56,13.47,13.64,6.85,6.40,7.30,50.51
UR2,Male,75 to 79,10.33,10.24,10.41,4.88,4.42,5.33,47.22
UR2,Male,80 to 84,7.71,7.62,7.79,3.36,2.94,3.78,43.61
UR2,Male,85 to 89,5.62,5.53,5.71,2.23,1.88,2.59,39.77
UR2,Male,90+,4.09,3.96,4.22,1.45,1.11,1.79,35.50
UR3,Female,<1,81.43,81.13,81.73,62.74,60.97,64.50,77.04
UR3,Female,1 to 4,80.73,80.45,81.00,62.05,60.28,63.82,76.86
UR3,Female,5 to 9,76.74,76.47,77.01,58.41,56.68,60.14,76.12
UR3,Female,10 to 14,71.74,71.47,72.01,53.87,52.22,55.53,75.10
UR3,Female,15 to 19,66.76,66.49,67.04,49.38,47.81,50.95,73.97
UR3,Female,20 to 24,61.81,61.54,62.08,44.97,43.50,46.44,72.75
UR3,Female,25 to 29,56.91,56.65,57.17,40.67,39.29,42.04,71.46
UR3,Female,30 to 34,52.07,51.81,52.32,36.48,35.15,37.81,70.05
UR3,Female,35 to 39,47.22,46.97,47.47,32.36,31.07,33.64,68.52
UR3,Female,40 to 44,42.50,42.26,42.73,28.40,27.17,29.63,66.83
UR3,Female,45 to 49,37.85,37.62,38.07,24.60,23.43,25.77,65.00
UR3,Female,50 to 54,33.23,33.01,33.44,20.93,19.81,22.06,63.00
UR3,Female,55 to 59,28.71,28.50,28.91,17.48,16.39,18.56,60.88
UR3,Female,60 to 64,24.38,24.19,24.58,14.28,13.24,15.32,58.56
UR3,Female,65 to 69,20.12,19.93,20.31,11.25,10.24,12.26,55.91
UR3,Female,70 to 74,16.18,16.00,16.35,8.56,7.58,9.53,52.90
UR3,Female,75 to 79,12.49,12.32,12.66,6.19,5.21,7.17,49.56
UR3,Female,80 to 84,9.20,9.04,9.36,4.23,3.29,5.18,46.03
UR3,Female,85 to 89,6.48,6.32,6.64,2.77,1.98,3.56,42.75
UR3,Female,90+,4.43,4.22,4.63,1.75,1.01,2.49,39.57
UR3,Male,<1,77.72,77.40,78.05,63.25,61.76,64.74,81.37
UR3,Male,1 to 4,76.91,76.60,77.22,62.45,60.96,63.94,81.20
UR3,Male,5 to 9,72.99,72.68,73.29,58.72,57.24,60.19,80.45
UR3,Male,10 to 14,68.00,67.70,68.31,54.00,52.55,55.45,79.41
UR3,Male,15 to 19,63.02,62.71,63.32,49.29,47.87,50.72,78.22
UR3,Male,20 to 24,58.17,57.88,58.47,44.74,43.35,46.13,76.91
UR3,Male,25 to 29,53.43,53.14,53.72,40.33,38.98,41.68,75.48
UR3,Male,30 to 34,48.72,48.45,49.00,36.03,34.74,37.32,73.95
UR3,Male,35 to 39,44.15,43.89,44.41,31.90,30.66,33.13,72.25
UR3,Male,40 to 44,39.53,39.28,39.78,27.80,26.63,28.97,70.34
UR3,Male,45 to 49,35.03,34.80,35.26,23.87,22.78,24.97,68.15
UR3,Male,50 to 54,30.54,30.32,30.76,20.05,19.01,21.10,65.67
UR3,Male,55 to 59,26.21,26.00,26.42,16.51,15.52,17.51,63.01
UR3,Male,60 to 64,21.93,21.73,22.13,13.19,12.25,14.14,60.18
UR3,Male,65 to 69,17.89,17.70,18.08,10.25,9.34,11.16,57.29
UR3,Male,70 to 74,14.28,14.10,14.45,7.70,6.83,8.56,53.92
UR3,Male,75 to 79,10.88,10.71,11.05,5.46,4.59,6.33,50.16
UR3,Male,80 to 84,7.99,7.82,8.15,3.70,2.87,4.52,46.28
UR3,Male,85 to 89,5.61,5.44,5.78,2.39,1.71,3.07,42.62
UR3,Male,90+,3.76,3.53,4.00,1.48,0.88,2.08,39.27
UR4,Female,<1,80.86,80.41,81.31,64.58,62.14,67.03,79.87
UR4,Female,1 to 4,80.07,79.65,80.49,63.76,61.31,66.20,79.62
UR4,Female,5 to 9,76.07,75.65,76.49,59.84,57.40,62.27,78.66
UR4,Female,10 to 14,71.10,70.68,71.52,55.04,52.65,57.44,77.42
UR4,Female,15 to 19,66.10,65.68,66.52,50.34,48.02,52.67,76.17
UR4,Female,20 to 24,61.14,60.73,61.56,45.83,43.59,48.06,74.95
UR4,Female,25 to 29,56.19,55.77,56.60,41.45,39.30,43.60,73.78
UR4,Female,30 to 34,51.37,50.97,51.76,37.29,35.28,39.30,72.60
UR4,Female,35 to 39,46.55,46.17,46.94,33.24,31.38,35.09,71.39
UR4,Female,40 to 44,41.74,41.37,42.11,29.29,27.53,31.05,70.17
UR4,Female,45 to 49,37.27,36.92,37.61,25.67,24.02,27.32,68.88
UR4,Female,50 to 54,32.62,32.30,32.95,22.03,20.51,23.56,67.54
UR4,Female,55 to 59,28.22,27.91,28.52,18.65,17.21,20.10,66.11
UR4,Female,60 to 64,23.85,23.56,24.14,15.46,14.20,16.73,64.85
UR4,Female,65 to 69,19.76,19.49,20.03,12.46,11.24,13.68,63.05
UR4,Female,70 to 74,15.89,15.65,16.14,9.67,8.49,10.86,60.86
UR4,Female,75 to 79,12.19,11.96,12.42,7.12,5.92,8.32,58.40
UR4,Female,80 to 84,9.12,8.91,9.33,5.11,3.99,6.24,56.09
UR4,Female,85 to 89,6.41,6.21,6.61,3.50,2.55,4.44,54.53
UR4,Female,90+,4.29,4.04,4.54,2.35,1.47,3.22,54.68
UR4,Male,<1,76.30,75.76,76.83,62.43,60.33,64.54,81.83
UR4,Male,1 to 4,75.58,75.08,76.09,61.71,59.60,63.83,81.65
UR4,Male,5 to 9,71.66,71.17,72.16,57.96,55.86,60.07,80.89
UR4,Male,10 to 14,66.68,66.19,67.18,53.24,51.15,55.32,79.83
UR4,Male,15 to 19,61.70,61.21,62.20,48.53,46.47,50.59,78.65
UR4,Male,20 to 24,56.86,56.38,57.34,43.98,41.94,46.02,77.35
UR4,Male,25 to 29,52.04,51.57,52.51,39.51,37.59,41.44,75.93
UR4,Male,30 to 34,47.44,46.99,47.89,35.29,33.46,37.11,74.39
UR4,Male,35 to 39,42.83,42.40,43.25,31.14,29.40,32.88,72.71
UR4,Male,40 to 44,38.40,38.00,38.80,27.22,25.63,28.81,70.89
UR4,Male,45 to 49,33.99,33.62,34.36,23.41,21.90,24.92,68.88
UR4,Male,50 to 54,29.76,29.42,30.10,19.84,18.43,21.25,66.67
UR4,Male,55 to 59,25.48,25.16,25.80,16.39,15.11,17.68,64.32
UR4,Male,60 to 64,21.36,21.06,21.65,13.21,12.01,14.41,61.86
UR4,Male,65 to 69,17.47,17.19,17.75,10.35,9.21,11.49,59.26
UR4,Male,70 to 74,13.90,13.65,14.16,7.83,6.71,8.95,56.32
UR4,Male,75 to 79,10.68,10.43,10.92,5.66,4.53,6.78,52.99
UR4,Male,80 to 84,7.85,7.61,8.08,3.87,2.85,4.90,49.34
UR4,Male,85 to 89,5.67,5.42,5.91,2.58,1.72,3.44,45.49
UR4,Male,90+,4.09,3.74,4.44,1.71,0.88,2.54,41.81
UR5,Female,<1,82.93,82.68,83.19,64.58,63.14,66.02,77.87
UR5,Female,1 to 4,82.20,81.96,82.44,63.84,62.39,65.28,77.66
UR5,Female,5 to 9,78.23,78.00,78.47,60.09,58.67,61.52,76.81
UR5,Female,10 to 14,73.27,73.04,73.50,55.45,54.07,56.84,75.68
UR5,Female,15 to 19,68.29,68.06,68.52,50.85,49.51,52.19,74.46
UR5,Female,20 to 24,63.33,63.10,63.56,46.41,45.13,47.69,73.28
UR5,Female,25 to 29,58.42,58.19,58.64,42.18,40.95,43.40,72.20
UR5,Female,30 to 34,53.50,53.29,53.72,37.99,36.85,39.14,71.01
UR5,Female,35 to 39,48.63,48.41,48.84,33.86,32.75,34.97,69.63
UR5,Female,40 to 44,43.83,43.63,44.04,29.83,28.78,30.89,68.06
UR5,Female,45 to 49,39.06,38.86,39.26,25.86,24.86,26.87,66.22
UR5,Female,50 to 54,34.40,34.20,34.59,22.07,21.10,23.03,64.15
UR5,Female,55 to 59,29.78,29.59,29.97,18.41,17.47,19.35,61.82
UR5,Female,60 to 64,25.33,25.15,25.51,15.02,14.11,15.93,59.31
UR5,Female,65 to 69,20.97,20.79,21.14,11.73,10.84,12.61,55.93
UR5,Female,70 to 74,16.88,16.72,17.05,8.77,7.91,9.64,51.97
UR5,Female,75 to 79,12.99,12.82,13.15,6.08,5.20,6.95,46.79
UR5,Female,80 to 84,9.56,9.40,9.72,3.95,3.15,4.76,41.35
UR5,Female,85 to 89,6.70,6.54,6.86,2.51,1.84,3.17,37.40
UR5,Female,90+,4.62,4.41,4.82,1.78,1.14,2.42,38.61
UR5,Male,<1,79.10,78.82,79.38,64.98,63.79,66.17,82.15
UR5,Male,1 to 4,78.40,78.14,78.66,64.28,63.08,65.47,81.99
UR5,Male,5 to 9,74.41,74.15,74.67,60.49,59.31,61.67,81.29
UR5,Male,10 to 14,69.43,69.17,69.69,55.75,54.60,56.91,80.30
UR5,Male,15 to 19,64.45,64.19,64.71,51.03,49.90,52.16,79.18
UR5,Male,20 to 24,59.61,59.35,59.86,46.45,45.34,47.55,77.92
UR5,Male,25 to 29,54.81,54.57,55.05,41.96,40.88,43.04,76.55
UR5,Male,30 to 34,50.14,49.91,50.37,37.63,36.60,38.67,75.05
UR5,Male,35 to 39,45.43,45.21,45.65,33.34,32.34,34.33,73.37
UR5,Male,40 to 44,40.73,40.52,40.94,29.12,28.17,30.08,71.50
UR5,Male,45 to 49,36.08,35.88,36.28,25.02,24.09,25.94,69.34
UR5,Male,50 to 54,31.51,31.33,31.70,21.10,20.21,21.99,66.94
UR5,Male,55 to 59,27.07,26.89,27.25,17.41,16.55,18.26,64.30
UR5,Male,60 to 64,22.70,22.53,22.88,13.97,13.15,14.78,61.53
UR5,Male,65 to 69,18.63,18.46,18.79,10.92,10.14,11.70,58.63
UR5,Male,70 to 74,14.88,14.72,15.04,8.21,7.43,8.99,55.17
UR5,Male,75 to 79,11.33,11.18,11.48,5.83,5.04,6.62,51.45
UR5,Male,80 to 84,8.30,8.15,8.46,3.92,3.15,4.68,47.17
UR5,Male,85 to 89,5.81,5.65,5.98,2.47,1.84,3.10,42.51
UR5,Male,90+,4.06,3.83,4.29,1.52,0.94,2.10,37.39
UR6,Female,<1,83.28,82.95,83.61,66.22,63.95,68.49,79.51
UR6,Female,1 to 4,82.38,82.07,82.69,65.38,63.10,67.65,79.36
UR6,Female,5 to 9,78.40,78.09,78.71,61.70,59.46,63.94,78.70
UR6,Female,10 to 14,73.42,73.11,73.73,57.15,54.97,59.33,77.84
UR6,Female,15 to 19,68.43,68.13,68.74,52.62,50.50,54.74,76.89
UR6,Female,20 to 24,63.48,63.18,63.78,48.24,46.20,50.28,76.00
UR6,Female,25 to 29,58.60,58.31,58.89,44.03,42.11,45.94,75.13
UR6,Female,30 to 34,53.63,53.34,53.91,39.76,37.99,41.53,74.15
UR6,Female,35 to 39,48.73,48.45,49.01,35.62,33.97,37.27,73.09
UR6,Female,40 to 44,43.87,43.60,44.14,31.54,30.13,32.94,71.88
UR6,Female,45 to 49,39.10,38.84,39.36,27.54,26.20,28.88,70.43
UR6,Female,50 to 54,34.49,34.24,34.73,23.74,22.47,25.00,68.83
UR6,Female,55 to 59,29.87,29.64,30.11,20.00,18.79,21.21,66.96
UR6,Female,60 to 64,25.43,25.20,25.66,16.47,15.28,17.66,64.76
UR6,Female,65 to 69,21.12,20.91,21.34,13.04,11.89,14.19,61.73
UR6,Female,70 to 74,16.94,16.74,17.15,9.85,8.71,10.98,58.11
UR6,Female,75 to 79,13.07,12.87,13.26,7.04,5.89,8.20,53.90
UR6,Female,80 to 84,9.51,9.32,9.69,4.66,3.61,5.70,48.99
UR6,Female,85 to 89,6.61,6.42,6.80,2.98,2.12,3.84,45.09
UR6,Female,90+,4.32,4.09,4.55,1.96,1.18,2.75,45.40
UR6,Male,<1,79.64,79.25,80.03,64.27,62.06,66.49,80.71
UR6,Male,1 to 4,78.81,78.44,79.17,63.51,61.30,65.72,80.59
UR6,Male,5 to 9,74.82,74.46,75.19,59.93,57.78,62.09,80.10
UR6,Male,10 to 14,69.84,69.47,70.21,55.45,53.39,57.51,79.40
UR6,Male,15 to 19,64.88,64.51,65.24,50.96,49.00,52.92,78.55
UR6,Male,20 to 24,60.03,59.68,60.39,46.60,44.74,48.45,77.62
UR6,Male,25 to 29,55.20,54.86,55.54,42.25,40.52,43.98,76.54
UR6,Male,30 to 34,50.40,50.07,50.73,37.99,36.43,39.56,75.38
UR6,Male,35 to 39,45.71,45.40,46.02,33.85,32.37,35.33,74.05
UR6,Male,40 to 44,41.06,40.77,41.36,29.79,28.38,31.19,72.54
UR6,Male,45 to 49,36.50,36.23,36.77,25.82,24.51,27.12,70.74
UR6,Male,50 to 54,31.89,31.64,32.15,21.91,20.68,23.14,68.69
UR6,Male,55 to 59,27.47,27.22,27.72,18.27,17.08,19.46,66.50
UR6,Male,60 to 64,23.13,22.90,23.37,14.78,13.64,15.93,63.91
UR6,Male,65 to 69,19.06,18.84,19.29,11.75,10.64,12.86,61.63
UR6,Male,70 to 74,15.25,15.03,15.46,8.95,7.85,10.04,58.66
UR6,Male,75 to 79,11.83,11.61,12.04,6.51,5.37,7.65,55.04
UR6,Male,80 to 84,8.83,8.62,9.05,4.60,3.46,5.73,52.03
UR6,Male,85 to 89,6.30,6.06,6.54,3.08,2.12,4.04,48.90
UR6,Male,90+,4.49,4.16,4.82,2.29,1.35,3.24,51.11
,,,,,,,,,
Footnotes,,,,,,,,,
1) HLE estimates are based on the five point response general health question in the annual population survey (APS). Those answered as in 'good' or 'very good' health were classified as being in health.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
© Crown Copyright 2022,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
